position,team,player,dmg_performance
Top,Cloud9,Impact,22.12
Top,Team SoloMid,Hauntzer,22.03
Top,Immortals,Flame,11.25
Top,Cloud9,Ray,7.04
Top,Team Liquid,Lourlo,5.6
Top,Echo Fox,Brandini,5
Top,Dignitas,Ssumday,3.53
Top,Counter Logic Gaming,Darshan,2.74
Top,EnVyUs,Seraph,0.09
Top,Phoenix1,zig,0.04
Top,Phoenix1,Allorim,-4
Top,Echo Fox,Looper,-4.79
Top,FlyQuest,Balls,-9.54
Top,Flyquest,Balls,-20.09
Jungle,Immortals,Dardoch,55.94
Jungle,Team Liquid,Inori,33.58
Jungle,Counter Logic Gaming,Xmithie,31.05
Jungle,Cloud9,Contractz,28.12
Jungle,Team SoloMid,Svenskeren,20.77
Jungle,Counter Logic Gaming,Dardoch,20.5
Jungle,Immortals,Xmithie,18.16
Jungle,Dignitas,Shrimp,5.92
Jungle,Team Liquid,Dardoch,5.7
Jungle,Echo Fox,Akaadian,4.78
Jungle,Counter Logic Gaming,OmarGod,2.94
Jungle,Phoenix1,MikeYeung,2.31
Jungle,EnVyUs,LirA,2.23
Jungle,Team Liquid,Reignover,2.03
Jungle,Dignitas,Chaser,0.02
Jungle,Phoenix1,Meteos,-7.32
Jungle,FlyQuest,Moon,-10.74
Jungle,Flyquest,Moon,-11.29
Jungle,Echo Fox,Grig,-13.8
Jungle,Phoenix1,Inori,-14.7
Middle,Team Liquid,Mickey,25.16
Middle,Team SoloMid,Bjergsen,21.4
Middle,Echo Fox,Froggen,21.27
Middle,EnVyUs,Ninja,19.11
Middle,Cloud9,Jensen,15.27
Middle,Counter Logic Gaming,Huhi,12.38
Middle,Immortals,Pobelter,12.32
Middle,Flyquest,Hai,11.31
Middle,FlyQuest,Hai,8.1
Middle,Dignitas,Keane,3.19
Middle,Team Liquid,Piglet,1.08
Middle,Phoenix1,Ryu,0.19
Middle,EnVyUs,Nisqy,-1.34
Middle,Phoenix1,Pirean,-3.58
Middle,EnVyUs,Pirean,-5.31
Middle,Team Liquid,Goldenglue,-6.25
Middle,Echo Fox,Damonte,-16.16
Middle,Team Liquid,Slooshi,-16.99
ADC,Team SoloMid,Doublelift,12.67
ADC,Immortals,Cody Sun,11.52
ADC,Dignitas,Altec,10.57
ADC,Flyquest,Altec,7.75
ADC,Cloud9,Sneaky,6.79
ADC,Counter Logic Gaming,Stixxay,5.68
ADC,Team Liquid,Piglet,5.43
ADC,FlyQuest,WildTurtle,3.81
ADC,Phoenix1,Arrow,-0.07
ADC,EnVyUs,Apollo,-1.45
ADC,Echo Fox,Keith,-1.88
ADC,Team Liquid,Doublelift,-8.66
ADC,Counter Logic Gaming,aphromoo,-9.11
ADC,Echo Fox,Mash,-15.39
ADC,Dignitas,LOD,-16.65
ADC,Team SoloMid,WildTurtle,-26.35
Support,Immortals,Olleh,46.04
Support,Counter Logic Gaming,Joey,45.78
Support,Dignitas,Adrian,28.14
Support,FlyQuest,LemonNation,21.61
Support,EnVyUs,Hakuho,15.72
Support,Dignitas,Big,6.9
Support,Flyquest,LemonNation,4.73
Support,Team SoloMid,Biofrost,4.66
Support,Phoenix1,Shady,2.66
Support,Team Liquid,konkwon,-0.62
Support,Dignitas,Xpecial,-2.35
Support,Team Liquid,Matt,-2.89
Support,Counter Logic Gaming,aphromoo,-4.6
Support,Echo Fox,Gate,-7.02
Support,Phoenix1,Xpecial,-8.65
Support,Cloud9,Smoothie,-8.86
Support,Phoenix1,Stunt,-68.86
