position,team,player,dmg_performance
Top,Unicorns of Love,Vizicsacsi,22.76
Top,Mysterious Monkeys,Jisu,19.02
Top,H2K,Odoamne,7.77
Top,Splyce,Wunder,7.59
Top,G2 Esports,Expect,4.5
Top,Fnatic,sOAZ,3.83
Top,Vitality,Cabochard,-2.54
Top,Misfits,Alphari,-3.3
Top,Ninjas in Pyjamas,Profit,-5.6
Top,Mysterious Monkeys,Kikis,-6.49
Top,Roccat,Phaxi,-11.11
Top,G2 Esports,Send0o,-20.82
Top,Origen,Satorius,-21.47
Top,Giants,Flaxxish,-31.17
Jungle,Unicorns of Love,Xerxe,29.92
Jungle,H2K,Jankos,22.5
Jungle,G2 Esports,Trick,18.31
Jungle,Origen,Cinkrof,8.29
Jungle,Roccat,Maxlore,4.21
Jungle,Mysterious Monkeys,Lamabear,3.17
Jungle,Splyce,Trashy,3.04
Jungle,Misfits,Maxlore,1.11
Jungle,Vitality,Djoko,-1.82
Jungle,Roccat,Pridestalker,-2.71
Jungle,G2 Esports,Loulex,-3.66
Jungle,Giants,Memento,-6.1
Jungle,Misfits,KaKAO,-6.13
Jungle,Mysterious Monkeys,Amazing,-6.46
Jungle,Fnatic,Broxah,-7.49
Jungle,Ninjas in Pyjamas,Shook,-11.99
Middle,Fnatic,Caps,15.64
Middle,Misfits,PowerOfEvil,14.85
Middle,H2K,Febiven,12.67
Middle,G2 Esports,Perkz,12.61
Middle,Unicorns of Love,Exileh,12.04
Middle,Vitality,Nukeduck,8.37
Middle,Splyce,Sencux,4.75
Middle,G2 Esports,Blanc,4.44
Middle,Mysterious Monkeys,CozQ,1.66
Middle,Roccat,Betsy,-0.49
Middle,Origen,Naehyun,-7.28
Middle,Ninjas in Pyjamas,Nagne,-10.89
Middle,Giants,NighT,-14.31
ADC,H2K,Nuclear,14.66
ADC,Fnatic,Rekkles,11.69
ADC,Unicorns of Love,Samux,11.65
ADC,G2 Esports,Zven,11.42
ADC,Splyce,Kobbe,9.13
ADC,Mysterious Monkeys,Yuuki60,4.77
ADC,Misfits,Hans Sama,1.19
ADC,Roccat,Hjarnan,-2.6
ADC,Origen,Tabzz,-6.63
ADC,Vitality,Steeelback,-11.11
ADC,Ninjas in Pyjamas,HeaQ,-11.53
ADC,Giants,HeaQ,-33.41
Support,Origen,xPeke,34.31
Support,Vitality,Hachani,28.06
Support,Splyce,Mikyx,24.52
Support,Unicorns of Love,Hylissang,23.5
Support,G2 Esports,mithy,2.79
Support,H2K,Chei,1.28
Support,Mysterious Monkeys,Dreams,-2.25
Support,Misfits,IgNar,-4.14
Support,Roccat,Wadid,-5.89
Support,Ninjas in Pyjamas,sprattel,-6.37
Support,Giants,HusTlin,-8.11
Support,Fnatic,Jesiz,-10.18
Support,Vitality,Vander,-11.01
