league,team,player,champion,dmgtochamps,predicted,goldspent
EULCS,H2K,Odoamne,Camille,7175,11589.890097506604,7758
EULCS,Fnatic,sOAZ,Camille,21242,20030.2785427248,16933
EULCS,Vitality,Cabochard,Camille,11548,10624.71885225195,10133
EULCS,Unicorns of Love,Vizicsacsi,Camille,18770,10438.37384616771,10983
EULCS,Misfits,Alphari,Camille,13861,13512.11337200706,15408
EULCS,Roccat,Phaxi,Camille,11004,14322.477956025867,13408
EULCS,Fnatic,sOAZ,Camille,22805,19466.98115740591,16383
EULCS,H2K,Odoamne,Camille,8968,7996.97131122961,12408
EULCS,H2K,Odoamne,Camille,19822,17056.78258439117,16233
EULCS,Mysterious Monkeys,Kikis,Camille,18864,14901.187455006619,11608
EULCS,Mysterious Monkeys,Kikis,Camille,11838,16605.113952183332,14083
EULCS,Unicorns of Love,Vizicsacsi,Camille,16468,13287.407524678822,13333
EULCS,Splyce,Wunder,Camille,10238,13352.356882474867,11408
EULCS,Splyce,Wunder,Camille,4982,11545.231883693037,11408
EULCS,Splyce,Wunder,Camille,19116,13391.539798593521,13908
EULCS,Mysterious Monkeys,Kikis,Camille,7150,11679.145193678069,8808
EULCS,Splyce,Wunder,Camille,5038,9336.2502185219455,8508
EULCS,Misfits,Alphari,Camille,11596,16999.759959623116,13083
EULCS,Misfits,Alphari,Camille,8919,12782.654886858947,9833
EULCS,Splyce,Wunder,Cho'gath,17762,12978.432637314898,13075
EULCS,Vitality,Cabochard,Cho'gath,19836,17436.091295102764,13700
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,34107,21371.257958618542,17625
EULCS,G2 Esports,Expect,Cho'gath,19176,11498.167542667994,10675
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,33830,14475.7660593284,12825
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,19487,15438.871205332094,11525
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,18427,12607.671085523454,11875
EULCS,Splyce,Wunder,Cho'gath,7784,9057.090310711812,9145
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,12639,17128.830651545006,13625
EULCS,Splyce,Wunder,Cho'gath,11318,12952.517196743025,11300
EULCS,Fnatic,sOAZ,Fiora,10498,16852.72809812916,12850
EULCS,H2K,Odoamne,Fiora,16407,9353.995536492568,9425
EULCS,Splyce,Wunder,Fiora,21265,13857.290272516195,11708
EULCS,G2 Esports,Expect,Fiora,19479,23669.542519737497,18130
EULCS,Splyce,Wunder,Fiora,7823,12151.753322227321,10208
EULCS,Roccat,Phaxi,Fiora,13157,12516.73075707601,14350
EULCS,Splyce,Wunder,Fiora,24307,18213.726430615545,11833
EULCS,Roccat,Phaxi,Fiora,8185,16031.867364596752,11675
EULCS,H2K,Odoamne,Fiora,20368,18775.453103981912,13583
EULCS,Unicorns of Love,Vizicsacsi,Fiora,31723,22381.176244975737,17483
EULCS,Fnatic,sOAZ,Galio,13019,15678.237752159974,15710
EULCS,Misfits,Alphari,Galio,5652,7958.206659442808,6725
EULCS,Roccat,Phaxi,Galio,11862,15235.880148418226,14335
EULCS,G2 Esports,Send0o,Galio,9999,10572.78009778912,11650
EULCS,G2 Esports,Send0o,Galio,10736,14879.79585991943,14800
