league,team,player,champion,dmgtochamps,predicted,goldspent
LCK,KT Rolster,Smeb,Camille,31107,19572.42816589805,18983
LCK,Samsung Galaxy,CuVee,Camille,16465,11853.191055720072,12583
LCK,SK Telecom T1,Huni,Camille,16309,19231.293819793955,16508
LCK,SK Telecom T1,Untara,Camille,10321,8998.372904430857,12883
LCK,MVP,ADD,Camille,12938,8580.820574371875,9333
LCK,BBQ Olivers,Crazy,Camille,12502,16162.289538415884,16108
LCK,Samsung Galaxy,CuVee,Camille,20398,12547.474669287629,12558
LCK,BBQ Olivers,Crazy,Camille,11026,12597.970235126115,11608
LCK,BBQ Olivers,Crazy,Camille,5230,11011.676876728681,9508
LCK,Samsung Galaxy,CuVee,Camille,25641,16592.513977413117,16283
LCK,Samsung Galaxy,CuVee,Camille,14284,10044.771473198658,10783
LCK,BBQ Olivers,Crazy,Camille,12560,12583.947363926714,14408
LCK,Ever8 Winners,Kiin,Camille,10183,11702.813972867825,9608
LCK,KT Rolster,Smeb,Camille,22618,19598.252268852528,18558
LCK,Ever8 Winners,Kiin,Camille,9227,12996.195295532334,9733
LCK,Jin Air Green Wings,SoHwan,Camille,12530,14266.129435358516,14458
LCK,MVP,ADD,Camille,7695,13570.895503639997,11308
LCK,Ever8 Winners,Kiin,Camille,25298,13760.45850141091,17833
LCK,Longzhu Gaming,Khan,Camille,14390,11934.632104600432,12333
LCK,Samsung Galaxy,CuVee,Camille,12561,16429.400268803816,14008
LCK,Samsung Galaxy,CuVee,Camille,18674,14067.362435228366,13133
LCK,Samsung Galaxy,CuVee,Camille,15012,11719.052459919903,13708
LCK,Ever8 Winners,Kiin,Camille,7396,13937.099699843058,12558
LCK,KT Rolster,Smeb,Camille,12967,14789.085681154746,12558
LCK,Ever8 Winners,Kiin,Camille,23847,18646.200940873983,18533
LCK,BBQ Olivers,Crazy,Cho'gath,21112,14141.194087863993,11675
LCK,BBQ Olivers,Crazy,Cho'gath,17557,15691.583134988206,12825
LCK,BBQ Olivers,Crazy,Cho'gath,10491,11743.251357615558,13305
LCK,ROX Tigers,Lindarang,Cho'gath,9543,17757.747965734186,12900
LCK,ROX Tigers,Lindarang,Cho'gath,9721,10431.033716460473,11745
LCK,MVP,ADD,Cho'gath,31375,18648.453740108336,14900
LCK,MVP,ADD,Cho'gath,18435,12519.492912460544,13200
LCK,MVP,ADD,Cho'gath,12032,12783.83336468427,10825
LCK,SK Telecom T1,Huni,Cho'gath,13407,14430.483952841712,13725
LCK,ROX Tigers,Lindarang,Cho'gath,13026,16601.66527054403,13400
LCK,ROX Tigers,Lindarang,Cho'gath,22131,23846.484596413356,16525
LCK,Jin Air Green Wings,SoHwan,Cho'gath,11654,14367.777966150534,14225
LCK,BBQ Olivers,Crazy,Cho'gath,12034,9075.979974783453,8345
LCK,ROX Tigers,Lindarang,Fiora,15266,17215.706519125528,11775
LCK,Afreeca Freecs,MaRin,Fiora,15419,18110.696104250255,16750
LCK,Longzhu Gaming,Khan,Fiora,16852,15795.037003191595,15575
LCK,Afreeca Freecs,MaRin,Fiora,11354,11702.061909973525,10250
LCK,Ever8 Winners,Helper,Fiora,11418,14483.794876080809,14250
LCK,Longzhu Gaming,Khan,Fiora,23917,25722.574125378855,21983
LCK,Jin Air Green Wings,SoHwan,Fiora,9361,11052.08193420221,9258
LCK,SK Telecom T1,Untara,Fiora,19998,21979.242555579778,15400
LCK,KT Rolster,Smeb,Fiora,18565,13733.697215110538,12233
LCK,MVP,ADD,Fiora,22067,20259.424501713125,20375
LCK,ROX Tigers,Lindarang,Fiora,18575,20363.978320756236,19445
LCK,Longzhu Gaming,Khan,Fiora,20774,17335.07718119655,13533
LCK,SK Telecom T1,Untara,Fiora,10810,17830.056393050563,18793
LCK,Longzhu Gaming,Khan,Fiora,13429,12416.718831885231,10933
LCK,Ever8 Winners,Kiin,Fiora,14541,14956.711333304174,10185
LCK,SK Telecom T1,Huni,Fiora,31666,19329.53501432922,17633
LCK,SK Telecom T1,Huni,Fiora,15079,13695.455416417799,7983
LCK,KT Rolster,Smeb,Galio,12106,11212.777165324456,10225
LCK,ROX Tigers,Lindarang,Galio,11162,10165.610247979785,11875
LCK,SK Telecom T1,Huni,Galio,19385,13089.515479383384,11925
LCK,ROX Tigers,Lindarang,Galio,14621,15343.517301678572,14775
LCK,Samsung Galaxy,CuVee,Gnar,9584,9936.29171845154,9600
LCK,SK Telecom T1,Untara,Gnar,15600,16629.72818015906,14125
LCK,Samsung Galaxy,CuVee,Gnar,31501,24289.310303082686,22175
LCK,KT Rolster,Smeb,Gnar,17167,9728.443622524359,9675
LCK,Samsung Galaxy,CuVee,Gnar,4962,13144.784832509924,9750
LCK,BBQ Olivers,Crazy,Gnar,18003,14017.082791788083,13335
LCK,ROX Tigers,Shy,Gnar,14345,18809.62331728184,14300
LCK,Jin Air Green Wings,ikssu,Gnar,15886,18456.927860046148,12475
LCK,KT Rolster,Smeb,Gnar,30003,28049.57877134561,20500
LCK,Jin Air Green Wings,SoHwan,Gnar,8353,12629.752863731297,8900
