position,team,player,dmg_performance
Top,Longzhu Gaming,Expession,21.77
Top,Longzhu Gaming,Khan,17.75
Top,SK Telecom T1,Huni,16.43
Top,KT Rolster,Smeb,15.37
Top,MVP,ADD,11.61
Top,Afreeca Freecs,MaRin,6.36
Top,Samsung Galaxy,CuVee,4.47
Top,BBQ Olivers,Crazy,2.71
Top,Jin Air Green Wings,ikssu,-0.1
Top,Ever8 Winners,Helper,-1.62
Top,Ever8 Winners,Kiin,-2.88
Top,ROX Tigers,Lindarang,-3.28
Top,Jin Air Green Wings,SoHwan,-4.22
Top,BBQ Olivers,Part,-4.56
Top,Longzhu Gaming,Rascal,-5.6
Top,ROX Tigers,Shy,-5.91
Top,SK Telecom T1,Profit,-12.54
Top,SK Telecom T1,Untara,-13.43
Top,Kongdoo Monster,Roach,-21.37
Jungle,Longzhu Gaming,Crash,15.45
Jungle,Jin Air Green Wings,UmTi,3.9
Jungle,Longzhu Gaming,Cuzz,2.59
Jungle,KT Rolster,Score,2.1
Jungle,MVP,Beyond,-5.33
Jungle,SK Telecom T1,Blank,-5.42
Jungle,Samsung Galaxy,Ambition,-6.38
Jungle,Ever8 Winners,Malrang,-6.48
Jungle,Afreeca Freecs,Mowgli,-6.73
Jungle,ROX Tigers,Mightybear,-7.05
Jungle,Afreeca Freecs,Spirit,-7.62
Jungle,Kongdoo Monster,Punch,-10.16
Jungle,ROX Tigers,Seonghwan,-13.13
Jungle,SK Telecom T1,Peanut,-14.45
Jungle,Samsung Galaxy,Haru,-16.05
Jungle,BBQ Olivers,Bless,-18.16
Jungle,Jin Air Green Wings,Raise,-32.21
Jungle,Ever8 Winners,Comeback,-32.38
Middle,ROX Tigers,Mickey,13.96
Middle,Longzhu Gaming,Fly,10.13
Middle,Samsung Galaxy,Crown,6.65
Middle,ROX Tigers,Lava,1.77
Middle,Afreeca Freecs,Kuro,0.4
Middle,MVP,Ian,0.1
Middle,SK Telecom T1,Faker,0.1
Middle,Longzhu Gaming,Bdd,0.02
Middle,KT Rolster,Pawn,-3.09
Middle,BBQ Olivers,Tempt,-5.99
Middle,Jin Air Green Wings,Kuzan,-6.65
Middle,Ever8 Winners,Cepted,-10.9
Middle,Kongdoo Monster,Edge,-27.57
Middle,ROX Tigers,Crow,-37.42
ADC,KT Rolster,Deft,9.96
ADC,SK Telecom T1,Bang,9.33
ADC,Samsung Galaxy,Ruler,7.29
ADC,Longzhu Gaming,PraY,5.65
ADC,Afreeca Freecs,Kramer,4.85
ADC,Jin Air Green Wings,Teddy,3.04
ADC,ROX Tigers,Sangyoon,1.16
ADC,MVP,MaHa,0.14
ADC,Kongdoo Monster,SSol,-4.31
ADC,Samsung Galaxy,Stitch,-4.78
ADC,BBQ Olivers,Ghost,-6.8
ADC,Ever8 Winners,Deul,-8.27
Support,MVP,Max,15.87
Support,Afreeca Freecs,TusiN,7.83
Support,Longzhu Gaming,GorillA,6.96
Support,Longzhu Gaming,Gorilla,-0.3
Support,SK Telecom T1,Wolf,-2.03
Support,Samsung Galaxy,CoreJJ,-2.82
Support,ROX Tigers,Key,-4.44
Support,KT Rolster,Mata,-9.19
Support,Jin Air Green Wings,SnowFlower,-9.67
Support,Kongdoo Monster,GuGer,-11.1
Support,Afreeca Freecs,Tusin,-12.14
Support,Ever8 Winners,Ella,-12.35
Support,Ever8 Winners,Comeback,-17.78
Support,BBQ Olivers,Totoro,-18.05
