league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,Wayi Spider,Rins,Camille,9773,16978.333480000554,15908
LMS,Wayi Spider,Rins,Camille,4278,8029.643882649497,8333
LMS,Machi 17,3z,Camille,13886,13723.98994614653,12908
LMS,J Team,Morning,Camille,14625,13437.120018543885,12658
LMS,AHQ e-Sports Club,Ziv,Camille,17397,13130.196715072916,12393
LMS,Raise Gaming,Pk,Camille,13667,10920.693456597492,10558
LMS,Machi 17,3z,Camille,15263,13118.556810444694,12383
LMS,Raise Gaming,Pk,Camille,32400,28040.810535827175,28708
LMS,Raise Gaming,Pk,Camille,11354,11199.818654790297,10783
LMS,Wayi Spider,Nexus,Camille,19701,14457.975398242452,13558
LMS,Wayi Spider,Nexus,Camille,11315,10920.693456522045,10558
LMS,AHQ e-Sports Club,Ziv,Camille,9091,15392.89407824069,14408
LMS,AHQ e-Sports Club,Ziv,Camille,7428,7826.0763000107145,8183
LMS,Machi 17,3z,Camille,11255,11384.594569388564,10933
LMS,Raise Gaming,Pk,Camille,10642,11013.997972291905,10633
LMS,J Team,Rest,Camille,12689,17520.09314670038,16438
LMS,AHQ e-Sports Club,Ziv,Camille,12533,11137.994893863828,10733
LMS,AHQ e-Sports Club,Ziv,Camille,19859,18241.573414646668,17158
LMS,Raise Gaming,Pk,Camille,9472,13580.877556992611,12783
LMS,Flash Wolves,MMD,Cho'gath,19763,15266.511440417225,12895
LMS,Wayi Spider,Nexus,Cho'gath,17140,16831.261818790026,14225
LMS,Machi 17,3z,Cho'gath,6322,13980.487412507735,11850
LMS,Raise Gaming,Pk,Cho'gath,16205,13153.51630070554,11200
LMS,Flash Wolves,MMD,Cho'gath,13558,12370.707142210616,10600
LMS,Flash Wolves,MMD,Cho'gath,15020,13728.311715185153,11650
LMS,J Team,Rest,Cho'gath,6858,8114.048629208076,7575
LMS,Machi 17,3z,Fiora,11143,13566.056729889173,11333
LMS,Machi 17,3z,Fiora,13257,9822.1033680085,8600
LMS,Machi 17,3z,Fiora,6557,10444.423310822187,9033
LMS,Machi 17,3z,Fiora,6590,16724.31720416597,13900
LMS,Raise Gaming,Pk,Fiora,29373,16899.48805095835,14050
LMS,Flash Wolves,MMD,Fiora,10407,14132.748532766373,11775
LMS,Machi 17,3z,Fiora,18900,17789.447107256135,14825
LMS,Flash Wolves,MMD,Fiora,24929,20992.117920638826,17800
LMS,Machi 17,3z,Galio,10541,10172.741885296336,10560
LMS,Hong Kong Attitude,MapleSnow,Galio,12086,10400.383366918695,10750
LMS,Hong Kong Attitude,MapleSnow,Galio,17704,9858.726561053834,10300
LMS,Machi 17,3z,Galio,10073,13638.022589980365,13600
LMS,Wayi Spider,Nexus,Galio,18368,22454.631425350883,23e3
LMS,Flash Wolves,MMD,Galio,9824,7604.365593037399,8500
LMS,Fire Ball,Ninuo,Galio,12851,7636.634625741026,8525
LMS,Fire Ball,Ninuo,Galio,10549,10620.558987407017,10935
LMS,Machi 17,3z,Gnar,18550,18804.163345917368,15400
LMS,J Team,Morning,Gnar,25842,14840.346438567189,12075
LMS,Fire Ball,Ninuo,Gnar,12681,11524.640835192635,9595
LMS,Wayi Spider,Nexus,Gnar,11831,9982.34576676762,8525
LMS,Hong Kong Attitude,Riris,Gnar,13248,14457.091671260574,11775
LMS,Hong Kong Attitude,Riris,Gnar,13924,12502.587478245736,10300
LMS,Wayi Spider,Nexus,Gnar,12077,14967.076079684408,12175
LMS,Hong Kong Attitude,Riris,Gnar,6626,13873.397010445802,11325
LMS,Machi 17,3z,Gnar,17951,17981.063900055542,14675
LMS,Hong Kong Attitude,Riris,Gnar,12571,16809.615169639397,13675
LMS,Hong Kong Attitude,Riris,Gnar,11676,12842.382609911887,10550
LMS,Wayi Spider,Nexus,Gnar,13557,13411.894710230417,10975
LMS,Machi 17,3z,Gnar,10426,12159.167809665916,10050
LMS,Hong Kong Attitude,Riris,Gnar,23908,17312.771465582256,14100
LMS,AHQ e-Sports Club,Ziv,Gnar,24897,16630.107593381428,13525
LMS,Fire Ball,Ninuo,Gnar,9522,12090.043445312498,1e4
LMS,Wayi Spider,Rins,Gragas,8595,10673.961336835457,10325
LMS,Wayi Spider,Rins,Gragas,10041,9488.324848857239,9400
LMS,eXtreme Gamers,Nexus,Gragas,14372,15762.285090478674,14700
