position,team,player,dmg_performance
Top,Mysterious Monkeys,Jisu,35.91
Top,Unicorns of Love,Vizicsacsi,20.27
Top,Splyce,Wunder,10.04
Top,H2K,Odoamne,8.98
Top,Mysterious Monkeys,Kikis,8.41
Top,Fnatic,sOAZ,6.14
Top,Vitality,Cabochard,5.64
Top,G2 Esports,Expect,5.04
Top,Ninjas in Pyjamas,Profit,0.17
Top,Misfits,Alphari,-1.61
Top,Roccat,Phaxi,-8.04
Top,G2 Esports,Send0o,-18.43
Top,Origen,Satorius,-22.67
Top,Giants,Flaxxish,-25.73
Jungle,Origen,Cinkrof,33.86
Jungle,Unicorns of Love,Xerxe,28.35
Jungle,Mysterious Monkeys,Lamabear,27.28
Jungle,G2 Esports,Trick,14.26
Jungle,H2K,Jankos,12.11
Jungle,Roccat,Maxlore,11.33
Jungle,Misfits,Maxlore,8.14
Jungle,Roccat,Pridestalker,7.86
Jungle,Vitality,Djoko,6.82
Jungle,Ninjas in Pyjamas,Shook,4.58
Jungle,Splyce,Trashy,2.91
Jungle,Misfits,KaKAO,1.83
Jungle,Mysterious Monkeys,Amazing,0.89
Jungle,Giants,Memento,-5.68
Jungle,Fnatic,Broxah,-12.01
Jungle,G2 Esports,Loulex,-20.99
Middle,H2K,Febiven,16.53
Middle,Misfits,PowerOfEvil,16.04
Middle,Fnatic,Caps,16.01
Middle,Vitality,Nukeduck,15.01
Middle,G2 Esports,Perkz,13.82
Middle,Splyce,Sencux,11.47
Middle,Origen,Naehyun,8.57
Middle,Unicorns of Love,Exileh,5.16
Middle,Roccat,Betsy,4.83
Middle,Mysterious Monkeys,CozQ,3.26
Middle,G2 Esports,Blanc,1.22
Middle,Giants,NighT,-3.77
Middle,Ninjas in Pyjamas,Nagne,-3.84
ADC,Unicorns of Love,Samux,17.39
ADC,Splyce,Kobbe,15.03
ADC,H2K,Nuclear,12.04
ADC,Mysterious Monkeys,Yuuki60,9.62
ADC,G2 Esports,Zven,9.49
ADC,Ninjas in Pyjamas,HeaQ,7.91
ADC,Misfits,Hans Sama,2.44
ADC,Fnatic,Rekkles,0.26
ADC,Roccat,Hjarnan,0.08
ADC,Vitality,Steeelback,-2.86
ADC,Origen,Tabzz,-5.65
ADC,Giants,HeaQ,-22.43
Support,Origen,xPeke,37.13
Support,Splyce,Mikyx,22.81
Support,Unicorns of Love,Hylissang,20.41
Support,Vitality,Hachani,17.73
Support,Giants,HusTlin,10.89
Support,H2K,Chei,6.1
Support,Ninjas in Pyjamas,sprattel,1.5
Support,G2 Esports,mithy,1.48
Support,Mysterious Monkeys,Dreams,-0.46
Support,Vitality,Vander,-2.9
Support,Roccat,Wadid,-3.39
Support,Misfits,IgNar,-5.33
Support,Fnatic,Jesiz,-10.62
