position,team,player,dmg_performance
Top,Longzhu Gaming,Expession,27.28
Top,SK Telecom T1,Huni,15.21
Top,KT Rolster,Smeb,12.96
Top,Longzhu Gaming,Khan,11.15
Top,MVP,ADD,9.84
Top,BBQ Olivers,Crazy,5.72
Top,Samsung Galaxy,CuVee,4.73
Top,Jin Air Green Wings,ikssu,1.31
Top,ROX Tigers,Lindarang,1.29
Top,Ever8 Winners,Helper,1.18
Top,Longzhu Gaming,Rascal,-0.11
Top,Jin Air Green Wings,SoHwan,-1.59
Top,Afreeca Freecs,MaRin,-2
Top,Ever8 Winners,Kiin,-2.54
Top,SK Telecom T1,Profit,-2.54
Top,BBQ Olivers,Part,-2.8
Top,ROX Tigers,Shy,-4.33
Top,SK Telecom T1,Untara,-10.31
Top,Kongdoo Monster,Roach,-22.78
Jungle,Longzhu Gaming,Crash,18
Jungle,Longzhu Gaming,Cuzz,10.47
Jungle,Jin Air Green Wings,UmTi,9.2
Jungle,Afreeca Freecs,Mowgli,6.96
Jungle,KT Rolster,Score,4.38
Jungle,ROX Tigers,Mightybear,3.57
Jungle,MVP,Beyond,3.13
Jungle,SK Telecom T1,Blank,2.15
Jungle,Samsung Galaxy,Ambition,1.64
Jungle,Ever8 Winners,Malrang,1.16
Jungle,ROX Tigers,Seonghwan,-0.84
Jungle,Afreeca Freecs,Spirit,-1.45
Jungle,Kongdoo Monster,Punch,-3.92
Jungle,SK Telecom T1,Peanut,-8.38
Jungle,BBQ Olivers,Bless,-8.69
Jungle,Samsung Galaxy,Haru,-13.47
Jungle,Ever8 Winners,Comeback,-20.15
Jungle,Jin Air Green Wings,Raise,-21.35
Middle,Longzhu Gaming,Fly,23.52
Middle,ROX Tigers,Mickey,9.52
Middle,MVP,Ian,4.35
Middle,Afreeca Freecs,Kuro,3.63
Middle,SK Telecom T1,Faker,2.54
Middle,Samsung Galaxy,Crown,1.97
Middle,ROX Tigers,Lava,-1.74
Middle,Longzhu Gaming,Bdd,-3.09
Middle,BBQ Olivers,Tempt,-5.68
Middle,KT Rolster,Pawn,-6.72
Middle,Ever8 Winners,Cepted,-13.54
Middle,Jin Air Green Wings,Kuzan,-15.1
Middle,ROX Tigers,Crow,-20.49
Middle,Kongdoo Monster,Edge,-21.55
ADC,SK Telecom T1,Bang,17.3
ADC,KT Rolster,Deft,14.02
ADC,Samsung Galaxy,Ruler,7.7
ADC,Longzhu Gaming,PraY,5.64
ADC,MVP,MaHa,3.63
ADC,Afreeca Freecs,Kramer,2.18
ADC,ROX Tigers,Sangyoon,1.03
ADC,Samsung Galaxy,Stitch,-0.05
ADC,Ever8 Winners,Deul,-1.61
ADC,BBQ Olivers,Ghost,-3.58
ADC,Jin Air Green Wings,Teddy,-4.83
ADC,Kongdoo Monster,SSol,-6.69
Support,Longzhu Gaming,Gorilla,30.95
Support,MVP,Max,17.07
Support,Afreeca Freecs,TusiN,17.06
Support,SK Telecom T1,Wolf,11.55
Support,Longzhu Gaming,GorillA,9.83
Support,Samsung Galaxy,CoreJJ,7.74
Support,Jin Air Green Wings,SnowFlower,0.5
Support,ROX Tigers,Key,-0.27
Support,KT Rolster,Mata,-1.25
Support,Ever8 Winners,Ella,-5.51
Support,BBQ Olivers,Totoro,-7
Support,Ever8 Winners,Comeback,-7.88
Support,Kongdoo Monster,GuGer,-8.28
Support,Afreeca Freecs,Tusin,-10.92
