league,team,player,champion,dmgtochamps,predicted,goldspent
LCK,KT Rolster,Smeb,Camille,31107,21221.004395813947,18983
LCK,Samsung Galaxy,CuVee,Camille,16465,12676.13268358471,12583
LCK,SK Telecom T1,Huni,Camille,16309,17813.118595449516,16508
LCK,SK Telecom T1,Untara,Camille,10321,13055.980604078333,12883
LCK,MVP,ADD,Camille,12938,8717.28074925833,9333
LCK,BBQ Olivers,Crazy,Camille,12502,17273.91990961037,16108
LCK,Samsung Galaxy,CuVee,Camille,20398,12644.58128889158,12558
LCK,BBQ Olivers,Crazy,Camille,11026,11457.628769256786,11608
LCK,BBQ Olivers,Crazy,Camille,5230,8922.589566060331,9508
LCK,Samsung Galaxy,CuVee,Camille,25641,17509.407290854357,16283
LCK,Samsung Galaxy,CuVee,Camille,14284,10446.559799403029,10783
LCK,BBQ Olivers,Crazy,Camille,12560,15020.812046060573,14408
LCK,Ever8 Winners,Kiin,Camille,10183,9040.340165073389,9608
LCK,KT Rolster,Smeb,Camille,22618,20627.346704991895,18558
LCK,Ever8 Winners,Kiin,Camille,9227,9187.964911094039,9733
LCK,Jin Air Green Wings,SoHwan,Camille,12530,15086.160523196178,14458
LCK,MVP,ADD,Camille,7695,11087.790503286398,11308
LCK,Ever8 Winners,Kiin,Camille,25298,19622.588253281756,17833
LCK,Longzhu Gaming,Khan,Camille,14390,12361.336800902995,12333
LCK,Samsung Galaxy,CuVee,Camille,12561,14500.102273454055,14008
LCK,Samsung Galaxy,CuVee,Camille,18674,13374.237515619207,13133
LCK,Samsung Galaxy,CuVee,Camille,15012,14112.026584293477,13708
LCK,Ever8 Winners,Kiin,Camille,7396,12644.58128889158,12558
LCK,KT Rolster,Smeb,Camille,12967,12644.58128889158,12558
LCK,Ever8 Winners,Kiin,Camille,23847,20592.531947624575,18533
LCK,BBQ Olivers,Crazy,Cho'gath,21112,13383.334196499676,11675
LCK,BBQ Olivers,Crazy,Cho'gath,17557,15441.815637600674,12825
LCK,BBQ Olivers,Crazy,Cho'gath,10491,16330.506298980214,13305
LCK,ROX Tigers,Lindarang,Cho'gath,9543,15579.54590315113,12900
LCK,ROX Tigers,Lindarang,Cho'gath,9721,13505.72515212927,11745
LCK,MVP,ADD,Cho'gath,31375,19403.565097981027,14900
LCK,MVP,ADD,Cho'gath,18435,16134.648780312367,13200
LCK,MVP,ADD,Cho'gath,12032,11928.061833595239,10825
LCK,SK Telecom T1,Huni,Cho'gath,13407,17122.004872483034,13725
LCK,ROX Tigers,Lindarang,Cho'gath,13026,16508.408646114945,13400
LCK,ROX Tigers,Lindarang,Cho'gath,22131,22716.566175349657,16525
LCK,Jin Air Green Wings,SoHwan,Cho'gath,11654,18080.8971498827,14225
LCK,BBQ Olivers,Crazy,Cho'gath,12034,8025.69440075101,8345
LCK,ROX Tigers,Lindarang,Fiora,15266,13367.541306035111,11775
LCK,Afreeca Freecs,MaRin,Fiora,15419,19259.823010271844,16750
LCK,Longzhu Gaming,Khan,Fiora,16852,17861.617829189807,15575
LCK,Afreeca Freecs,MaRin,Fiora,11354,11577.943330188575,10250
LCK,Ever8 Winners,Helper,Fiora,11418,16289.517191000776,14250
LCK,Longzhu Gaming,Khan,Fiora,23917,25527.21994370418,21983
