position,team,player,dmg_performance
Top,J Team,Morning,23.27
Top,AHQ e-Sports Club,Ziv,13.86
Top,Hong Kong Attitude,MapleSnow,13.08
Top,Hong Kong Esports,MapleSnow,10.7
Top,Raise Gaming,Pk,9.48
Top,Wayi Spider,Nexus,9.2
Top,Hong Kong Attitude,Riris,6.4
Top,Flash Wolves,MMD,1.25
Top,Fire Ball,Ninuo,0.77
Top,eXtreme Gamers,Nexus,0.48
Top,J Team,Rest,-5.67
Top,Machi 17,3z,-11.94
Top,Machi 17,BoBo,-13.87
Top,Wayi Spider,Rins,-21.46
Top,Flash Wolves,Moonblackk,-27.55
Jungle,J Team,Alex,23.11
Jungle,Flash Wolves,Karsa,12.95
Jungle,Fire Ball,Wulala,10.1
Jungle,Wayi Spider,Epic,9.8
Jungle,Machi 17,Taizan,5.58
Jungle,J Team,REFRA1N,2.95
Jungle,Raise Gaming,Laba,1.46
Jungle,Fire Ball,Wind,1.43
Jungle,Hong Kong Esports,Gemini,-0.56
Jungle,Hong Kong Attitude,Gemini,-3.36
Jungle,AHQ e-Sports Club,Mountain,-6.74
Jungle,J Team,Breaker,-9.11
Jungle,Hong Kong Esports,Wulala,-10.13
Jungle,Flash Wolves,REFRA1N,-11.36
Jungle,Hong Kong Attitude,GodKwai,-12.05
Jungle,Hong Kong Attitude,once1,-23.25
Jungle,eXtreme Gamers,Pony,-29.88
Middle,J Team,FoFo,15.81
Middle,Flash Wolves,Maple,13.28
Middle,Fire Ball,M1ssion,9.34
Middle,Hong Kong Esports,Gear,6.03
Middle,Hong Kong Attitude,M1ssion,3.94
Middle,Wayi Spider,Wako,2.93
Middle,J Team,Fofo,2.61
Middle,Raise Gaming,wuji,1.97
Middle,AHQ e-Sports Club,Chawy,0.87
Middle,Machi 17,Apex,0.42
Middle,AHQ e-Sports Club,Westdoor,-2.77
Middle,Fire Ball,Wulala,-3.54
Middle,Fire Ball,MarS,-5.26
Middle,eXtreme Gamers,SiuSiu,-8.06
Middle,Fire Ball,KuKu,-13.93
Middle,Fire Ball,Wind,-24.5
Middle,Hong Kong Esports,KuKu,-30.86
Middle,eXtreme Gamers,Chingz,-49.74
ADC,Hong Kong Attitude,GodKwai,23.88
ADC,Flash Wolves,Madnesss,20.1
ADC,J Team,Bebe,9
ADC,Flash Wolves,Betty,8.31
ADC,Fire Ball,Unified,8.06
ADC,Hong Kong Attitude,Unified,6.38
ADC,J Team,BeBe,5.99
ADC,AHQ e-Sports Club,An,5.89
ADC,Wayi Spider,Breeze,2.39
ADC,Hong Kong Esports,GodKwai,-4
ADC,Raise Gaming,LilV,-4.47
ADC,Fire Ball,Enzz,-4.58
ADC,Machi 17,Dee,-7.62
ADC,AHQ e-Sports Club,LBB,-8.57
ADC,Hong Kong Attitude,DANDAN,-9.64
ADC,Raise Gaming,Ran,-17.65
ADC,eXtreme Gamers,LBB,-20.2
Support,Raise Gaming,Koala,15.9
Support,Wayi Spider,Zest,12.41
Support,Flash Wolves,SwordArt,7.71
Support,J Team,Jay,4.22
Support,Hong Kong Attitude,Kaiwing,1.76
Support,AHQ e-Sports Club,Albis,1.49
Support,Fire Ball,SkuLL,0.41
Support,eXtreme Gamers,SuKi,-1.41
Support,Wayi Spider,K,-1.5
Support,Hong Kong Esports,Veki,-2.78
Support,Machi 17,Dreamer,-4.95
