league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,Wayi Spider,Rins,Camille,9773,17344.540656195204,15908
LMS,Wayi Spider,Rins,Camille,4278,7438.7984536345575,8333
LMS,Machi 17,3z,Camille,13886,13532.088293175046,12908
LMS,J Team,Morning,Camille,14625,13221.358028596615,12658
LMS,AHQ e-Sports Club,Ziv,Camille,17397,12893.240234032524,12393
LMS,Raise Gaming,Pk,Camille,13667,10658.583254842299,10558
LMS,Machi 17,3z,Camille,15263,12880.88403206316,12383
LMS,Raise Gaming,Pk,Camille,32400,34969.70453736023,28708
LMS,Raise Gaming,Pk,Camille,11354,10103.215916811774,10783
LMS,Wayi Spider,Nexus,Camille,19701,14345.241985504721,13558
LMS,Wayi Spider,Nexus,Camille,11315,9853.308962220412,10558
LMS,AHQ e-Sports Club,Ziv,Camille,9091,15419.652525038524,14408
LMS,AHQ e-Sports Club,Ziv,Camille,7428,7280.021756899215,8183
LMS,Machi 17,3z,Camille,11255,11109.72551156687,10933
LMS,Raise Gaming,Pk,Camille,10642,9936.501232914838,10633
LMS,J Team,Rest,Camille,12689,18033.03385994341,16438
LMS,AHQ e-Sports Club,Ziv,Camille,12533,10868.74828423018,10733
LMS,AHQ e-Sports Club,Ziv,Camille,19859,18975.02361880219,17158
LMS,Raise Gaming,Pk,Camille,9472,13376.580523718969,12783
LMS,Flash Wolves,MMD,Cho'gath,19763,16090.434909718193,12895
LMS,Wayi Spider,Nexus,Cho'gath,17140,18608.900875184518,14225
LMS,Machi 17,3z,Cho'gath,6322,13124.387038895893,11850
LMS,Raise Gaming,Pk,Cho'gath,16205,13058.759466552334,11200
LMS,Flash Wolves,MMD,Cho'gath,13558,12035.9047757311,10600
LMS,Flash Wolves,MMD,Cho'gath,15020,13843.482681748825,11650
LMS,J Team,Rest,Cho'gath,6858,7316.608982150461,7575
LMS,Machi 17,3z,Fiora,11143,13413.489937811622,11333
LMS,Machi 17,3z,Fiora,13257,10105.608339935221,8600
LMS,Machi 17,3z,Fiora,6557,10628.052689198812,9033
LMS,Machi 17,3z,Fiora,6590,15290.166873273653,13900
LMS,Raise Gaming,Pk,Fiora,29373,16722.953664811757,14050
LMS,Flash Wolves,MMD,Fiora,10407,13950.577045055194,11775
LMS,Machi 17,3z,Fiora,18900,16335.16574670932,14825
LMS,Flash Wolves,MMD,Fiora,24929,19707.2075597346,17800
LMS,Machi 17,3z,Galio,10541,10168.917908382093,10560
LMS,Hong Kong Attitude,MapleSnow,Galio,12086,10267.49239158203,10750
LMS,Hong Kong Attitude,MapleSnow,Galio,17704,10032.697351270743,10300
LMS,Machi 17,3z,Galio,10073,11660.440777061298,13600
LMS,Wayi Spider,Nexus,Galio,18368,15493.899181083138,23e3
LMS,Flash Wolves,MMD,Galio,9824,9781.54416304363,8500
LMS,Fire Ball,Ninuo,Galio,12851,9056.909728421917,8525
LMS,Fire Ball,Ninuo,Galio,10549,10362.707263982094,10935
LMS,Machi 17,3z,Gnar,18550,19787.69882812654,15400
LMS,J Team,Morning,Gnar,25842,13654.713511011529,12075
LMS,Fire Ball,Ninuo,Gnar,12681,10357.378920446683,9595
LMS,Wayi Spider,Nexus,Gnar,11831,8984.934330398344,8525
LMS,Hong Kong Attitude,Riris,Gnar,13248,14330.594125156935,11775
LMS,Hong Kong Attitude,Riris,Gnar,13924,12200.747782781225,10300
LMS,Wayi Spider,Nexus,Gnar,12077,13790.777711650971,12175
LMS,Hong Kong Attitude,Riris,Gnar,6626,13674.746969612568,11325
LMS,Machi 17,3z,Gnar,17951,17262.360545077634,14675
LMS,Hong Kong Attitude,Riris,Gnar,12571,15858.096614321672,13675
LMS,Hong Kong Attitude,Riris,Gnar,11676,11608.885366844677,10550
LMS,Wayi Spider,Nexus,Gnar,13557,13168.264701398577,10975
LMS,Machi 17,3z,Gnar,10426,10950.650818592361,10050
LMS,Hong Kong Attitude,Riris,Gnar,23908,16452.457022791717,14100
LMS,AHQ e-Sports Club,Ziv,Gnar,24897,15649.206765932404,13525
LMS,Fire Ball,Ninuo,Gnar,9522,10885.185578680932,1e4
LMS,Wayi Spider,Rins,Gragas,8595,10115.510011908049,10325
LMS,Wayi Spider,Rins,Gragas,10041,9254.075073697886,9400
LMS,eXtreme Gamers,Nexus,Gragas,14372,14141.085162126412,14700
LMS,eXtreme Gamers,Nexus,Gragas,3729,9976.098624704087,10175
