league,team,player,champion,dmgtochamps,predicted,goldspent
NALCS,Flyquest,Balls,Camille,9049,14825.111445414996,14258
NALCS,Dignitas,Ssumday,Camille,6864,16471.476590877308,15508
NALCS,Counter Logic Gaming,Darshan,Camille,5993,10416.218692624681,10758
NALCS,FlyQuest,Balls,Camille,11339,15020.812046060573,14408
NALCS,Dignitas,Ssumday,Camille,11352,14564.987544914318,14058
NALCS,Team SoloMid,Hauntzer,Camille,21734,13694.03156638045,13383
NALCS,Cloud9,Ray,Camille,16282,17012.28164001645,15913
NALCS,FlyQuest,Balls,Camille,15418,15446.59609486943,14733
NALCS,Echo Fox,Brandini,Camille,14024,11457.628769256786,11608
NALCS,Team SoloMid,Hauntzer,Camille,23098,12770.88199296042,12658
NALCS,FlyQuest,Balls,Camille,21070,17813.118595449516,16508
NALCS,Echo Fox,Brandini,Camille,24742,15874.76419196001,15058
NALCS,Counter Logic Gaming,Darshan,Camille,15576,9693.457230494963,10158
NALCS,Counter Logic Gaming,Darshan,Camille,12244,8805.152001921573,9408
NALCS,Phoenix1,zig,Cho'gath,5024,6890.788834438287,7550
NALCS,Phoenix1,zig,Cho'gath,12103,13822.196266841263,11925
NALCS,Phoenix1,zig,Cho'gath,9182,8852.537754850531,8900
NALCS,Dignitas,Ssumday,Cho'gath,24641,17791.348002593753,14075
NALCS,Counter Logic Gaming,Darshan,Cho'gath,14382,12222.959470400256,11e3
NALCS,Phoenix1,zig,Cho'gath,16486,17695.188774132414,14025
NALCS,Immortals,Flame,Cho'gath,17092,10203.546951114662,9770
NALCS,FlyQuest,Balls,Cho'gath,6820,10814.027221827877,10150
NALCS,FlyQuest,Balls,Cho'gath,9173,10251.29882980282,9800
NALCS,EnVyUs,Seraph,Cho'gath,15769,12138.450815791542,10950
NALCS,Immortals,Flame,Cho'gath,12838,13339.715926555056,11650
NALCS,EnVyUs,Seraph,Cho'gath,20213,20818.86566550799,15605
NALCS,EnVyUs,Seraph,Cho'gath,14077,16941.851387701805,13630
NALCS,Team SoloMid,Hauntzer,Cho'gath,18098,13928.244792377758,11985
NALCS,EnVyUs,Seraph,Cho'gath,6674,6649.03425062539,7375
NALCS,Team Liquid,Lourlo,Cho'gath,12321,15625.54923459314,12925
NALCS,Cloud9,Impact,Cho'gath,5123,6174.502961888024,7025
NALCS,Counter Logic Gaming,Darshan,Fiora,7637,13291.08358967387,11710
NALCS,Team Liquid,Lourlo,Fiora,6403,11490.168102846003,10175
NALCS,FlyQuest,Balls,Fiora,17902,21229.220836457593,18400
NALCS,Team SoloMid,Hauntzer,Fiora,14284,14988.379353676994,13150
NALCS,Dignitas,Ssumday,Fiora,20023,19051.34805394377,16575
NALCS,Dignitas,Ssumday,Fiora,19473,17623.998308948998,15375
NALCS,Counter Logic Gaming,Darshan,Fiora,26069,20422.750102447975,17725
NALCS,Dignitas,Ssumday,Fiora,10800,16733.93433466334,14625
NALCS,Team Liquid,Lourlo,Fiora,7298,13965.608496313602,12283
NALCS,Counter Logic Gaming,Darshan,Fiora,24846,17861.617829189807,15575
NALCS,Counter Logic Gaming,Darshan,Fiora,5696,10555.392546987385,9375
NALCS,Dignitas,Ssumday,Fiora,11464,9071.67141839256,8100
NALCS,Dignitas,Ssumday,Fiora,17374,12280.969804133385,10850
NALCS,Counter Logic Gaming,Darshan,Fiora,25076,16787.292361053376,14670
NALCS,Counter Logic Gaming,Darshan,Fiora,25846,14693.20458042458,12900
NALCS,Counter Logic Gaming,Darshan,Fiora,32180,22545.752263686692,19500
NALCS,Cloud9,Ray,Galio,15998,12501.969424631796,14175
NALCS,Echo Fox,Looper,Galio,19204,12151.643245159215,13500
NALCS,Phoenix1,zig,Galio,9427,11011.852787601038,11400
NALCS,Echo Fox,Looper,Galio,7842,12411.825456340528,14e3
