position,team,player,dmg_performance
Top,Mysterious Monkeys,Jisu,35.21
Top,Unicorns of Love,Vizicsacsi,19.05
Top,Splyce,Wunder,11.47
Top,Mysterious Monkeys,Kikis,10.22
Top,H2K,Odoamne,7.54
Top,Fnatic,sOAZ,6.57
Top,G2 Esports,Expect,5.8
Top,Vitality,Cabochard,5.4
Top,Ninjas in Pyjamas,Profit,1.1
Top,Misfits,Alphari,-1.39
Top,Roccat,Phaxi,-8.73
Top,G2 Esports,Send0o,-17.19
Top,Origen,Satorius,-22.49
Top,Giants,Flaxxish,-24.3
Jungle,Origen,Cinkrof,29.84
Jungle,Unicorns of Love,Xerxe,29.56
Jungle,Mysterious Monkeys,Lamabear,21.59
Jungle,G2 Esports,Trick,15.52
Jungle,Roccat,Maxlore,12.67
Jungle,H2K,Jankos,12.04
Jungle,Misfits,Maxlore,7.89
Jungle,Vitality,Djoko,6.74
Jungle,Roccat,Pridestalker,5.61
Jungle,Ninjas in Pyjamas,Shook,3.4
Jungle,Mysterious Monkeys,Amazing,3.34
Jungle,Misfits,KaKAO,2.5
Jungle,Splyce,Trashy,1.73
Jungle,Giants,Memento,-2.74
Jungle,Fnatic,Broxah,-11.7
Jungle,G2 Esports,Loulex,-14.97
Middle,Fnatic,Caps,15.5
Middle,Misfits,PowerOfEvil,15.44
Middle,H2K,Febiven,14.97
Middle,G2 Esports,Perkz,14.66
Middle,Vitality,Nukeduck,13.88
Middle,Splyce,Sencux,12.13
Middle,Unicorns of Love,Exileh,5.58
Middle,Mysterious Monkeys,CozQ,4.61
Middle,G2 Esports,Blanc,3.86
Middle,Roccat,Betsy,3.75
Middle,Origen,Naehyun,1.59
Middle,Giants,NighT,-1.03
Middle,Ninjas in Pyjamas,Nagne,-2.73
ADC,Unicorns of Love,Samux,17.73
ADC,Splyce,Kobbe,14.69
ADC,H2K,Nuclear,12.53
ADC,Mysterious Monkeys,Yuuki60,11.12
ADC,G2 Esports,Zven,10.98
ADC,Ninjas in Pyjamas,HeaQ,7.48
ADC,Misfits,Hans Sama,2.72
ADC,Roccat,Hjarnan,1.42
ADC,Fnatic,Rekkles,-1.73
ADC,Vitality,Steeelback,-4.22
ADC,Origen,Tabzz,-12.49
ADC,Giants,HeaQ,-22.89
Support,Origen,xPeke,35.47
Support,Splyce,Mikyx,23.42
Support,Unicorns of Love,Hylissang,20.43
Support,Vitality,Hachani,16.12
Support,Giants,HusTlin,11.7
Support,H2K,Chei,5.55
Support,Ninjas in Pyjamas,sprattel,2.27
Support,G2 Esports,mithy,1.83
Support,Mysterious Monkeys,Dreams,0.97
Support,Vitality,Vander,-2.59
Support,Roccat,Wadid,-3.99
Support,Misfits,IgNar,-5.42
Support,Fnatic,Jesiz,-10.84
