league,team,player,champion,dmgtochamps,predicted,goldspent
EULCS,H2K,Odoamne,Camille,7175,6833.144916636339,7758
EULCS,Fnatic,sOAZ,Camille,21242,17268.54515970621,16933
EULCS,Vitality,Cabochard,Camille,11548,9383.999881192873,10133
EULCS,Unicorns of Love,Vizicsacsi,Camille,18770,11170.099861559884,10983
EULCS,Misfits,Alphari,Camille,13861,16698.95336981189,15408
EULCS,Roccat,Phaxi,Camille,11004,13087.347538456877,13408
EULCS,Fnatic,sOAZ,Camille,22805,17961.390124124628,16383
EULCS,H2K,Odoamne,Camille,8968,12911.778047099739,12408
EULCS,H2K,Odoamne,Camille,19822,17766.227949605505,16233
EULCS,Mysterious Monkeys,Kikis,Camille,18864,11027.813271314197,11608
EULCS,Mysterious Monkeys,Kikis,Camille,11838,13873.567918994282,14083
EULCS,Unicorns of Love,Vizicsacsi,Camille,16468,13000.440950632683,13333
EULCS,Splyce,Wunder,Camille,10238,11685.347515981155,11408
EULCS,Splyce,Wunder,Camille,4982,10802.49941788166,11408
EULCS,Splyce,Wunder,Camille,19116,14786.158759980264,13908
EULCS,Mysterious Monkeys,Kikis,Camille,7150,7945.101466962525,8808
EULCS,Splyce,Wunder,Camille,5038,7624.716850896633,8508
EULCS,Misfits,Alphari,Camille,11596,12711.417305518637,13083
EULCS,Misfits,Alphari,Camille,8919,9054.93251440519,9833
EULCS,Splyce,Wunder,Cho'gath,17762,16424.276880591864,13075
EULCS,Vitality,Cabochard,Cho'gath,19836,17600.586049950827,13700
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,34107,25562.51841178933,17625
EULCS,G2 Esports,Expect,Cho'gath,19176,12162.273908031293,10675
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,33830,15961.210397514664,12825
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,19487,12594.696063485271,11525
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,18427,14241.386634809855,11875
EULCS,Splyce,Wunder,Cho'gath,7784,9671.391434588788,9145
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,12639,17458.037295439226,13625
EULCS,Splyce,Wunder,Cho'gath,11318,12232.1647564837,11300
EULCS,Fnatic,sOAZ,Fiora,10498,14106.161264657238,12850
EULCS,H2K,Odoamne,Fiora,16407,11101.593707156135,9425
EULCS,Splyce,Wunder,Fiora,21265,13869.128997822225,11708
EULCS,G2 Esports,Expect,Fiora,19479,21723.451067379523,18130
EULCS,Splyce,Wunder,Fiora,7823,12048.99031439992,10208
EULCS,Roccat,Phaxi,Fiora,13157,17089.46317723019,14350
