position,team,player,dmg_performance
Top,Longzhu Gaming,Expession,31.87
Top,SK Telecom T1,Huni,15.07
Top,KT Rolster,Smeb,13.99
Top,Longzhu Gaming,Khan,11.85
Top,MVP,ADD,8.82
Top,BBQ Olivers,Crazy,6.69
Top,Samsung Galaxy,CuVee,5.48
Top,Jin Air Green Wings,ikssu,3.03
Top,Longzhu Gaming,Rascal,1.86
Top,ROX Tigers,Lindarang,1.72
Top,Ever8 Winners,Helper,0.91
Top,Afreeca Freecs,MaRin,-1.6
Top,Jin Air Green Wings,SoHwan,-1.67
Top,SK Telecom T1,Profit,-1.68
Top,Ever8 Winners,Kiin,-3.7
Top,ROX Tigers,Shy,-4.89
Top,BBQ Olivers,Part,-5.07
Top,SK Telecom T1,Untara,-9.85
Top,Kongdoo Monster,Roach,-20.95
Jungle,Longzhu Gaming,Crash,21.95
Jungle,Longzhu Gaming,Cuzz,11.68
Jungle,Jin Air Green Wings,UmTi,9.49
Jungle,Afreeca Freecs,Mowgli,7.78
Jungle,ROX Tigers,Mightybear,6.05
Jungle,KT Rolster,Score,4.98
Jungle,MVP,Beyond,3.82
Jungle,SK Telecom T1,Blank,1.97
Jungle,Samsung Galaxy,Ambition,1.47
Jungle,Ever8 Winners,Malrang,0.51
Jungle,Afreeca Freecs,Spirit,-0.46
Jungle,ROX Tigers,Seonghwan,-1.67
Jungle,Kongdoo Monster,Punch,-2.34
Jungle,SK Telecom T1,Peanut,-7.17
Jungle,BBQ Olivers,Bless,-8.29
Jungle,Samsung Galaxy,Haru,-13.14
Jungle,Ever8 Winners,Comeback,-19.85
Jungle,Jin Air Green Wings,Raise,-21.59
Middle,Longzhu Gaming,Fly,25.14
Middle,ROX Tigers,Mickey,8.71
Middle,MVP,Ian,5.24
Middle,Afreeca Freecs,Kuro,4.77
Middle,Samsung Galaxy,Crown,2.99
Middle,SK Telecom T1,Faker,1.85
Middle,ROX Tigers,Lava,-2.02
Middle,Longzhu Gaming,Bdd,-4.34
Middle,BBQ Olivers,Tempt,-6.31
Middle,KT Rolster,Pawn,-6.75
Middle,Ever8 Winners,Cepted,-14.62
Middle,Jin Air Green Wings,Kuzan,-15.47
Middle,ROX Tigers,Crow,-20.97
Middle,Kongdoo Monster,Edge,-21.4
ADC,SK Telecom T1,Bang,17.66
ADC,KT Rolster,Deft,13.79
ADC,Samsung Galaxy,Ruler,9.28
ADC,Longzhu Gaming,PraY,6.24
ADC,Samsung Galaxy,Stitch,4.88
ADC,MVP,MaHa,4.24
ADC,Afreeca Freecs,Kramer,4.14
ADC,ROX Tigers,Sangyoon,0.68
ADC,Kongdoo Monster,SSol,-1.38
ADC,Ever8 Winners,Deul,-2.85
ADC,BBQ Olivers,Ghost,-3.69
ADC,Jin Air Green Wings,Teddy,-5.16
Support,Longzhu Gaming,Gorilla,31.37
Support,MVP,Max,17.47
Support,Afreeca Freecs,TusiN,17.18
Support,SK Telecom T1,Wolf,10.89
Support,Longzhu Gaming,GorillA,10.32
Support,Samsung Galaxy,CoreJJ,7.53
Support,ROX Tigers,Key,0.28
Support,Jin Air Green Wings,SnowFlower,0.08
Support,KT Rolster,Mata,-1.58
Support,Ever8 Winners,Ella,-5.78
Support,Kongdoo Monster,GuGer,-7.28
Support,BBQ Olivers,Totoro,-7.58
Support,Ever8 Winners,Comeback,-8.05
Support,Afreeca Freecs,Tusin,-9.67
