position,league,team,player,champion,dmgtochamps,predicted,goldspent
Top,LCK,KT Rolster,Smeb,Camille,31107,21805.04311481603,18983
Top,LCK,Samsung Galaxy,CuVee,Camille,16465,12923.182058095483,12583
Top,LCK,SK Telecom T1,Huni,Camille,16309,16094.213707721376,16508
Top,LCK,SK Telecom T1,Untara,Camille,10321,13243.990972283356,12883
Top,LCK,MVP,ADD,Camille,12938,8953.055813600833,9333
Top,LCK,BBQ Olivers,Crazy,Camille,12502,15576.523903043024,16108
Top,LCK,Samsung Galaxy,CuVee,Camille,20398,12896.801380645094,12558
Top,LCK,BBQ Olivers,Crazy,Camille,11026,11933.253564037937,11608
Top,LCK,BBQ Olivers,Crazy,Camille,5230,9082.040824485552,9508
Top,LCK,Samsung Galaxy,CuVee,Camille,25641,17486.875925088505,16283
Top,LCK,Samsung Galaxy,CuVee,Camille,14284,11155.087515523846,10783
Top,LCK,BBQ Olivers,Crazy,Camille,12560,15002.146234621683,14408
Top,LCK,Ever8 Winners,Kiin,Camille,10183,9156.579158830038,9608
Top,LCK,KT Rolster,Smeb,Camille,22618,19030.086213293034,18558
Top,LCK,Ever8 Winners,Kiin,Camille,9227,9250.612941511232,9733
Top,LCK,Jin Air Green Wings,SoHwan,Camille,12530,15063.583414866269,14458
Top,LCK,MVP,ADD,Camille,7695,10521.555018779312,11308
Top,LCK,Ever8 Winners,Kiin,Camille,25298,19848.797367947987,17833
Top,LCK,Longzhu Gaming,Khan,Camille,14390,12661.785482202358,12333
Top,LCK,Samsung Galaxy,CuVee,Camille,12561,13119.72257378676,14008
Top,LCK,Samsung Galaxy,CuVee,Camille,18674,13517.406905303293,13133
Top,LCK,Samsung Galaxy,CuVee,Camille,15012,14167.87651841787,13708
Top,LCK,Ever8 Winners,Kiin,Camille,7396,11653.395514719858,12558
Top,LCK,KT Rolster,Smeb,Camille,12967,11653.395514719858,12558
Top,LCK,Ever8 Winners,Kiin,Camille,23847,21017.58582581031,18533
Top,LCK,BBQ Olivers,Crazy,Cho'gath,21112,13701.35887113059,11675
Top,LCK,BBQ Olivers,Crazy,Cho'gath,17557,14342.416766606639,12825
Top,LCK,BBQ Olivers,Crazy,Cho'gath,10491,15250.66306598773,13305
Top,LCK,ROX Tigers,Lindarang,Cho'gath,9543,14480.680164283252,12900
Top,LCK,ROX Tigers,Lindarang,Cho'gath,9721,12491.740826193998,11745
Top,LCK,MVP,ADD,Cho'gath,31375,20698.002567238604,14900
Top,LCK,MVP,ADD,Cho'gath,18435,16652.712288935338,13200
Top,LCK,MVP,ADD,Cho'gath,12032,12289.717862563437,10825
Top,LCK,SK Telecom T1,Huni,Cho'gath,13407,17809.484164383863,13725
Top,LCK,ROX Tigers,Lindarang,Cho'gath,13026,17084.25219471541,13400
Top,LCK,ROX Tigers,Lindarang,Cho'gath,22131,25480.343068595434,16525
Top,LCK,Jin Air Green Wings,SoHwan,Cho'gath,11654,17155.33896053182,14225
Top,LCK,BBQ Olivers,Crazy,Cho'gath,12034,8948.815917854075,8345
Top,LCK,ROX Tigers,Lindarang,Fiora,15266,12461.288833761533,11775
Top,LCK,Afreeca Freecs,MaRin,Fiora,15419,18177.971255091186,16750
Top,LCK,Longzhu Gaming,Khan,Fiora,16852,18401.1689939017,15575
Top,LCK,Afreeca Freecs,MaRin,Fiora,11354,11099.335660655275,10250
Top,LCK,Ever8 Winners,Helper,Fiora,11418,15036.341170363437,14250
Top,LCK,Longzhu Gaming,Khan,Fiora,23917,27041.568389569256,21983
Top,LCK,Jin Air Green Wings,SoHwan,Fiora,9361,10294.36065185711,9258
Top,LCK,SK Telecom T1,Untara,Fiora,19998,18158.38362257183,15400
Top,LCK,KT Rolster,Smeb,Fiora,18565,12902.065317433131,12233
Top,LCK,MVP,ADD,Fiora,22067,23934.817038799938,20375
Top,LCK,ROX Tigers,Lindarang,Fiora,18575,24683.436946442183,19445
Top,LCK,Longzhu Gaming,Khan,Fiora,20774,14239.964991671164,13533
Top,LCK,SK Telecom T1,Untara,Fiora,10810,23491.72270832334,18793
Top,LCK,Longzhu Gaming,Khan,Fiora,13429,11689.866481601153,10933
Top,LCK,Ever8 Winners,Kiin,Fiora,14541,11044.714677329042,10185
Top,LCK,SK Telecom T1,Huni,Fiora,31666,19437.939994619766,17633
Top,LCK,SK Telecom T1,Huni,Fiora,15079,9344.879943287218,7983
Top,LCK,KT Rolster,Smeb,Galio,12106,9885.793430097576,10225
Top,LCK,ROX Tigers,Lindarang,Galio,11162,10554.88757038136,11875
Top,LCK,SK Telecom T1,Huni,Galio,19385,10575.855122426423,11925
Top,LCK,ROX Tigers,Lindarang,Galio,14621,13106.062877769487,14775
Top,LCK,Samsung Galaxy,CuVee,Gnar,9584,11448.010236558328,9600
Top,LCK,SK Telecom T1,Untara,Gnar,15600,17504.330703218257,14125
Top,LCK,Samsung Galaxy,CuVee,Gnar,31501,37258.18580418476,22175
Top,LCK,KT Rolster,Smeb,Gnar,17167,10417.346137900731,9675
Top,LCK,Samsung Galaxy,CuVee,Gnar,4962,10490.923139707906,9750
Top,LCK,BBQ Olivers,Crazy,Gnar,18003,14686.546595580036,13335
Top,LCK,ROX Tigers,Shy,Gnar,14345,17794.1644900834,14300
