position,team,player,dmg_performance
Top,J Team,Morning,23.63
Top,Hong Kong Attitude,MapleSnow,15.29
Top,AHQ e-Sports Club,Ziv,14.62
Top,Hong Kong Esports,MapleSnow,10.28
Top,Wayi Spider,Nexus,8.69
Top,Raise Gaming,Pk,7.96
Top,Hong Kong Attitude,Riris,5.8
Top,eXtreme Gamers,Nexus,1.04
Top,Flash Wolves,MMD,0.79
Top,Fire Ball,Ninuo,0.46
Top,J Team,Rest,-5.84
Top,Machi 17,3z,-12.87
Top,Machi 17,BoBo,-16.9
Top,Wayi Spider,Rins,-20.17
Top,Flash Wolves,Moonblackk,-30.62
Jungle,J Team,Alex,24.59
Jungle,Flash Wolves,Karsa,13.26
Jungle,Wayi Spider,Epic,10.02
Jungle,Fire Ball,Wulala,8.62
Jungle,J Team,REFRA1N,5.56
Jungle,Machi 17,Taizan,4.91
Jungle,Raise Gaming,Laba,-0.5
Jungle,Fire Ball,Wind,-1.02
Jungle,Hong Kong Attitude,Gemini,-3.2
Jungle,J Team,Breaker,-3.62
Jungle,AHQ e-Sports Club,Mountain,-4.62
Jungle,Flash Wolves,REFRA1N,-11.73
Jungle,Hong Kong Attitude,GodKwai,-12.22
Jungle,Hong Kong Esports,Wulala,-12.83
Jungle,Hong Kong Esports,Gemini,-14.2
Jungle,Hong Kong Attitude,once1,-22.97
Jungle,eXtreme Gamers,Pony,-31.65
Middle,J Team,FoFo,16.21
Middle,Flash Wolves,Maple,13.15
Middle,Hong Kong Attitude,M1ssion,4.58
Middle,J Team,Fofo,4.14
Middle,Fire Ball,M1ssion,3.95
Middle,Wayi Spider,Wako,2.97
Middle,AHQ e-Sports Club,Chawy,1.84
Middle,Machi 17,Apex,0.39
Middle,Hong Kong Esports,Gear,0.16
Middle,Raise Gaming,wuji,-0.04
Middle,AHQ e-Sports Club,Westdoor,-2.33
Middle,eXtreme Gamers,SiuSiu,-6.07
Middle,Fire Ball,MarS,-8.75
Middle,Fire Ball,KuKu,-13.53
Middle,Fire Ball,Wulala,-16.14
Middle,Fire Ball,Wind,-24.82
Middle,Hong Kong Esports,KuKu,-34.8
Middle,eXtreme Gamers,Chingz,-53.22
ADC,Hong Kong Attitude,GodKwai,22.4
ADC,Flash Wolves,Madnesss,21.24
ADC,J Team,Bebe,14.35
ADC,Flash Wolves,Betty,8.69
ADC,Hong Kong Attitude,Unified,7.88
ADC,AHQ e-Sports Club,An,6.25
ADC,Fire Ball,Unified,5.55
ADC,J Team,BeBe,5.1
ADC,Wayi Spider,Breeze,2.3
ADC,Raise Gaming,LilV,-5.72
ADC,Fire Ball,Enzz,-8.47
ADC,Hong Kong Attitude,DANDAN,-9.27
ADC,Machi 17,Dee,-9.71
ADC,AHQ e-Sports Club,LBB,-9.78
ADC,Hong Kong Esports,GodKwai,-13.06
ADC,eXtreme Gamers,LBB,-20.68
ADC,Raise Gaming,Ran,-25.34
Support,Raise Gaming,Koala,14.91
Support,Flash Wolves,SwordArt,7.09
Support,Wayi Spider,Zest,6.72
Support,J Team,Jay,4.49
Support,AHQ e-Sports Club,Albis,2.88
Support,Hong Kong Attitude,Kaiwing,2.2
Support,Fire Ball,SkuLL,-0.9
Support,Wayi Spider,K,-1.1
Support,eXtreme Gamers,SuKi,-1.51
Support,Machi 17,Dreamer,-4.73
Support,Hong Kong Esports,Veki,-9.32
