league,team,avg,lead_avg,deficit_avg,abs_avg,games_ahead,games_behind,games_won,games_lost,predictive,winahead,losebehind,%ahead,%won,game_record,rank
EULCS,Fnatic,1221.52,1813.95,-1148.2,1680.8,20,5,21,4,72,85,20,80,84,0.84,1
EULCS,H2K,936.3333333333334,3065.923076923077,-1580.4545454545455,2385.0833333333335,13,11,18,6,71,92,45,54,75,0.75,2
EULCS,G2 Esports,777.0357142857143,2047.6470588235295,-1186.6363636363637,1709.392857142857,17,11,19,9,71,82,55,61,68,0.6785714285714286,3
EULCS,Unicorns of Love,-376.1666666666667,1634.2307692307693,-1913.5294117647059,1792.5,13,17,19,11,53,69,41,43,63,0.6333333333333333,4
EULCS,Splyce,51.74074074074074,2006.3333333333333,-2391.5,2177.5185185185187,15,12,14,13,67,67,67,56,52,0.5185185185185185,5
EULCS,Misfits,56.8,1655.7777777777778,-2341.6666666666665,1930.1333333333334,18,12,14,16,60,56,67,60,47,0.4666666666666667,6
EULCS,Vitality,-559.36,1917,-1178.45,1326.16,5,20,10,15,72,80,70,20,40,0.4,7
EULCS,Roccat,-572.2142857142857,1389.0714285714287,-2533.5,1961.2857142857142,14,14,10,18,71,57,86,50,36,0.35714285714285715,8
EULCS,Mysterious Monkeys,-1036.2307692307693,972.625,-1929.0555555555557,1634.7692307692307,8,18,5,21,65,25,83,31,19,0.19230769230769232,9
EULCS,Ninjas in Pyjamas,-356.85185185185185,1727,-2023.9333333333334,1891.962962962963,12,15,5,22,67,33,93,44,19,0.18518518518518517,10
LCK,Longzhu Gaming,1044.2045454545455,1962.6875,-1405.0833333333333,1810.6136363636363,32,12,31,13,80,84,67,73,70,0.7045454545454546,1
LCK,KT Rolster,1587.9574468085107,2576.942857142857,-1296.5833333333333,2250.0425531914893,35,12,31,16,70,74,58,74,66,0.6595744680851063,2
LCK,Samsung Galaxy,209.88636363636363,2063,-1482.0869565217392,1759.340909090909,21,23,29,15,68,86,52,48,66,0.6590909090909091,3
LCK,SK Telecom T1,91.29268292682927,2394.842105263158,-1898.1363636363637,2128.317073170732,19,22,26,15,78,95,64,46,63,0.6341463414634146,4
LCK,Afreeca Freecs,29.5625,1583.392857142857,-2145.8,1817.7291666666667,28,20,27,21,69,71,65,58,56,0.5625,5
LCK,Jin Air Green Wings,682.3809523809524,2200.92,-1550.764705882353,1937.7619047619048,25,17,21,21,71,68,76,60,50,0.5,6
LCK,ROX Tigers,-1369.7954545454545,912.1428571428571,-2434.7,1950.25,14,30,17,27,70,64,73,32,39,0.38636363636363635,7
LCK,MVP,-638.0714285714286,1120.5,-1957,1598.5,18,24,13,29,69,50,83,43,31,0.30952380952380953,8
LCK,BBQ Olivers,-351.4,2213.235294117647,-1908.5,2023.6222222222223,17,28,13,32,82,65,93,38,29,0.28888888888888886,9
LCK,Ever8 Winners,-1481.780487804878,1919.1,-2578.8387096774195,2417.9268292682927,10,31,11,30,73,50,81,24,27,0.2682926829268293,10
LMS,Flash Wolves,1340.3235294117646,2591.2916666666665,-1662,2317.970588235294,24,10,23,11,74,79,60,71,68,0.6764705882352942,1
LMS,J Team,480.0967741935484,2194.133333333333,-1126.8125,1643.258064516129,15,16,20,11,65,80,50,48,65,0.6451612903225806,2
LMS,AHQ e-Sports Club,653.2666666666667,2505.6111111111113,-2125.25,2353.4666666666667,18,12,18,12,80,83,75,60,60,0.6,3
LMS,Raise Gaming,-907.5555555555555,1762,-2606.3636363636365,2278,14,22,21,15,64,79,55,39,58,0.5833333333333334,4
LMS,Hong Kong Attitude,-98.34285714285714,1726.1052631578948,-2264.875,1972.4,19,16,17,18,49,47,50,54,49,0.4857142857142857,5
LMS,Machi 17,-435.3636363636364,1982.6666666666667,-2450.3888888888887,2237.787878787879,15,18,15,18,76,73,78,45,45,0.45454545454545453,6
LMS,Wayi Spider,-65.42424242424242,2149.3333333333335,-1911.0555555555557,2019.3636363636363,15,18,14,19,67,60,72,45,42,0.42424242424242425,7
LMS,Fire Ball,-979,1795.2,-2520.222222222222,2261.285714285714,10,18,2,26,64,10,94,36,7,0.07142857142857142,8
NALCS,Team SoloMid,19.804878048780488,1637.3333333333333,-1246.0869565217392,1417.8536585365853,18,23,30,11,56,83,35,44,73,0.7317073170731707,1
NALCS,Immortals,958.5333333333333,2757.3846153846152,-1503.0526315789473,2227.777777777778,26,19,30,15,78,88,63,58,67,0.6666666666666666,2
NALCS,Cloud9,727.8222222222222,2048.8275862068967,-1666.5,1912.888888888889,29,16,28,17,71,76,62,64,62,0.6222222222222222,3
NALCS,Counter Logic Gaming,-292.2391304347826,1717.7142857142858,-1980.6,1860.5869565217392,21,25,27,19,74,86,64,46,59,0.5869565217391305,4
NALCS,Dignitas,-388.19607843137254,2082.090909090909,-2262.206896551724,2184.5098039215686,22,29,29,22,75,86,66,43,57,0.5686274509803921,5
NALCS,EnVyUs,698.2978723404256,2194.2758620689656,-1711.888888888889,2009.5319148936171,29,18,21,26,74,66,89,62,45,0.44680851063829785,6
NALCS,FlyQuest,-670.7954545454545,1863.3125,-2118.8571428571427,2025.9318181818182,16,28,17,27,57,44,64,36,39,0.38636363636363635,7
NALCS,Echo Fox,-360.5813953488372,2020.4444444444443,-2074.92,2052.1162790697676,18,25,16,27,58,44,68,42,37,0.37209302325581395,8
NALCS,Phoenix1,-668.0217391304348,1283.8260869565217,-2619.8695652173915,1951.8478260869565,23,23,15,31,70,52,87,50,33,0.32608695652173914,9
NALCS,Team Liquid,-12,1782.4166666666667,-2165.3,1956.4545454545455,24,20,13,31,61,42,85,55,30,0.29545454545454547,10
TCL,Fenerbahce Esports,943.5357142857143,2651.764705882353,-1696.4545454545455,2276.464285714286,17,11,20,8,82,94,64,61,71,0.7142857142857143,1
TCL,SuperMassive,974.1071428571429,2840.176470588235,-1909.8181818181818,2474.6785714285716,17,11,18,10,68,76,55,61,64,0.6428571428571429,2
TCL,Crew e-Sports Club,195.5625,2245.176470588235,-2127.3333333333335,2189.9375,17,15,20,12,72,82,60,53,62,0.625,3
TCL,Team AURORA,1445.6060606060605,3073.0434782608695,-2297.5,2838.030303030303,23,10,20,13,61,65,50,70,61,0.6060606060606061,4
TCL,P3P eSports,-997.9142857142857,1438.6923076923076,-2437.7272727272725,2066.657142857143,13,22,16,19,69,69,68,37,46,0.45714285714285713,5
TCL,Dark Passage,22.083333333333332,2576.625,-2021.55,2268.25,16,20,15,21,69,62,75,44,42,0.4166666666666667,6
TCL,Galakticos,-290.25,1977.5384615384614,-2255.6666666666665,2126.535714285714,13,15,9,19,50,31,67,46,32,0.32142857142857145,7
TCL,Cilekler,-2335.6428571428573,1278.875,-3781.45,3066.4285714285716,8,20,6,22,71,38,85,29,21,0.21428571428571427,8
