league,team,player,champion,dmgtochamps,predicted,goldspent
EULCS,H2K,Odoamne,Camille,7175,11601.13431502636,7758
EULCS,Fnatic,sOAZ,Camille,21242,19899.915446647243,16933
EULCS,Vitality,Cabochard,Camille,11548,10540.802066343243,10133
EULCS,Unicorns of Love,Vizicsacsi,Camille,18770,10358.507835354745,10983
EULCS,Misfits,Alphari,Camille,13861,13572.171877310228,15408
EULCS,Roccat,Phaxi,Camille,11004,14353.140154592487,13408
EULCS,Fnatic,sOAZ,Camille,22805,19470.447364533466,16383
EULCS,H2K,Odoamne,Camille,8968,8008.096367439257,12408
EULCS,H2K,Odoamne,Camille,19822,17129.98919914365,16233
EULCS,Mysterious Monkeys,Kikis,Camille,18864,14971.540450763025,11608
EULCS,Mysterious Monkeys,Kikis,Camille,11838,16667.949851824294,14083
EULCS,Unicorns of Love,Vizicsacsi,Camille,16468,13346.97795709121,13333
EULCS,Splyce,Wunder,Camille,10238,13375.197565897224,11408
EULCS,Splyce,Wunder,Camille,4982,11553.738617125566,11408
EULCS,Splyce,Wunder,Camille,19116,13405.888340795284,13908
EULCS,Mysterious Monkeys,Kikis,Camille,7150,11695.732573415475,8808
EULCS,Splyce,Wunder,Camille,5038,9229.90609509546,8508
EULCS,Misfits,Alphari,Camille,11596,17068.58832837299,13083
EULCS,Misfits,Alphari,Camille,8919,12759.13136547155,9833
EULCS,Splyce,Wunder,Cho'gath,17762,13003.81546166802,13075
EULCS,Vitality,Cabochard,Cho'gath,19836,17489.56202157944,13700
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,34107,21183.250034221444,17625
EULCS,G2 Esports,Expect,Cho'gath,19176,11405.832258209275,10675
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,33830,14516.557343969118,12825
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,19487,15495.904426978315,11525
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,18427,12644.920917022537,11875
EULCS,Splyce,Wunder,Cho'gath,7784,8989.232516021946,9145
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,12639,17155.139602675466,13625
EULCS,Splyce,Wunder,Cho'gath,11318,12990.009046474433,11300
EULCS,Fnatic,sOAZ,Fiora,10498,16942.008904967,12850
EULCS,H2K,Odoamne,Fiora,16407,9139.436748451239,9425
EULCS,Splyce,Wunder,Fiora,21265,13780.677429072426,11708
EULCS,G2 Esports,Expect,Fiora,19479,23696.280332139046,18130
EULCS,Splyce,Wunder,Fiora,7823,12086.757815217872,10208
