position,team,player,dmg_performance
ADC,KT Rolster,Deft,19.35
ADC,Samsung Galaxy,Ruler,16.02
ADC,SK Telecom T1,Bang,15.62
ADC,Longzhu Gaming,PraY,8.76
ADC,Afreeca Freecs,Kramer,6.98
ADC,Jin Air Green Wings,Teddy,1.42
ADC,ROX Tigers,Sangyoon,-1.27
ADC,Samsung Galaxy,Stitch,-6.96
ADC,MVP,MaHa,-7.21
ADC,BBQ Olivers,Ghost,-8.47
ADC,Ever8 Winners,Deul,-9.84
ADC,Kongdoo Monster,SSol,-10.83
Jungle,Longzhu Gaming,Cuzz,11.21
Jungle,Afreeca Freecs,Mowgli,9.84
Jungle,Samsung Galaxy,Ambition,7.43
Jungle,Jin Air Green Wings,UmTi,6.56
Jungle,Longzhu Gaming,Crash,6.33
Jungle,KT Rolster,Score,5.87
Jungle,SK Telecom T1,Blank,5.27
Jungle,Afreeca Freecs,Spirit,1.37
Jungle,Kongdoo Monster,Punch,-3.6
Jungle,Ever8 Winners,Malrang,-4.28
Jungle,MVP,Beyond,-5.07
Jungle,ROX Tigers,Mightybear,-5.79
Jungle,Samsung Galaxy,Haru,-7.07
Jungle,SK Telecom T1,Peanut,-7.32
Jungle,BBQ Olivers,Bless,-10.18
Jungle,ROX Tigers,Seonghwan,-11.3
Jungle,Ever8 Winners,Comeback,-27.24
Jungle,Jin Air Green Wings,Raise,-31.51
Middle,Longzhu Gaming,Fly,7.63
Middle,ROX Tigers,Mickey,7.08
Middle,Samsung Galaxy,Crown,4.92
Middle,SK Telecom T1,Faker,2.12
Middle,Longzhu Gaming,Bdd,0.28
Middle,Afreeca Freecs,Kuro,-1.67
Middle,KT Rolster,Pawn,-3.01
Middle,MVP,Ian,-7.19
Middle,ROX Tigers,Lava,-8.56
Middle,BBQ Olivers,Tempt,-9.92
Middle,Jin Air Green Wings,Kuzan,-12.76
Middle,Ever8 Winners,Cepted,-13.85
Middle,Kongdoo Monster,Edge,-27.85
Middle,ROX Tigers,Crow,-40.87
Support,Afreeca Freecs,TusiN,21.3
Support,Longzhu Gaming,GorillA,16.94
Support,MVP,Max,16.22
Support,Longzhu Gaming,Gorilla,11.43
Support,Samsung Galaxy,CoreJJ,5.96
Support,SK Telecom T1,Wolf,4.49
Support,KT Rolster,Mata,3.87
Support,ROX Tigers,Key,-0.12
Support,Jin Air Green Wings,SnowFlower,-2.41
Support,Ever8 Winners,Ella,-5.62
Support,BBQ Olivers,Totoro,-10.25
Support,Kongdoo Monster,GuGer,-10.93
Support,Ever8 Winners,Comeback,-15.31
Support,Afreeca Freecs,Tusin,-15.97
Top,Longzhu Gaming,Expession,20.96
Top,Longzhu Gaming,Khan,15.72
Top,KT Rolster,Smeb,15.31
Top,SK Telecom T1,Huni,14.73
Top,Samsung Galaxy,CuVee,9.37
Top,MVP,ADD,7.56
Top,Afreeca Freecs,MaRin,1.28
Top,BBQ Olivers,Crazy,-0.4
Top,SK Telecom T1,Untara,-4.76
Top,Ever8 Winners,Kiin,-5.01
Top,ROX Tigers,Shy,-5.04
Top,Jin Air Green Wings,SoHwan,-5.4
Top,Jin Air Green Wings,ikssu,-7.77
Top,ROX Tigers,Lindarang,-8.99
Top,Ever8 Winners,Helper,-10.19
Top,BBQ Olivers,Part,-17.63
Top,SK Telecom T1,Profit,-17.63
Top,Longzhu Gaming,Rascal,-22.43
Top,Kongdoo Monster,Roach,-25.78
