position,team,player,dmg_performance
ADC,Flash Wolves,Betty,20.5
ADC,Hong Kong Attitude,GodKwai,12.55
ADC,AHQ e-Sports Club,An,8.74
ADC,Hong Kong Attitude,Unified,6.08
ADC,J Team,BeBe,3.36
ADC,Wayi Spider,Breeze,1.82
ADC,J Team,Bebe,1.36
ADC,Flash Wolves,Madnesss,-2
ADC,Raise Gaming,LilV,-4.64
ADC,Fire Ball,Unified,-5.21
ADC,Raise Gaming,Ran,-9.59
ADC,Machi 17,Dee,-11.91
ADC,AHQ e-Sports Club,LBB,-13.75
ADC,Hong Kong Esports,GodKwai,-20.75
ADC,Fire Ball,Enzz,-23.1
ADC,Hong Kong Attitude,DANDAN,-29.93
ADC,eXtreme Gamers,LBB,-36.78
Jungle,J Team,Alex,24.16
Jungle,Flash Wolves,Karsa,12.84
Jungle,Flash Wolves,REFRA1N,5.34
Jungle,Fire Ball,Wulala,1.57
Jungle,Machi 17,Taizan,1.16
Jungle,AHQ e-Sports Club,Mountain,0.9
Jungle,J Team,Breaker,-2.79
Jungle,Wayi Spider,Epic,-3.94
Jungle,J Team,REFRA1N,-7.33
Jungle,Hong Kong Attitude,Gemini,-7.58
Jungle,Raise Gaming,Laba,-9.61
Jungle,Hong Kong Attitude,GodKwai,-11.17
Jungle,Fire Ball,Wind,-16.88
Jungle,Hong Kong Esports,Wulala,-22.03
Jungle,Hong Kong Esports,Gemini,-22.97
Jungle,Hong Kong Attitude,once1,-33.66
Jungle,eXtreme Gamers,Pony,-42.69
Middle,J Team,FoFo,21.88
Middle,Flash Wolves,Maple,9.64
Middle,AHQ e-Sports Club,Chawy,5.8
Middle,Fire Ball,MarS,4.19
Middle,Fire Ball,M1ssion,3.95
Middle,Hong Kong Attitude,M1ssion,2.81
Middle,J Team,Fofo,2.74
Middle,Hong Kong Esports,Gear,0.82
Middle,Wayi Spider,Wako,-0.85
Middle,Machi 17,Apex,-4.43
Middle,Raise Gaming,wuji,-4.8
Middle,AHQ e-Sports Club,Westdoor,-9.01
Middle,eXtreme Gamers,SiuSiu,-13.38
Middle,Fire Ball,KuKu,-17.83
Middle,Fire Ball,Wulala,-19.07
Middle,Hong Kong Esports,KuKu,-21.73
Middle,Fire Ball,Wind,-33.77
Middle,eXtreme Gamers,Chingz,-62.59
Support,AHQ e-Sports Club,Albis,22.53
Support,J Team,Jay,13.45
Support,Raise Gaming,Koala,12.31
Support,Wayi Spider,Zest,5.49
Support,Flash Wolves,SwordArt,4.32
Support,Hong Kong Esports,Veki,0.94
Support,Wayi Spider,K,-1.36
Support,eXtreme Gamers,SuKi,-1.55
Support,Machi 17,Dreamer,-3.04
Support,Hong Kong Attitude,Kaiwing,-3.06
Support,Fire Ball,SkuLL,-8.31
Top,J Team,Morning,24.88
Top,Hong Kong Attitude,MapleSnow,17.79
Top,AHQ e-Sports Club,Ziv,12.19
Top,Hong Kong Esports,MapleSnow,7.34
Top,Hong Kong Attitude,Riris,5.15
Top,Raise Gaming,Pk,4.25
Top,Wayi Spider,Nexus,3.39
Top,Flash Wolves,MMD,2.48
Top,J Team,Rest,-2.96
Top,eXtreme Gamers,Nexus,-3.5
Top,Fire Ball,Ninuo,-7.28
Top,Machi 17,3z,-12.55
Top,Wayi Spider,Rins,-23.19
Top,Flash Wolves,Moonblackk,-27.53
Top,Machi 17,BoBo,-30.26
