league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,J Team,Bebe,Ashe,13837,11145.261630926887,12525
LMS,Fire Ball,Unified,Ashe,21435,20807.427806850686,12600
LMS,Wayi Spider,Breeze,Ashe,8755,12731.945285327527,11275
LMS,AHQ e-Sports Club,An,Ashe,18894,19736.344979828285,14125
LMS,Wayi Spider,Breeze,Ashe,8401,19188.259536583202,16550
LMS,Machi 17,Dee,Ashe,9609,10391.578958779832,9900
LMS,Hong Kong Esports,GodKwai,Ashe,17298,17544.18011461594,11775
LMS,eXtreme Gamers,LBB,Ashe,15003,21813.90485598251,14650
LMS,eXtreme Gamers,LBB,Ashe,4264,14104.956332257803,10850
LMS,eXtreme Gamers,LBB,Ashe,10965,13107.278718434543,10800
LMS,Wayi Spider,Breeze,Ashe,15934,16875.832069758326,13550
LMS,Wayi Spider,Breeze,Ashe,14777,18368.67738553748,13150
LMS,eXtreme Gamers,LBB,Ashe,11122,11430.49866114352,9025
LMS,eXtreme Gamers,LBB,Ashe,4754,10644.055539028612,8700
LMS,Fire Ball,Unified,Ashe,33405,24784.644962091505,17275
LMS,Fire Ball,Unified,Ashe,27336,37168.893275508584,24350
LMS,J Team,Bebe,Ashe,26790,32692.990784389585,19375
LMS,AHQ e-Sports Club,An,Ashe,10530,10797.517893708626,12275
LMS,AHQ e-Sports Club,An,Ashe,11392,18836.280558145343,12850
LMS,Fire Ball,Unified,Ashe,6760,7043.6177233591125,7525
LMS,Fire Ball,Unified,Ashe,6969,6149.182261685106,7600
LMS,Flash Wolves,Betty,Ashe,8463,11649.648796780672,12075
LMS,Flash Wolves,Betty,Ashe,5505,8750.745430999661,10725
LMS,J Team,BeBe,Ashe,18041,23648.75910085908,16050
LMS,J Team,BeBe,Ashe,12061,13542.817287525382,9975
LMS,Machi 17,Dee,Ashe,36201,31039.14186887502,19050
LMS,Machi 17,Dee,Ashe,15707,20061.42099540459,13975
LMS,Hong Kong Attitude,GodKwai,Ashe,17932,9635.3852575963665,10600
LMS,Wayi Spider,Breeze,Ashe,20437,7669.488393955331,9475
LMS,Wayi Spider,Breeze,Ashe,9944,14084.151732154636,10350
LMS,Hong Kong Attitude,GodKwai,Ashe,13437,13530.033697856485,10075
LMS,AHQ e-Sports Club,LBB,Ashe,12460,11059.777333582719,1e4
LMS,AHQ e-Sports Club,An,Ashe,15505,16913.60934893283,12875
LMS,Wayi Spider,Breeze,Ashe,28534,21906.379158430784,15675
LMS,Wayi Spider,Breeze,Ashe,33375,17957.87124138298,15125
LMS,J Team,BeBe,Ashe,21521,28861.150823089836,19395
LMS,J Team,BeBe,Ashe,18688,20497.049823832716,14950
LMS,Flash Wolves,Madnesss,Ashe,27301,27696.6258246716,17300
LMS,Wayi Spider,Breeze,Ashe,17690,17839.760724485383,14200
LMS,Machi 17,Dee,Ashe,10066,8715.730558809848,7825
LMS,Machi 17,Dee,Ashe,7258,11377.581982199566,1e4
LMS,Fire Ball,Unified,Ashe,17108,30275.63053252152,17575
LMS,Wayi Spider,Breeze,Ashe,8972,13764.112901808083,13325
LMS,Wayi Spider,Breeze,Ashe,26612,23019.973382746914,18425
LMS,J Team,BeBe,Ashe,21721,17944.085605252818,15175
LMS,Flash Wolves,Betty,Ashe,6757,7716.261610302942,9675
LMS,Hong Kong Attitude,GodKwai,Ashe,14651,6843.172059454082,7750
LMS,J Team,BeBe,Ashe,14452,19995.257608539643,14235
LMS,J Team,BeBe,Ashe,14110,10390.076764473653,10575
LMS,Wayi Spider,Breeze,Ashe,9947,18533.573272871043,15625
LMS,AHQ e-Sports Club,An,Ashe,12736,15902.602960441309,13750
LMS,Fire Ball,Unified,Ashe,6414,10039.203742806074,9050
LMS,AHQ e-Sports Club,An,Ashe,15718,17514.155591504696,14735
LMS,AHQ e-Sports Club,An,Ashe,17721,13071.344219177963,10500
LMS,J Team,BeBe,Ashe,19046,19851.575482530043,13600
LMS,AHQ e-Sports Club,An,Ashe,22244,15437.573657728728,13925
LMS,J Team,BeBe,Ashe,11181,17740.009206126695,12e3
LMS,AHQ e-Sports Club,An,Ashe,10313,6608.712807117041,7975
LMS,Hong Kong Attitude,Unified,Ashe,17131,12712.889354280134,14500
LMS,Hong Kong Attitude,Unified,Ashe,12287,9957.332447626135,10625
LMS,Wayi Spider,Breeze,Ashe,26448,13360.085605901182,11300
LMS,Hong Kong Attitude,Unified,Ashe,28273,28510.959164927557,2e4
LMS,Raise Gaming,LilV,Ashe,22343,16784.352869881517,14750
LMS,Hong Kong Esports,GodKwai,Caitlyn,7386,6793.199537428804,7750
LMS,Machi 17,Dee,Caitlyn,13636,14393.273734456037,13100
LMS,Raise Gaming,LilV,Caitlyn,26179,25634.1033127815,18050
LMS,Fire Ball,Unified,Caitlyn,22871,19992.920518313047,13200
LMS,Machi 17,Dee,Caitlyn,19552,28729.118338795222,22475
LMS,Hong Kong Attitude,GodKwai,Caitlyn,10148,12966.451191059376,8775
LMS,Wayi Spider,Breeze,Caitlyn,29521,33991.78822487083,20375
LMS,Flash Wolves,Madnesss,Caitlyn,26555,26999.923622993352,17650
LMS,Machi 17,Dee,Caitlyn,7525,19225.44939362613,12925
LMS,Fire Ball,Unified,Caitlyn,27409,23819.43424452939,14300
LMS,Hong Kong Attitude,GodKwai,Caitlyn,16013,22679.9512924077,14225
LMS,Hong Kong Attitude,GodKwai,Caitlyn,28043,28085.127192317726,19975
LMS,Fire Ball,Unified,Caitlyn,9764,17811.904671342443,11850
LMS,Raise Gaming,LilV,Caitlyn,25299,28225.719505920722,19725
LMS,Raise Gaming,LilV,Caitlyn,25131,31882.75037027001,18e3
LMS,Raise Gaming,LilV,Caitlyn,25131,19011.1332390396,18e3
LMS,Machi 17,Dee,Caitlyn,8290,15021.695202467443,9325
LMS,Flash Wolves,Betty,Caitlyn,15839,11913.651479741638,10425
LMS,Hong Kong Attitude,GodKwai,Caitlyn,24095,35309.8307010921,19700
LMS,Hong Kong Attitude,GodKwai,Caitlyn,21629,31033.841289929085,20175
LMS,Flash Wolves,Betty,Caitlyn,26038,22634.67226099119,14450
LMS,AHQ e-Sports Club,An,Caitlyn,29952,18301.88545626749,15025
LMS,Fire Ball,Unified,Caitlyn,36206,32553.544546671812,20375
LMS,Fire Ball,Unified,Caitlyn,39109,24560.094199688,14675
LMS,AHQ e-Sports Club,An,Caitlyn,23510,20430.276356945098,16075
LMS,AHQ e-Sports Club,An,Caitlyn,12248,7499.935232818069,9775
LMS,AHQ e-Sports Club,An,Caitlyn,20095,14678.643615525623,11725
LMS,AHQ e-Sports Club,An,Caitlyn,13379,10651.886753904211,10775
LMS,Machi 17,Dee,Caitlyn,10761,12232.888681142073,9475
LMS,AHQ e-Sports Club,An,Caitlyn,10606,12535.995359909137,12875
LMS,Flash Wolves,Betty,Caitlyn,14103,12180.366815209934,12075
LMS,Fire Ball,Enzz,Caitlyn,7359,14136.534806707543,10500
LMS,Hong Kong Attitude,Unified,Caitlyn,17769,16828.648031801968,12150
LMS,Wayi Spider,Breeze,Caitlyn,23714,22386.87565720976,17300
LMS,Flash Wolves,Betty,Caitlyn,46551,27973.232593252455,19775
LMS,Raise Gaming,LilV,Caitlyn,25953,18734.311697812824,14900
LMS,Fire Ball,Enzz,Caitlyn,14872,12447.109367770227,9975
LMS,Fire Ball,Enzz,Caitlyn,16041,21373.596537253216,11950
LMS,J Team,BeBe,Caitlyn,14086,7162.063699849598,7250
LMS,Wayi Spider,Breeze,Ezreal,12944,14994.366273324016,9975
LMS,eXtreme Gamers,LBB,Ezreal,15545,28412.20992049531,15058
LMS,AHQ e-Sports Club,An,Ezreal,12024,12226.79204802997,11333
LMS,Machi 17,Dee,Jhin,5198,17192.692676485472,12550
LMS,Hong Kong Esports,GodKwai,Jhin,26373,25588.190453274554,14875
LMS,Flash Wolves,Betty,Jhin,10814,16548.65005794979,13275
LMS,J Team,Bebe,Jhin,17892,23737.669720158363,13475
LMS,Flash Wolves,Betty,Jhin,38905,39593.6955519434,25575
LMS,J Team,BeBe,Jhin,14398,15587.535457797258,13100
LMS,Wayi Spider,Breeze,Jhin,37020,33579.501787422145,21750
LMS,Machi 17,Dee,Jhin,6152,10272.34227481484,10750
LMS,Hong Kong Attitude,GodKwai,Jhin,34911,25921.646550596495,14700
LMS,Raise Gaming,Ran,Jhin,7914,10891.529019349418,10525
LMS,Machi 17,Dee,Jhin,13564,20971.215811037575,14025
LMS,J Team,BeBe,Jhin,26272,14937.30159238538,12575
LMS,Raise Gaming,LilV,Jhin,19253,13000.504265426634,10050
LMS,Hong Kong Attitude,Unified,Jhin,13867,11864.096101249792,10525
LMS,Fire Ball,Enzz,Jhin,13520,17282.226852850017,10150
LMS,J Team,BeBe,Jhin,16503,20507.012749897956,13525
LMS,J Team,BeBe,Jhin,9617,8905.264876680545,8750
LMS,Machi 17,Dee,Jhin,8238,11857.454610914336,9325
LMS,Hong Kong Attitude,Unified,Jhin,38324,27371.50264615065,18e3
LMS,Machi 17,Dee,Jhin,5020,11302.240071629541,11025
LMS,Machi 17,Dee,Jhin,11712,12070.543659517638,10825
LMS,Machi 17,Dee,Jhin,47286,28763.041204233912,21125
LMS,AHQ e-Sports Club,An,Kalista,9118,9746.634527763503,10500
LMS,Fire Ball,Unified,Kalista,6614,10815.492800217995,9425
LMS,Wayi Spider,Breeze,Kalista,8526,10505.701273502993,9850
LMS,J Team,BeBe,Kalista,12997,18719.539881108645,14100
LMS,Flash Wolves,Betty,Kalista,15968,15436.47579251095,15300
LMS,Flash Wolves,Betty,Kalista,15294,6747.573632426682,9575
LMS,Flash Wolves,Betty,Kalista,24265,21009.898734406903,18525
LMS,J Team,BeBe,Kalista,20468,25427.590118281292,16575
LMS,J Team,BeBe,Kalista,20468,14109.58169879219,16575
LMS,Fire Ball,Unified,Kalista,6989,5710.131015261903,9050
LMS,Flash Wolves,Betty,Kalista,16651,16032.51976042694,12800
LMS,AHQ e-Sports Club,An,Kalista,11414,18580.302161638083,12875
LMS,AHQ e-Sports Club,An,Kalista,13062,14808.103765912918,16575
LMS,Wayi Spider,Breeze,Kalista,27400,28036.384593302453,19700
LMS,Raise Gaming,LilV,Kalista,33521,40788.781793328686,25625
LMS,Flash Wolves,Betty,Kalista,18240,13022.21915898669,13150
LMS,Hong Kong Attitude,Unified,Kalista,7044,10353.981126883746,9475
LMS,Hong Kong Attitude,Unified,Kalista,13246,11985.444033317917,12525
LMS,Wayi Spider,Breeze,Kalista,7897,8232.062977367252,8275
LMS,Wayi Spider,Breeze,Kalista,5838,6683.9503957569505,8425
LMS,Wayi Spider,Breeze,Kalista,5691,16654.934810728555,14325
LMS,Wayi Spider,Breeze,Kalista,7086,9212.38364700235,8450
LMS,Wayi Spider,Breeze,Kalista,4748,8776.073269150147,10875
LMS,J Team,BeBe,Kalista,15592,16732.587968513046,14250
LMS,Machi 17,Dee,Kalista,45588,34930.61218481749,26475
LMS,AHQ e-Sports Club,An,Kalista,8224,14427.910554305461,12300
LMS,Raise Gaming,LilV,Kalista,15437,13597.143750252782,13125
LMS,Flash Wolves,Betty,Kalista,20788,12234.625723362247,11425
LMS,Flash Wolves,Betty,Kalista,14268,9759.1775914781,10675
LMS,Fire Ball,Enzz,Kalista,16919,19280.28862605279,15050
LMS,Wayi Spider,Breeze,Kalista,15261,12275.779550636746,13675
LMS,Hong Kong Attitude,Unified,Kalista,12819,11364.797821905095,11125
LMS,Raise Gaming,LilV,Kalista,10020,14809.387832240289,10500
LMS,Fire Ball,Enzz,Kalista,5775,7081.402698993592,8650
LMS,Machi 17,Dee,Kalista,11815,12984.783709783258,13175
LMS,Hong Kong Attitude,Unified,Kalista,18274,21365.424656789946,17350
LMS,Hong Kong Attitude,Unified,Kalista,12277,13954.883338972038,12900
LMS,AHQ e-Sports Club,An,Kalista,19052,9184.67381633943,8675
LMS,AHQ e-Sports Club,An,Kalista,6017,6605.831889148031,9400
LMS,Hong Kong Attitude,Unified,Kalista,15469,8032.850606181326,9475
LMS,Flash Wolves,Betty,Kalista,7937,9636.027573169116,11700
LMS,Raise Gaming,LilV,Kalista,10896,18653.981876598864,14200
LMS,Hong Kong Attitude,Unified,Kalista,4904,6247.067485805317,10400
LMS,Hong Kong Attitude,Unified,Kalista,19293,13903.073109550482,10850
LMS,Wayi Spider,Breeze,Kalista,29922,20879.061021385423,16500
LMS,Machi 17,Dee,Kalista,13762,9638.69643280197,10500
LMS,Hong Kong Attitude,Unified,Kalista,14826,18171.16411965873,12800
LMS,J Team,BeBe,Kalista,15898,27994.084570423038,18125
LMS,AHQ e-Sports Club,An,Kalista,16356,16785.43489094708,14550
LMS,Flash Wolves,Betty,Kalista,8363,12512.496944253382,14230
LMS,Fire Ball,Enzz,Kalista,12917,11271.6232273303,10350
LMS,AHQ e-Sports Club,An,Kog'Maw,23175,15704.649020294568,10850
LMS,Raise Gaming,LilV,Kog'Maw,15220,28553.359287164414,17225
LMS,Machi 17,Dee,Kog'Maw,18719,14982.471434170437,8375
LMS,Machi 17,Dee,Kog'Maw,31051,25847.0217066325,13800
LMS,Raise Gaming,LilV,Kog'Maw,28439,29146.27823661051,15100
LMS,Fire Ball,Unified,Kog'Maw,15302,25409.39608826592,13750
LMS,Raise Gaming,LilV,Kog'Maw,31585,34919.82077360767,20650
LMS,Flash Wolves,Betty,Kog'Maw,40609,27259.405538755862,16250
LMS,AHQ e-Sports Club,An,Kog'Maw,17259,12063.462189819005,11400
LMS,Raise Gaming,Ran,Kog'Maw,7774,7188.249357634511,6875
LMS,J Team,BeBe,Kog'Maw,17506,17092.994428469006,12350
LMS,Hong Kong Attitude,Unified,Kog'Maw,28109,30498.159398572312,15800
LMS,Hong Kong Attitude,Unified,Kog'Maw,19188,19989.95500146536,11300
LMS,Hong Kong Attitude,Unified,Kog'Maw,16322,19726.490933871264,12750
LMS,Raise Gaming,LilV,Kog'Maw,5325,11588.405447105628,7350
LMS,AHQ e-Sports Club,An,Kog'Maw,21299,19055.260137142064,10875
LMS,Raise Gaming,LilV,Kog'Maw,9472,23699.215371700153,12725
