position,team,player,dmg_performance
ADC,Team Liquid,Piglet,12.1
ADC,Team SoloMid,Doublelift,8.15
ADC,Counter Logic Gaming,Stixxay,4.35
ADC,Immortals,Cody Sun,3.21
ADC,Flyquest,Altec,3.15
ADC,Phoenix1,Arrow,3.13
ADC,FlyQuest,WildTurtle,2.81
ADC,Dignitas,Altec,1.94
ADC,EnVyUs,Apollo,1.47
ADC,Cloud9,Sneaky,0.75
ADC,Echo Fox,Keith,-4.14
ADC,Team Liquid,Doublelift,-10.16
ADC,Dignitas,LOD,-11.96
ADC,Echo Fox,Mash,-16.91
ADC,Counter Logic Gaming,aphromoo,-37.56
ADC,Team SoloMid,WildTurtle,-41.03
Jungle,Immortals,Dardoch,49
Jungle,Cloud9,Contractz,17.02
Jungle,Team Liquid,Inori,13.03
Jungle,Counter Logic Gaming,Xmithie,12.44
Jungle,Team SoloMid,Svenskeren,11.93
Jungle,Counter Logic Gaming,Dardoch,9.89
Jungle,Phoenix1,Meteos,3.71
Jungle,Dignitas,Chaser,2.64
Jungle,Immortals,Xmithie,0.35
Jungle,Team Liquid,Reignover,-0.77
Jungle,EnVyUs,LirA,-2.15
Jungle,Phoenix1,MikeYeung,-2.47
Jungle,Echo Fox,Akaadian,-5.4
Jungle,Dignitas,Shrimp,-7.36
Jungle,Phoenix1,Inori,-12.67
Jungle,Counter Logic Gaming,OmarGod,-12.8
Jungle,Team Liquid,Dardoch,-17.05
Jungle,Flyquest,Moon,-17.25
Jungle,Echo Fox,Grig,-18.74
Jungle,FlyQuest,Moon,-19.57
Middle,EnVyUs,Ninja,34.53
Middle,Echo Fox,Froggen,24.26
Middle,Team Liquid,Mickey,19.69
Middle,Team SoloMid,Bjergsen,18.82
Middle,FlyQuest,Hai,12.91
Middle,Counter Logic Gaming,Huhi,11.94
Middle,Cloud9,Jensen,11.26
Middle,Immortals,Pobelter,5.43
Middle,Flyquest,Hai,5.13
Middle,Phoenix1,Ryu,0.61
Middle,Dignitas,Keane,0.35
Middle,EnVyUs,Pirean,0.3
Middle,EnVyUs,Nisqy,-1.87
Middle,Team Liquid,Goldenglue,-3.32
Middle,Phoenix1,Pirean,-4.89
Middle,Team Liquid,Piglet,-6.53
Middle,Echo Fox,Damonte,-8.32
Middle,Team Liquid,Slooshi,-16.7
Support,Immortals,Olleh,33.64
Support,Dignitas,Adrian,22.83
Support,FlyQuest,LemonNation,14.63
Support,EnVyUs,Hakuho,5.83
Support,Counter Logic Gaming,Joey,-0.09
Support,Team SoloMid,Biofrost,-0.44
Support,Team Liquid,Matt,-1.79
Support,Team Liquid,konkwon,-4.05
Support,Dignitas,Big,-4.43
Support,Flyquest,LemonNation,-4.75
Support,Phoenix1,Xpecial,-7.58
Support,Counter Logic Gaming,aphromoo,-8.65
Support,Phoenix1,Shady,-9.53
Support,Cloud9,Smoothie,-10.38
Support,Dignitas,Xpecial,-12.15
Support,Echo Fox,Gate,-17.32
Support,Phoenix1,Stunt,-62.27
Top,Team SoloMid,Hauntzer,28.75
Top,Cloud9,Impact,12.85
Top,Cloud9,Ray,9.27
Top,Dignitas,Ssumday,8.84
Top,Team Liquid,Lourlo,6.43
Top,Counter Logic Gaming,Darshan,5.41
Top,Immortals,Flame,4.1
Top,EnVyUs,Seraph,2.45
Top,Phoenix1,zig,0.55
Top,Echo Fox,Brandini,-1.45
Top,FlyQuest,Balls,-4.47
Top,Phoenix1,Allorim,-4.51
Top,Echo Fox,Looper,-6.58
Top,Flyquest,Balls,-25.37
