league,team,player,champion,dmgtochamps,predicted,goldspent
LCK,Longzhu Gaming,PraY,Ashe,27086,17032.823759477647,17600
LCK,Longzhu Gaming,PraY,Ashe,11038,14170.997430319825,11200
LCK,Longzhu Gaming,PraY,Ashe,19261,14170.997430338684,12275
LCK,Jin Air Green Wings,Teddy,Ashe,13111,17032.823759490555,18625
LCK,Kongdoo Monster,SSol,Ashe,9192,17032.823759483814,11800
LCK,BBQ Olivers,Ghost,Ashe,7204,14170.997430349436,7775
LCK,SK Telecom T1,Bang,Ashe,16452,14170.997430342542,11100
LCK,SK Telecom T1,Bang,Ashe,12532,14170.997430328236,10500
LCK,ROX Tigers,Sangyoon,Ashe,8562,14170.997430342206,13625
LCK,MVP,MaHa,Ashe,16123,14170.997430336438,12625
LCK,ROX Tigers,Sangyoon,Ashe,11744,17032.823759482624,9975
LCK,Longzhu Gaming,PraY,Ashe,12523,14170.997430349315,10275
LCK,Longzhu Gaming,PraY,Ashe,26838,14170.997430337226,15525
LCK,KT Rolster,Deft,Ashe,11964,17032.823759484836,13475
LCK,Kongdoo Monster,SSol,Ashe,9140,17032.823759488627,11275
LCK,BBQ Olivers,Ghost,Ashe,15038,14170.997430337115,14025
LCK,Kongdoo Monster,SSol,Ashe,15984,14170.997430333782,11625
LCK,Jin Air Green Wings,Teddy,Ashe,8688,14170.99743033681,9900
LCK,SK Telecom T1,Bang,Ashe,15979,17032.823759486928,11975
LCK,ROX Tigers,Sangyoon,Ashe,11715,17032.823759491675,11975
LCK,ROX Tigers,Sangyoon,Ashe,16833,14170.997430335237,14025
LCK,KT Rolster,Deft,Ashe,9864,14170.997430332414,14150
LCK,KT Rolster,Deft,Ashe,21251,17032.823759485993,15275
LCK,ROX Tigers,Sangyoon,Ashe,11671,14170.997430335352,10800
LCK,Samsung Galaxy,Stitch,Ashe,17237,17032.823759487463,13900
LCK,SK Telecom T1,Bang,Ashe,13273,17032.823759487634,11700
LCK,MVP,MaHa,Ashe,7386,14170.997430335348,9820
LCK,KT Rolster,Deft,Ashe,15919,17032.823759486884,12575
LCK,Jin Air Green Wings,Teddy,Ashe,9769,17032.82375948847,10575
LCK,MVP,MaHa,Ashe,17518,14170.997430335643,14025
LCK,Jin Air Green Wings,Teddy,Ashe,19548,14170.997430335545,13950
LCK,Longzhu Gaming,PraY,Ashe,16563,17032.82375948787,17275
LCK,Longzhu Gaming,PraY,Ashe,10026,17032.82375948824,9375
LCK,Afreeca Freecs,Kramer,Ashe,31136,17032.823759488718,16175
LCK,SK Telecom T1,Bang,Ashe,9954,14170.997430335505,9675
LCK,ROX Tigers,Sangyoon,Ashe,5862,14170.997430335423,8500
LCK,Afreeca Freecs,Kramer,Ashe,20924,17032.82375948867,16075
LCK,KT Rolster,Deft,Ashe,14668,17032.823759487856,10600
LCK,Afreeca Freecs,Kramer,Ashe,9238,14170.99743033595,9450
LCK,Samsung Galaxy,Ruler,Ashe,10233,17032.823759487877,11125
LCK,Ever8 Winners,Deul,Ashe,12992,17032.82375948805,12825
LCK,SK Telecom T1,Bang,Ashe,18371,17032.82375948844,11700
LCK,Longzhu Gaming,PraY,Ashe,33029,17032.823759487906,17275
LCK,Jin Air Green Wings,Teddy,Ashe,13737,17032.823759488085,12550
LCK,Longzhu Gaming,PraY,Ashe,19794,14170.997430335605,11675
LCK,SK Telecom T1,Bang,Ashe,6009,17032.82375948741,7800
LCK,Samsung Galaxy,Ruler,Ashe,20316,14170.99743033558,10500
LCK,Afreeca Freecs,Kramer,Ashe,21062,14170.99743033558,12250
LCK,Samsung Galaxy,Ruler,Ashe,33050,17032.823759488092,16050
LCK,Ever8 Winners,Deul,Ashe,6692,14170.997430335572,12550
LCK,Jin Air Green Wings,Teddy,Ashe,15267,17032.823759488085,11e3
LCK,Longzhu Gaming,PraY,Ashe,15781,17032.823759488085,14e3
LCK,Longzhu Gaming,PraY,Ashe,8835,14170.99743033558,10475
LCK,MVP,MaHa,Ashe,10977,14170.997430335581,12800
LCK,BBQ Olivers,Ghost,Ashe,5933,14170.997430335576,7900
LCK,Afreeca Freecs,Kramer,Ashe,16551,17032.823759488085,15325
LCK,Longzhu Gaming,PraY,Ashe,13528,17032.823759488085,11700
LCK,Longzhu Gaming,PraY,Ashe,6087,17032.823759488092,10350
LCK,SK Telecom T1,Bang,Ashe,21964,17032.823759488085,15200
LCK,Ever8 Winners,Deul,Ashe,19009,17032.823759488092,14100
LCK,ROX Tigers,Sangyoon,Ashe,26308,14170.997430335576,23070
LCK,Samsung Galaxy,Ruler,Ashe,12789,14170.99743033558,13250
LCK,Samsung Galaxy,Ruler,Ashe,19365,17032.823759488092,14325
LCK,Samsung Galaxy,Ruler,Ashe,11814,14170.99743033558,11725
LCK,MVP,MaHa,Ashe,14658,14170.99743033558,14375
LCK,Ever8 Winners,Deul,Ashe,22924,14170.997430335581,16875
LCK,SK Telecom T1,Bang,Ashe,19135,17032.823759488092,9400
LCK,Longzhu Gaming,PraY,Ashe,14403,17032.823759488092,10975
LCK,Ever8 Winners,Deul,Ashe,16952,14170.997430335576,15575
LCK,SK Telecom T1,Bang,Ashe,50257,17032.8237594881,18350
LCK,MVP,MaHa,Ashe,21496,14170.99743033558,21375
LCK,ROX Tigers,Sangyoon,Ashe,26093,17032.823759488092,21300
LCK,Jin Air Green Wings,Teddy,Ashe,8062,17032.823759488092,10600
LCK,Afreeca Freecs,Kramer,Ashe,24127,14170.997430335572,15125
LCK,SK Telecom T1,Bang,Ashe,10627,14170.997430335581,7375
LCK,SK Telecom T1,Bang,Ashe,35577,17032.823759488092,16625
LCK,SK Telecom T1,Bang,Ashe,12479,17032.823759488077,16125
LCK,Longzhu Gaming,PraY,Ashe,48920,14170.997430335581,35900
LCK,Afreeca Freecs,Kramer,Ashe,12340,17032.823759488077,9600
LCK,MVP,MaHa,Ashe,16719,17032.823759488085,14550
LCK,BBQ Olivers,Ghost,Ashe,5544,14170.997430335576,11075
LCK,ROX Tigers,Sangyoon,Ashe,11198,14170.997430335581,11150
LCK,KT Rolster,Deft,Ashe,15750,14170.99743033558,9175
LCK,Longzhu Gaming,PraY,Ashe,20815,17032.823759488092,14825
LCK,Afreeca Freecs,Kramer,Ashe,18196,14170.997430335576,12975
LCK,Samsung Galaxy,Ruler,Ashe,9658,14170.99743033558,10200
LCK,Jin Air Green Wings,Teddy,Ashe,32517,17032.823759488092,20225
LCK,Longzhu Gaming,PraY,Ashe,15594,17032.823759488085,11350
LCK,Longzhu Gaming,PraY,Ashe,16699,17032.823759488085,12975
LCK,SK Telecom T1,Bang,Ashe,15347,14170.99743033558,13500
LCK,KT Rolster,Deft,Ashe,15835,17032.823759488085,12750
LCK,Samsung Galaxy,Ruler,Ashe,16570,17032.823759488085,13650
LCK,KT Rolster,Deft,Ashe,11722,17032.823759488077,10375
LCK,Longzhu Gaming,PraY,Ashe,26185,17032.823759488092,12850
LCK,Samsung Galaxy,Ruler,Ashe,13338,17032.823759488085,13325
LCK,KT Rolster,Deft,Ashe,49141,14170.997430335581,25300
LCK,KT Rolster,Deft,Ashe,22543,17032.823759488085,11950
LCK,KT Rolster,Deft,Ashe,73182,17032.82375948807,36745
LCK,Longzhu Gaming,PraY,Ashe,8763,14170.99743033558,9600
LCK,Samsung Galaxy,Ruler,Ashe,31015,14170.997430335572,17125
LCK,SK Telecom T1,Bang,Ashe,4571,14170.997430335576,9225
LCK,Afreeca Freecs,Kramer,Ashe,30701,17032.823759488092,19150
LCK,ROX Tigers,Sangyoon,Caitlyn,13541,22266.648745025683,10575
LCK,KT Rolster,Deft,Caitlyn,36049,22266.648745025675,14950
LCK,Ever8 Winners,Deul,Caitlyn,19142,22266.648745025668,16800
LCK,Ever8 Winners,Deul,Caitlyn,9727,15911.094444668093,13025
LCK,SK Telecom T1,Bang,Caitlyn,11129,15911.094444668097,10275
LCK,BBQ Olivers,Ghost,Caitlyn,8896,15911.094444668097,12100
LCK,Longzhu Gaming,PraY,Caitlyn,9774,15911.094444668093,11975
LCK,BBQ Olivers,Ghost,Caitlyn,19032,15911.094444668093,13925
LCK,Jin Air Green Wings,Teddy,Caitlyn,25329,22266.648745025675,16825
LCK,Ever8 Winners,Deul,Caitlyn,8764,22266.648745025675,10775
LCK,Jin Air Green Wings,Teddy,Caitlyn,31515,15911.0944446681,17400
LCK,Jin Air Green Wings,Teddy,Caitlyn,30943,22266.648745025675,12525
LCK,Ever8 Winners,Deul,Caitlyn,3605,15911.094444668104,5750
LCK,ROX Tigers,Sangyoon,Caitlyn,15246,22266.648745025675,14150
LCK,ROX Tigers,Sangyoon,Caitlyn,14325,22266.648745025675,12400
LCK,KT Rolster,Deft,Caitlyn,17346,22266.648745025675,10575
LCK,Afreeca Freecs,Kramer,Caitlyn,19010,22266.648745025675,14125
LCK,ROX Tigers,Sangyoon,Caitlyn,15587,15911.094444668097,12950
LCK,ROX Tigers,Sangyoon,Caitlyn,22210,15911.094444668093,16075
LCK,Jin Air Green Wings,Teddy,Caitlyn,30023,22266.648745025675,17325
LCK,Afreeca Freecs,Kramer,Caitlyn,35683,15911.0944446681,26830
LCK,Jin Air Green Wings,Teddy,Caitlyn,9445,15911.094444668093,10375
LCK,MVP,MaHa,Caitlyn,12663,15911.094444668097,13100
LCK,MVP,MaHa,Caitlyn,17494,15911.094444668097,14800
LCK,Ever8 Winners,Deul,Caitlyn,15106,15911.094444668097,11725
LCK,Afreeca Freecs,Kramer,Caitlyn,48051,22266.648745025675,22420
LCK,Afreeca Freecs,Kramer,Caitlyn,40100,15911.0944446681,16450
LCK,KT Rolster,Deft,Caitlyn,28416,22266.648745025675,16475
LCK,Longzhu Gaming,PraY,Caitlyn,14907,22266.648745025675,10425
LCK,SK Telecom T1,Bang,Caitlyn,32061,15911.0944446681,17025
LCK,Samsung Galaxy,Ruler,Caitlyn,58906,22266.648745025675,19375
LCK,Longzhu Gaming,PraY,Caitlyn,16877,22266.648745025675,12650
LCK,BBQ Olivers,Ghost,Caitlyn,10855,15911.094444668097,11125
LCK,Afreeca Freecs,Kramer,Caitlyn,15370,22266.648745025675,11325
LCK,MVP,MaHa,Caitlyn,12258,15911.094444668097,13450
LCK,SK Telecom T1,Bang,Caitlyn,44951,22266.648745025675,15175
LCK,ROX Tigers,Sangyoon,Caitlyn,21643,22266.648745025675,19425
LCK,MVP,MaHa,Caitlyn,38304,15911.0944446681,21500
LCK,KT Rolster,Deft,Caitlyn,14963,22266.648745025675,11875
LCK,KT Rolster,Deft,Caitlyn,19021,22266.648745025675,15325
LCK,Samsung Galaxy,Ruler,Caitlyn,25127,22266.648745025675,12025
LCK,Longzhu Gaming,PraY,Caitlyn,14377,15911.094444668097,13100
LCK,ROX Tigers,Sangyoon,Caitlyn,18043,15911.094444668097,17600
LCK,ROX Tigers,Sangyoon,Caitlyn,14811,22266.648745025675,9150
LCK,Samsung Galaxy,Ruler,Caitlyn,18861,15911.094444668093,14675
LCK,Samsung Galaxy,Ruler,Caitlyn,26910,22266.648745025675,11925
LCK,MVP,MaHa,Caitlyn,6051,22266.648745025675,10875
LCK,KT Rolster,Deft,Caitlyn,20500,22266.648745025675,15500
LCK,Afreeca Freecs,Kramer,Caitlyn,10403,15911.094444668093,12200
LCK,ROX Tigers,Sangyoon,Caitlyn,7970,15911.094444668093,9325
LCK,Jin Air Green Wings,Teddy,Ezreal,18978,18244.388673871184,14218
LCK,Samsung Galaxy,Ruler,Ezreal,36635,23043.78143393658,16408
LCK,ROX Tigers,Sangyoon,Ezreal,21575,18244.388673871184,15258
LCK,BBQ Olivers,Ghost,Ezreal,13060,18244.388673871184,8833
LCK,KT Rolster,Deft,Ezreal,18286,18244.388673871184,12333
LCK,SK Telecom T1,Bang,Ezreal,34153,18244.388673871184,16408
LCK,Afreeca Freecs,Kramer,Ezreal,35795,23043.78143393658,14233
LCK,Samsung Galaxy,Ruler,Ezreal,19696,23043.78143393657,13108
LCK,Samsung Galaxy,Ruler,Ezreal,22086,23043.78143393657,12633
LCK,ROX Tigers,Sangyoon,Ezreal,23019,23043.78143393657,12133
LCK,Kongdoo Monster,SSol,Ezreal,16611,18244.388673871184,12333
LCK,BBQ Olivers,Ghost,Ezreal,54007,23043.781433936536,23508
LCK,SK Telecom T1,Bang,Ezreal,21764,18244.388673871184,9625
LCK,SK Telecom T1,Bang,Ezreal,38991,23043.78143393658,16683
LCK,Samsung Galaxy,Ruler,Ezreal,23838,23043.78143393657,14638
LCK,Longzhu Gaming,PraY,Ezreal,13175,18244.388673871184,12208
LCK,Kongdoo Monster,SSol,Ezreal,21021,18244.388673871184,12058
LCK,Kongdoo Monster,SSol,Ezreal,20280,23043.78143393657,15183
LCK,Samsung Galaxy,Ruler,Ezreal,15261,23043.78143393658,12633
LCK,SK Telecom T1,Bang,Ezreal,15832,23043.78143393657,11933
LCK,Samsung Galaxy,Ruler,Jhin,13459,19018.931977577366,14125
LCK,ROX Tigers,Sangyoon,Jhin,19891,19018.931977577366,14725
