league,team,player,champion,dmgtochamps,predicted,goldspent
NALCS,Echo Fox,Keith,Ashe,11798,14170.997430326099,13525
NALCS,Counter Logic Gaming,aphromoo,Ashe,6661,14170.997430335856,7400
NALCS,Team SoloMid,WildTurtle,Ashe,6235,14170.99743033512,1e4
NALCS,Team SoloMid,WildTurtle,Ashe,6624,17032.82375948046,10075
NALCS,Team SoloMid,WildTurtle,Ashe,8317,14170.997430343496,10200
NALCS,Echo Fox,Keith,Ashe,25313,17032.8237594861,14400
NALCS,Echo Fox,Keith,Ashe,14571,14170.997430334926,13325
NALCS,Echo Fox,Keith,Ashe,29187,17032.823759488114,15050
NALCS,Immortals,Cody Sun,Ashe,14292,14170.997430346537,18300
NALCS,Team Liquid,Doublelift,Ashe,17004,17032.82375949316,16425
NALCS,Team Liquid,Doublelift,Ashe,14217,14170.997430352307,11525
NALCS,Counter Logic Gaming,Stixxay,Ashe,19241,14170.99743033294,13470
NALCS,Cloud9,Sneaky,Ashe,46878,14170.997430335812,18575
NALCS,Echo Fox,Keith,Ashe,10532,17032.82375948814,10275
NALCS,Echo Fox,Keith,Ashe,33755,17032.82375948807,15625
NALCS,Team SoloMid,Doublelift,Ashe,20827,17032.823759488147,13400
NALCS,Dignitas,LOD,Ashe,18500,17032.823759487197,20575
NALCS,Team SoloMid,Doublelift,Ashe,14073,14170.997430335541,14225
NALCS,EnVyUs,Apollo,Ashe,20957,17032.823759488012,16975
NALCS,Dignitas,LOD,Ashe,14061,17032.823759488114,12825
NALCS,Dignitas,LOD,Ashe,9414,17032.823759488132,10350
NALCS,Dignitas,LOD,Ashe,13810,17032.82375948807,12895
NALCS,FlyQuest,WildTurtle,Ashe,17347,17032.8237594879,12675
NALCS,EnVyUs,Apollo,Ashe,13788,17032.82375948804,11950
NALCS,Dignitas,LOD,Ashe,12255,17032.82375948799,12700
NALCS,Dignitas,LOD,Ashe,18572,14170.997430335556,16400
NALCS,Dignitas,LOD,Ashe,15362,14170.997430335556,14375
NALCS,Team SoloMid,Doublelift,Ashe,10820,17032.82375948817,10500
NALCS,Team SoloMid,Doublelift,Ashe,16124,17032.823759488085,15775
NALCS,FlyQuest,WildTurtle,Ashe,16995,17032.823759488085,12025
NALCS,FlyQuest,WildTurtle,Ashe,9212,17032.823759488092,9100
NALCS,EnVyUs,Apollo,Ashe,21753,14170.99743033558,17150
NALCS,Team Liquid,Piglet,Ashe,31355,14170.997430335572,15100
NALCS,Team Liquid,Piglet,Ashe,9503,14170.99743033558,10850
NALCS,Counter Logic Gaming,Stixxay,Ashe,40818,14170.997430335581,22350
NALCS,FlyQuest,WildTurtle,Ashe,24084,14170.99743033558,14375
NALCS,Phoenix1,Arrow,Ashe,16266,14170.99743033558,12025
NALCS,Dignitas,LOD,Ashe,8691,14170.99743033558,8800
NALCS,Team SoloMid,Doublelift,Ashe,10738,17032.823759488077,10425
NALCS,EnVyUs,Apollo,Ashe,21550,14170.99743033558,14400
NALCS,Counter Logic Gaming,Stixxay,Ashe,10738,17032.823759488077,12875
NALCS,Counter Logic Gaming,Stixxay,Ashe,8676,14170.99743033558,8025
NALCS,EnVyUs,Apollo,Ashe,15348,17032.823759488085,12575
NALCS,Counter Logic Gaming,Stixxay,Ashe,15603,17032.823759488085,12e3
NALCS,Dignitas,LOD,Ashe,21733,17032.823759488085,12325
NALCS,Team SoloMid,Doublelift,Ashe,14128,17032.823759488092,12630
NALCS,Team SoloMid,Doublelift,Ashe,13980,17032.823759488092,14825
NALCS,Counter Logic Gaming,Stixxay,Ashe,10895,17032.823759488077,11e3
NALCS,Immortals,Cody Sun,Ashe,12248,14170.997430335576,10875
NALCS,Echo Fox,Keith,Ashe,57267,17032.823759488092,18550
NALCS,Counter Logic Gaming,Stixxay,Ashe,20104,17032.823759488092,14100
NALCS,Team Liquid,Piglet,Ashe,11770,14170.99743033558,10750
NALCS,EnVyUs,Apollo,Ashe,18874,17032.823759488092,13050
NALCS,EnVyUs,Apollo,Ashe,14827,17032.823759488085,14625
NALCS,EnVyUs,Apollo,Ashe,13934,17032.823759488092,16375
NALCS,Counter Logic Gaming,Stixxay,Ashe,13280,14170.99743033558,9400
NALCS,Counter Logic Gaming,Stixxay,Ashe,43390,14170.997430335581,19925
NALCS,Flyquest,Altec,Caitlyn,27932,22266.648745025675,17e3
NALCS,Counter Logic Gaming,aphromoo,Caitlyn,10628,15911.094444668097,11175
NALCS,Flyquest,Altec,Caitlyn,20832,15911.094444668093,16750
NALCS,Flyquest,Altec,Caitlyn,23617,22266.648745025675,14675
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,14393,22266.648745025675,11925
NALCS,EnVyUs,Apollo,Caitlyn,65456,15911.094444668108,25050
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,19104,15911.094444668093,13225
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,29324,22266.648745025675,19200
NALCS,Immortals,Cody Sun,Caitlyn,18200,15911.094444668097,14375
NALCS,Phoenix1,Arrow,Caitlyn,31215,15911.0944446681,16530
NALCS,Immortals,Cody Sun,Caitlyn,15827,22266.648745025675,12500
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,11671,22266.648745025675,9175
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,27438,22266.648745025675,14300
NALCS,Team SoloMid,Doublelift,Caitlyn,33573,22266.648745025675,17325
NALCS,Team SoloMid,Doublelift,Caitlyn,10922,15911.094444668097,11775
NALCS,EnVyUs,Apollo,Caitlyn,16423,22266.648745025675,14475
NALCS,Team SoloMid,Doublelift,Caitlyn,9574,15911.094444668093,12130
