position,team,player,dmg_performance
ADC,Splyce,Kobbe,14.35
ADC,Unicorns of Love,Samux,13.75
ADC,H2K,Nuclear,11.1
ADC,G2 Esports,Zven,6
ADC,Ninjas in Pyjamas,HeaQ,5.69
ADC,Mysterious Monkeys,Yuuki60,2.6
ADC,Fnatic,Rekkles,1
ADC,Misfits,Hans Sama,-0.32
ADC,Origen,Tabzz,-3.88
ADC,Roccat,Hjarnan,-4.06
ADC,Vitality,Steeelback,-6.42
ADC,Giants,HeaQ,-24.9
Jungle,Origen,Cinkrof,30.23
Jungle,Unicorns of Love,Xerxe,26.55
Jungle,Mysterious Monkeys,Lamabear,15.8
Jungle,G2 Esports,Trick,12.07
Jungle,H2K,Jankos,12.06
Jungle,Roccat,Maxlore,11.23
Jungle,Misfits,Maxlore,7.63
Jungle,Roccat,Pridestalker,6.6
Jungle,Vitality,Djoko,3.02
Jungle,Splyce,Trashy,0.46
Jungle,Ninjas in Pyjamas,Shook,-1.31
Jungle,Misfits,KaKAO,-4.18
Jungle,Mysterious Monkeys,Amazing,-5.45
Jungle,Giants,Memento,-8.71
Jungle,Fnatic,Broxah,-12.97
Jungle,G2 Esports,Loulex,-19.69
Middle,Fnatic,Caps,18.1
Middle,Misfits,PowerOfEvil,14.98
Middle,G2 Esports,Perkz,13.71
Middle,H2K,Febiven,13.48
Middle,Vitality,Nukeduck,13.22
Middle,Origen,Naehyun,11.68
Middle,Splyce,Sencux,11
Middle,Unicorns of Love,Exileh,5.47
Middle,Roccat,Betsy,3.31
Middle,Mysterious Monkeys,CozQ,-0.5
Middle,G2 Esports,Blanc,-5.39
Middle,Ninjas in Pyjamas,Nagne,-5.81
Middle,Giants,NighT,-12.98
Support,Origen,xPeke,40.95
Support,Splyce,Mikyx,20.36
Support,Unicorns of Love,Hylissang,18.03
Support,Vitality,Hachani,12.46
Support,H2K,Chei,7.03
Support,Giants,HusTlin,6.19
Support,G2 Esports,mithy,0.44
Support,Roccat,Wadid,-1.82
Support,Ninjas in Pyjamas,sprattel,-3.34
Support,Vitality,Vander,-4.66
Support,Mysterious Monkeys,Dreams,-5.7
Support,Misfits,IgNar,-9.08
Support,Fnatic,Jesiz,-12.03
Top,Mysterious Monkeys,Jisu,32.11
Top,Unicorns of Love,Vizicsacsi,19.69
Top,H2K,Odoamne,9.51
Top,Splyce,Wunder,7.31
Top,Fnatic,sOAZ,4.88
Top,G2 Esports,Expect,2.84
Top,Vitality,Cabochard,2.38
Top,Mysterious Monkeys,Kikis,2.14
Top,Misfits,Alphari,-2.79
Top,Ninjas in Pyjamas,Profit,-4.57
Top,Roccat,Phaxi,-8.52
Top,G2 Esports,Send0o,-22.33
Top,Origen,Satorius,-28.78
Top,Giants,Flaxxish,-29.83
