league,team,player,dmg_performance
CBLoL,T Show E-Sports,DudsTheBoy,1.6615075132365857
CBLoL,INTZ e-Sports,micaO,0.3467168481109892
CBLoL,ProGaming Esports,LUSKKA,0.03191388114785813
CBLoL,paiN Gaming,Matsukaze,-0.7308524589358903
CBLoL,Team oNe e-Sports,Absolut,-0.7529684604469726
CBLoL,Keyd Stars,Juzinho,-1.303213081055593
CBLoL,RED Canids,brTT RX,-1.355247955680314
CBLoL,Keyd Stars,esA,-1.3951423518430017
CBLoL,RED Canids,Sacy,-2.469192034638505
CBLoL,CNB e-Sports Club,pbO,-2.5829169564295738
CBLoL,T Show E-Sports,Theusma,-2.9219797253805946
EUCS,Schalke 04,Upset,1.1270736166689728
EUCS,Paris Saint-Germain,Nardeus,0.8522947663876724
EUCS,Giants,Minitroupax,0.738614787532768
EUCS,Wind and Rain,Woolite,0.1812838842703319
EUCS,Wind and Rain,DarkSide,-0.31170826590546524
EUCS,Red Bulls,Sedrion,-0.47341104262839473
EUCS,Origen,DarkSide,-1.4821017170027682
EUCS,Origen,Neon,-4.440338475309225
EULCS,G2 Esports,Zven,1.1538403024986206
EULCS,H2K,Nuclear,1.1089017176894347
EULCS,Unicorns of Love,Samux,1.0825355799985206
EULCS,Splyce,Kobbe,0.4134824554709174
EULCS,Mysterious Monkeys,Yuuki60,0.30087256648646793
EULCS,Fnatic,Rekkles,0.055478849630969794
EULCS,Misfits,Hans Sama,-0.31794219957452513
EULCS,Origen,Tabzz,-0.4612761523110761
EULCS,Roccat,Hjarnan,-0.8378878034707555
EULCS,Vitality,Steeelback,-1.509499569063303
EULCS,Ninjas in Pyjamas,HeaQ,-1.6092395209416768
EULCS,Giants,HeaQ,-4.2243096275924295
LCK,SK Telecom T1,Bang,1.685928319442185
LCK,KT Rolster,Deft,1.3768139671009654
LCK,Samsung Galaxy,Ruler,1.1598331967162632
LCK,Longzhu Gaming,PraY,0.9041041049715691
LCK,Afreeca Freecs,Kramer,0.4693934382879023
LCK,Jin Air Green Wings,Teddy,0.036787756236900296
LCK,Samsung Galaxy,Stitch,-0.4059324272484711
LCK,ROX Tigers,Sangyoon,-0.6147309282307887
LCK,MVP,MaHa,-1.0381572392228577
LCK,Kongdoo Monster,SSol,-1.0648944992743419
LCK,Ever8 Winners,Deul,-1.197254553411443
LCK,BBQ Olivers,Ghost,-1.2510603519598826
LMS,Flash Wolves,Betty,0.9895482774556166
LMS,Hong Kong Attitude,Unified,0.81576758681121
LMS,AHQ e-Sports Club,An,0.8051365891992293
LMS,Hong Kong Attitude,GodKwai,0.766279767247591
LMS,J Team,BeBe,0.4463382423745388
LMS,J Team,Bebe,0.2223812489192271
LMS,AHQ e-Sports Club,LBB,-0.3428134807270937
LMS,Wayi Spider,Breeze,-0.40596717394618503
LMS,Raise Gaming,LilV,-0.498753584968811
LMS,Flash Wolves,Madnesss,-0.6953242934641306
LMS,Fire Ball,Unified,-1.3276526307398957
LMS,Raise Gaming,Ran,-1.8151087902988627
LMS,Machi 17,Dee,-2.1491728192612776
LMS,Hong Kong Attitude,DANDAN,-2.7370101633322372
LMS,Fire Ball,Enzz,-3.1604270175311875
LMS,Hong Kong Esports,GodKwai,-3.4389240788597406
LMS,eXtreme Gamers,LBB,-5.3903931457428875
NACS,Tempo Storm,Freeze,2.8541599622650864
NACS,eUnited,deftly,1.8591751806650632
NACS,Tempo Storm,Reven,-0.03593074256346669
NACS,Big Gods Jackals,fabbbyyy,-0.10069326838816035
NACS,Gold Coin United,Rikara,-0.5336296780428493
NACS,CLG Academy,Zag,-0.695795974486973
NACS,Delta Fox,Imaqtpie,-0.7104533732706809
NALCS,Dignitas,Altec,0.912615360738766
NALCS,Flyquest,Altec,0.7491110526466986
NALCS,Team SoloMid,Doublelift,0.7429814718991835
NALCS,Cloud9,Sneaky,0.6218205350760968
NALCS,Immortals,Cody Sun,0.5916799832021845
NALCS,Counter Logic Gaming,Stixxay,0.5636482638666537
NALCS,Team Liquid,Piglet,0.2273873914670463
NALCS,FlyQuest,WildTurtle,0.18307837069716254
NALCS,Team Liquid,Doublelift,-0.5302737706418702
NALCS,EnVyUs,Apollo,-0.5766752577579465
NALCS,Echo Fox,Keith,-0.599101997816179
NALCS,Phoenix1,Arrow,-0.6901165004792655
NALCS,Counter Logic Gaming,aphromoo,-0.7072920401644465
NALCS,Echo Fox,Mash,-2.5820848173075013
NALCS,Dignitas,LOD,-2.6036458132979066
NALCS,Team SoloMid,WildTurtle,-2.8717178849802747
TCL,SuperMassive,Zeitnot,3.2049148823182305
TCL,Team AURORA,Ruve sama,2.3915170008931126
TCL,P3P eSports,reje,1.3604213084103889
TCL,Cilekler,DarkSide,1.2162551449434476
TCL,Crew e-Sports Club,Madness,0.8724666562400489
TCL,Fenerbahce Esports,padden,0.8151121153380915
TCL,Dark Passage,HolyPhoenix,-0.1881945461729163
TCL,Cilekler,Endz,-0.4957472564789211
TCL,Galakticos,mean,-0.5875751061603922
TCL,P3P eSports,Amades,-2.3923902172255453
