position,team,player,dmg_performance
ADC,Unicorns of Love,Samux,9.04
ADC,Splyce,Kobbe,6.73
ADC,H2K,Nuclear,4.06
ADC,G2 Esports,Zven,-0.08
ADC,Mysterious Monkeys,Yuuki60,-3.5
ADC,Ninjas in Pyjamas,HeaQ,-7.07
ADC,Misfits,Hans Sama,-9
ADC,Origen,Tabzz,-11.4
ADC,Vitality,Steeelback,-16.94
ADC,Roccat,Hjarnan,-17.66
ADC,Fnatic,Rekkles,-36.36
ADC,Giants,HeaQ,-40.81
Jungle,Origen,Cinkrof,19.13
Jungle,Mysterious Monkeys,Lamabear,14.65
Jungle,Unicorns of Love,Xerxe,12.99
Jungle,G2 Esports,Trick,5.59
Jungle,H2K,Jankos,2.38
Jungle,Roccat,Pridestalker,1.78
Jungle,Roccat,Maxlore,-0.71
Jungle,Misfits,Maxlore,-1.56
Jungle,Ninjas in Pyjamas,Shook,-4.44
Jungle,Splyce,Trashy,-5.5
Jungle,Vitality,Djoko,-8.99
Jungle,Misfits,KaKAO,-14.38
Jungle,Mysterious Monkeys,Amazing,-18.31
Jungle,Giants,Memento,-20.7
Jungle,Fnatic,Broxah,-21.16
Jungle,G2 Esports,Loulex,-32.44
Middle,G2 Esports,Perkz,10.64
Middle,Fnatic,Caps,9.2
Middle,Vitality,Nukeduck,6.65
Middle,Unicorns of Love,Exileh,5.45
Middle,Splyce,Sencux,3.56
Middle,Misfits,PowerOfEvil,3.31
Middle,Origen,Naehyun,1.14
Middle,H2K,Febiven,0.47
Middle,Mysterious Monkeys,CozQ,-3.98
Middle,Roccat,Betsy,-4.67
Middle,G2 Esports,Blanc,-5.29
Middle,Ninjas in Pyjamas,Nagne,-13.46
Middle,Giants,NighT,-14.23
Support,Origen,xPeke,24.49
Support,Splyce,Mikyx,17.1
Support,Unicorns of Love,Hylissang,11.32
Support,Vitality,Hachani,8.76
Support,Giants,HusTlin,2.55
Support,H2K,Chei,0.12
Support,Mysterious Monkeys,Dreams,-6.96
Support,G2 Esports,mithy,-7.91
Support,Ninjas in Pyjamas,sprattel,-8.18
Support,Vitality,Vander,-9.1
Support,Roccat,Wadid,-19.05
Support,Misfits,IgNar,-19.22
Support,Fnatic,Jesiz,-29.72
Top,Mysterious Monkeys,Jisu,14.3
Top,Unicorns of Love,Vizicsacsi,12.3
Top,Mysterious Monkeys,Kikis,4.25
Top,H2K,Odoamne,1.01
Top,Splyce,Wunder,-0.94
Top,Fnatic,sOAZ,-1.1
Top,G2 Esports,Expect,-4.56
Top,Misfits,Alphari,-7.04
Top,Vitality,Cabochard,-8.48
Top,Ninjas in Pyjamas,Profit,-15.13
Top,Roccat,Phaxi,-16.09
Top,G2 Esports,Send0o,-26.56
Top,Giants,Flaxxish,-45.32
Top,Origen,Satorius,-48.47
