league,team,player,dmg_performance
CBLoL,T Show E-Sports,Danagorn,15.344113339266446
CBLoL,T Show E-Sports,Ferchu,3.9715253976324174
CBLoL,ProGaming Esports,Zuao,2.0715277821428306
CBLoL,INTZ e-Sports,Turtle,0.22325324191386936
CBLoL,INTZ e-Sports,Shini,0.0567696203326261
CBLoL,ProGaming Esports,Ranger,-1.2606281554099632
CBLoL,Team oNe e-Sports,4LaN,-1.7106612328767083
CBLoL,Keyd Stars,Revolta,-2.7223003994998827
CBLoL,CNB e-Sports Club,Wos,-3.053555758259365
CBLoL,paiN Gaming,Tay,-3.0749729117367512
CBLoL,RED Canids,Nappon,-5.253299378043803
CBLoL,CNB e-Sports Club,Vash,-6.641691287772209
CBLoL,CNB e-Sports Club,Minerva,-13.403940654321747
EUCS,Red Bulls,MooJin,1.9183404320752113
EUCS,Schalke 04,Memento,1.0825692750740392
EUCS,Paris Saint-Germain,Kirei,-0.3405654878507137
EUCS,Origen,xani,-2.652179548075428
EUCS,Giants,Gilius,-2.9938335933352627
EUCS,Wind and Rain,Dan,-8.041364758292998
EUCS,Origen,SevenArmy,-26.48188506833231
EULCS,Origen,Cinkrof,12.482336539588305
EULCS,Unicorns of Love,Xerxe,11.276389503227826
EULCS,Mysterious Monkeys,Lamabear,7.186009337668772
EULCS,G2 Esports,Trick,3.792538323488892
EULCS,H2K,Jankos,3.3027996124393986
EULCS,Roccat,Maxlore,2.866068038411342
EULCS,Misfits,Maxlore,-0.10887542545626608
EULCS,Splyce,Trashy,-1.13949917081284
EULCS,Ninjas in Pyjamas,Shook,-1.9620284249199802
EULCS,Roccat,Pridestalker,-2.3437508504916074
EULCS,Vitality,Djoko,-2.4586763410123793
EULCS,Mysterious Monkeys,Amazing,-3.741936165794276
EULCS,Misfits,KaKAO,-4.288025208729061
EULCS,Giants,Memento,-6.810407272971977
EULCS,Fnatic,Broxah,-7.297991594123943
EULCS,G2 Esports,Loulex,-11.24754969629059
LCK,Longzhu Gaming,Crash,3.9711836587434894
LCK,Longzhu Gaming,Cuzz,2.5211789537080955
LCK,Jin Air Green Wings,UmTi,0.8713625763372723
LCK,SK Telecom T1,Blank,0.6562784363478814
LCK,KT Rolster,Score,-1.9269926490555842
LCK,MVP,Beyond,-2.570516513811855
LCK,ROX Tigers,Mightybear,-2.876029530362616
LCK,Samsung Galaxy,Ambition,-2.9310538871191847
LCK,ROX Tigers,Seonghwan,-3.5949456388639165
LCK,Ever8 Winners,Malrang,-3.72227097748043
LCK,Afreeca Freecs,Spirit,-4.498844690237835
LCK,Afreeca Freecs,Mowgli,-5.117532340112858
LCK,Kongdoo Monster,Punch,-5.185765325374746
LCK,SK Telecom T1,Peanut,-8.356616486732046
LCK,BBQ Olivers,Bless,-9.209181457316136
LCK,Samsung Galaxy,Haru,-9.281344109695553
LCK,Ever8 Winners,Comeback,-11.737083411494275
LCK,Jin Air Green Wings,Raise,-15.39457244856956
LMS,J Team,Alex,6.761918032901377
LMS,Flash Wolves,Karsa,2.2425294207054614
LMS,Wayi Spider,Epic,0.6960386277869489
LMS,Fire Ball,Wulala,0.672034812101521
LMS,Hong Kong Esports,Gemini,0.144826062452661
LMS,J Team,REFRA1N,-1.5934056753216896
LMS,Machi 17,Taizan,-1.950416435906045
LMS,Raise Gaming,Laba,-2.3644189508622686
LMS,Flash Wolves,REFRA1N,-4.101320248478555
LMS,Hong Kong Attitude,Gemini,-4.684312313223906
LMS,Fire Ball,Wind,-5.029761849700262
LMS,AHQ e-Sports Club,Mountain,-5.982002031204614
LMS,Hong Kong Esports,Wulala,-8.879757115275556
LMS,Hong Kong Attitude,once1,-17.61915891234468
LMS,eXtreme Gamers,Pony,-21.015986848347648
NACS,Delta Fox,Shiphtur,23.591103803986435
NACS,CLG Academy,OmarGod,13.513054309542918
NACS,eUnited,DanDy,9.598779090176441
NACS,Delta Fox,Scarra,9.568245122100702
NACS,CLG Academy,Im Jonny,7.182020305039825
NACS,Big Gods Jackals,SirT,4.926611292162818
NACS,Delta Fox,Dyrus,4.64273711671069
