position,team,player,dmg_performance
ADC,SK Telecom T1,Bang,10.32
ADC,KT Rolster,Deft,5.95
ADC,Samsung Galaxy,Stitch,3.24
ADC,Longzhu Gaming,PraY,-3.05
ADC,Samsung Galaxy,Ruler,-5.33
ADC,ROX Tigers,Sangyoon,-8.99
ADC,Afreeca Freecs,Kramer,-9.85
ADC,Ever8 Winners,Deul,-11.24
ADC,MVP,MaHa,-12
ADC,Kongdoo Monster,SSol,-13.23
ADC,Jin Air Green Wings,Teddy,-14.89
ADC,BBQ Olivers,Ghost,-18.73
Jungle,Longzhu Gaming,Cuzz,6.38
Jungle,Longzhu Gaming,Crash,5.6
Jungle,Jin Air Green Wings,UmTi,0.18
Jungle,Afreeca Freecs,Mowgli,-0.88
Jungle,SK Telecom T1,Blank,-0.96
Jungle,KT Rolster,Score,-3.17
Jungle,MVP,Beyond,-6.95
Jungle,Samsung Galaxy,Ambition,-7.12
Jungle,ROX Tigers,Mightybear,-9.39
Jungle,Afreeca Freecs,Spirit,-13.07
Jungle,ROX Tigers,Seonghwan,-13.3
Jungle,Ever8 Winners,Malrang,-15.33
Jungle,Kongdoo Monster,Punch,-20.69
Jungle,Samsung Galaxy,Haru,-21.71
Jungle,SK Telecom T1,Peanut,-25.16
Jungle,BBQ Olivers,Bless,-26.98
Jungle,Ever8 Winners,Comeback,-30.42
Jungle,Jin Air Green Wings,Raise,-36.06
Middle,Longzhu Gaming,Fly,13.6
Middle,ROX Tigers,Mickey,2.66
Middle,SK Telecom T1,Faker,-2.6
Middle,Afreeca Freecs,Kuro,-6
Middle,Samsung Galaxy,Crown,-8.45
Middle,MVP,Ian,-9.77
Middle,ROX Tigers,Lava,-12.38
Middle,KT Rolster,Pawn,-14.73
Middle,BBQ Olivers,Tempt,-20.45
Middle,Longzhu Gaming,Bdd,-21.29
Middle,Ever8 Winners,Cepted,-27.09
Middle,Jin Air Green Wings,Kuzan,-28.61
Middle,Kongdoo Monster,Edge,-41.02
Support,Longzhu Gaming,Gorilla,14.33
Support,Afreeca Freecs,TusiN,4.82
Support,SK Telecom T1,Wolf,3.95
Support,Longzhu Gaming,GorillA,3.53
Support,Samsung Galaxy,CoreJJ,1.37
Support,MVP,Max,-1.68
Support,Jin Air Green Wings,SnowFlower,-8.43
Support,ROX Tigers,Key,-8.52
Support,KT Rolster,Mata,-9.06
Support,Afreeca Freecs,Tusin,-11.82
Support,Ever8 Winners,Comeback,-21.07
Support,BBQ Olivers,Totoro,-23.89
Support,Ever8 Winners,Ella,-26.2
Support,Kongdoo Monster,GuGer,-26.97
Top,Longzhu Gaming,Expession,9.22
Top,SK Telecom T1,Huni,7.19
Top,KT Rolster,Smeb,6.41
Top,Longzhu Gaming,Khan,4.1
Top,BBQ Olivers,Part,-2.51
Top,MVP,ADD,-3.33
Top,Longzhu Gaming,Rascal,-4.56
Top,Samsung Galaxy,CuVee,-5.6
Top,Jin Air Green Wings,SoHwan,-9.14
Top,Jin Air Green Wings,ikssu,-9.3
Top,BBQ Olivers,Crazy,-10.48
Top,ROX Tigers,Shy,-10.96
Top,Afreeca Freecs,MaRin,-12.56
Top,ROX Tigers,Lindarang,-12.7
Top,Ever8 Winners,Helper,-14.69
Top,Ever8 Winners,Kiin,-17.16
Top,SK Telecom T1,Untara,-18.73
Top,SK Telecom T1,Profit,-20.77
Top,Kongdoo Monster,Roach,-53.23
