position,team,player,dmg_performance
ADC,Hong Kong Attitude,GodKwai,8.49
ADC,J Team,Bebe,7.14
ADC,Flash Wolves,Madnesss,4.98
ADC,Hong Kong Attitude,Unified,2.93
ADC,J Team,BeBe,0.57
ADC,AHQ e-Sports Club,An,-3.28
ADC,Flash Wolves,Betty,-3.31
ADC,Fire Ball,Unified,-4.04
ADC,Raise Gaming,LilV,-9.82
ADC,Wayi Spider,Breeze,-17.68
ADC,Hong Kong Esports,GodKwai,-18.61
ADC,Hong Kong Attitude,DANDAN,-20.25
ADC,AHQ e-Sports Club,LBB,-23.04
ADC,Fire Ball,Enzz,-25.16
ADC,Raise Gaming,Ran,-26.36
ADC,Machi 17,Dee,-29.4
ADC,eXtreme Gamers,LBB,-49.43
Jungle,J Team,Alex,9.27
Jungle,Wayi Spider,Epic,0.75
Jungle,Flash Wolves,Karsa,0.67
Jungle,Fire Ball,Wulala,-4.48
Jungle,J Team,REFRA1N,-4.76
Jungle,Raise Gaming,Laba,-6.21
Jungle,Machi 17,Taizan,-7.21
Jungle,Hong Kong Esports,Gemini,-7.89
Jungle,Flash Wolves,REFRA1N,-9.04
Jungle,Hong Kong Attitude,Gemini,-11.03
Jungle,AHQ e-Sports Club,Mountain,-14.35
Jungle,Hong Kong Esports,Wulala,-16
Jungle,Fire Ball,Wind,-29.04
Jungle,Hong Kong Attitude,once1,-35.93
Jungle,eXtreme Gamers,Pony,-57.4
Middle,Fire Ball,M1ssion,7.8
Middle,J Team,FoFo,7.8
Middle,J Team,Fofo,0.3
Middle,Hong Kong Attitude,M1ssion,-2.71
Middle,AHQ e-Sports Club,Chawy,-3.34
Middle,Flash Wolves,Maple,-4.78
Middle,Raise Gaming,wuji,-8.74
Middle,Fire Ball,MarS,-9.58
Middle,Wayi Spider,Wako,-11.44
Middle,AHQ e-Sports Club,Westdoor,-15.7
Middle,Hong Kong Esports,KuKu,-17.34
Middle,eXtreme Gamers,SiuSiu,-18.03
Middle,Machi 17,Apex,-19.29
Middle,Hong Kong Esports,Gear,-19.61
Middle,Fire Ball,KuKu,-32.65
Middle,Fire Ball,Wind,-37.2
Middle,eXtreme Gamers,Chingz,-93.09
Support,Raise Gaming,Koala,7.91
Support,J Team,Jay,2.04
Support,Wayi Spider,Zest,0.71
Support,AHQ e-Sports Club,Albis,-3.13
Support,Flash Wolves,SwordArt,-3.23
Support,Hong Kong Attitude,Kaiwing,-6.58
Support,Wayi Spider,K,-10.98
Support,Hong Kong Esports,Veki,-12.45
Support,eXtreme Gamers,SuKi,-12.73
Support,Fire Ball,SkuLL,-18.44
Support,Machi 17,Dreamer,-22.21
Top,J Team,Morning,14.71
Top,Raise Gaming,Pk,5.25
Top,AHQ e-Sports Club,Ziv,4.23
Top,Hong Kong Esports,MapleSnow,2.01
Top,Hong Kong Attitude,Riris,0.88
Top,Wayi Spider,Nexus,-2.56
Top,Flash Wolves,MMD,-2.95
Top,J Team,Rest,-8.12
Top,Fire Ball,Ninuo,-10.63
Top,Hong Kong Attitude,MapleSnow,-12.62
Top,Machi 17,BoBo,-18.79
Top,Machi 17,3z,-19.19
Top,eXtreme Gamers,Nexus,-26.82
Top,Wayi Spider,Rins,-38.83
Top,Flash Wolves,Moonblackk,-53.6
