position,team,player,dmg_performance
ADC,Unicorns of Love,Samux,19.06
ADC,Splyce,Kobbe,15.96
ADC,H2K,Nuclear,14.72
ADC,G2 Esports,Zven,11.15
ADC,Mysterious Monkeys,Yuuki60,6.93
ADC,Ninjas in Pyjamas,HeaQ,5.4
ADC,Misfits,Hans Sama,2.69
ADC,Fnatic,Rekkles,1.85
ADC,Roccat,Hjarnan,-0.39
ADC,Vitality,Steeelback,-3.95
ADC,Origen,Tabzz,-8.34
ADC,Giants,HeaQ,-24.34
Jungle,Origen,Cinkrof,30.45
Jungle,Unicorns of Love,Xerxe,29.33
Jungle,Mysterious Monkeys,Lamabear,23.34
Jungle,G2 Esports,Trick,16.04
Jungle,Roccat,Maxlore,14.93
Jungle,H2K,Jankos,14.56
Jungle,Misfits,Maxlore,7.65
Jungle,Roccat,Pridestalker,7.02
Jungle,Vitality,Djoko,6.31
Jungle,Splyce,Trashy,3.04
Jungle,Ninjas in Pyjamas,Shook,2.36
Jungle,Misfits,KaKAO,0.66
Jungle,Mysterious Monkeys,Amazing,-1.55
Jungle,Giants,Memento,-7.3
Jungle,Fnatic,Broxah,-10.44
Jungle,G2 Esports,Loulex,-19.8
Middle,H2K,Febiven,19.16
Middle,Fnatic,Caps,18.09
Middle,G2 Esports,Perkz,15.37
Middle,Misfits,PowerOfEvil,15.31
Middle,Vitality,Nukeduck,15.1
Middle,Splyce,Sencux,12.13
Middle,Unicorns of Love,Exileh,6.74
Middle,Origen,Naehyun,5.24
Middle,Roccat,Betsy,3.89
Middle,G2 Esports,Blanc,1.68
Middle,Mysterious Monkeys,CozQ,0.84
Middle,Ninjas in Pyjamas,Nagne,-5.98
Middle,Giants,NighT,-6.77
Support,Origen,xPeke,34.41
Support,Splyce,Mikyx,22.95
Support,Unicorns of Love,Hylissang,22.02
Support,Vitality,Hachani,15.32
Support,H2K,Chei,8.7
Support,Giants,HusTlin,8.27
Support,G2 Esports,mithy,3.17
Support,Ninjas in Pyjamas,sprattel,-0.47
Support,Mysterious Monkeys,Dreams,-2.59
Support,Vitality,Vander,-3.25
Support,Roccat,Wadid,-3.31
Support,Misfits,IgNar,-5.38
Support,Fnatic,Jesiz,-9.11
Top,Mysterious Monkeys,Jisu,31.13
Top,Unicorns of Love,Vizicsacsi,22.09
Top,H2K,Odoamne,11.62
Top,Splyce,Wunder,10.89
Top,Fnatic,sOAZ,7.79
Top,G2 Esports,Expect,6.71
Top,Mysterious Monkeys,Kikis,6.65
Top,Vitality,Cabochard,4.27
Top,Misfits,Alphari,-1.79
Top,Ninjas in Pyjamas,Profit,-2.01
Top,Roccat,Phaxi,-8.23
Top,G2 Esports,Send0o,-17.56
Top,Origen,Satorius,-25.42
Top,Giants,Flaxxish,-27.97
