league,team,player,champion,dmgtochamps,predicted,goldspent
EULCS,H2K,Odoamne,Camille,7175,6915.0120767227445,7758
EULCS,Fnatic,sOAZ,Camille,21242,18389.65052717036,16933
EULCS,Vitality,Cabochard,Camille,11548,9663.571741404625,10133
EULCS,Unicorns of Love,Vizicsacsi,Camille,18770,10689.927222244982,10983
EULCS,Misfits,Alphari,Camille,13861,16338.490302553548,15408
EULCS,Roccat,Phaxi,Camille,11004,13726.094680260709,13408
EULCS,Fnatic,sOAZ,Camille,22805,17644.259833576012,16383
EULCS,H2K,Odoamne,Camille,8968,12455.607514994175,12408
EULCS,H2K,Odoamne,Camille,19822,17442.059502925295,16233
EULCS,Mysterious Monkeys,Kikis,Camille,18864,11457.628769256786,11608
EULCS,Mysterious Monkeys,Kikis,Camille,11838,14597.452103742984,14083
EULCS,Unicorns of Love,Vizicsacsi,Camille,16468,13629.950827264916,13333
EULCS,Splyce,Wunder,Camille,10238,11210.797307361509,11408
EULCS,Splyce,Wunder,Camille,4982,11210.797307361509,11408
EULCS,Splyce,Wunder,Camille,19116,14370.507661614432,13908
EULCS,Mysterious Monkeys,Kikis,Camille,7150,8107.242673593745,8808
EULCS,Splyce,Wunder,Camille,5038,7762.726032969612,8508
EULCS,Misfits,Alphari,Camille,11596,13310.462461611993,13083
EULCS,Misfits,Alphari,Camille,8919,9306.410995980264,9833
EULCS,Splyce,Wunder,Cho'gath,17762,15902.545268895532,13075
EULCS,Vitality,Cabochard,Cho'gath,19836,17074.532643760384,13700
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,34107,25059.037712642214,17625
EULCS,G2 Esports,Expect,Cho'gath,19176,11677.267431004075,10675
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,33830,15441.815637600674,12825
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,19487,13122.359299024327,11525
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,18427,13734.035308387496,11875
EULCS,Splyce,Wunder,Cho'gath,7784,9226.311728703491,9145
EULCS,Unicorns of Love,Vizicsacsi,Cho'gath,12639,16932.387760288657,13625
EULCS,Splyce,Wunder,Cho'gath,11318,12734.219207284159,11300
EULCS,Fnatic,sOAZ,Fiora,10498,14634.194372352713,12850
EULCS,H2K,Odoamne,Fiora,16407,10613.733817556355,9425
EULCS,Splyce,Wunder,Fiora,21265,13288.731288019759,11708
EULCS,G2 Esports,Expect,Fiora,19479,20906.50162383593,18130
EULCS,Splyce,Wunder,Fiora,7823,11528.78632430376,10208
EULCS,Roccat,Phaxi,Fiora,13157,16407.987443603575,14350
EULCS,Splyce,Wunder,Fiora,24307,13435.778032068707,11833
EULCS,Roccat,Phaxi,Fiora,8185,13249.92041500745,11675
EULCS,H2K,Odoamne,Fiora,20368,15500.101303345209,13583
EULCS,Unicorns of Love,Vizicsacsi,Fiora,31723,20133.884200232515,17483
EULCS,Fnatic,sOAZ,Galio,13019,13273.646687173223,15710
EULCS,Misfits,Alphari,Galio,5652,8097.2396723478205,6725
EULCS,Roccat,Phaxi,Galio,11862,12583.98102978563,14335
EULCS,G2 Esports,Send0o,Galio,9999,11151.889658900835,11650
EULCS,G2 Esports,Send0o,Galio,10736,12820.18446112738,14800
EULCS,Unicorns of Love,Vizicsacsi,Galio,11173,10202.616489263359,1e4
EULCS,Mysterious Monkeys,Jisu,Galio,20875,11207.55255889083,11750
EULCS,H2K,Odoamne,Galio,10343,10684.811895972161,10825
EULCS,Unicorns of Love,Vizicsacsi,Galio,16869,12680.87510531778,14525
EULCS,Roccat,Phaxi,Galio,8234,11025.91377729827,11425
EULCS,Roccat,Phaxi,Galio,10337,9749.628661517772,9250
EULCS,Roccat,Phaxi,Galio,8196,8594.856683275875,7450
EULCS,G2 Esports,Expect,Galio,10611,11892.731652537228,13010
EULCS,Mysterious Monkeys,Jisu,Galio,7156,8991.553870292222,8050
EULCS,Fnatic,sOAZ,Galio,7402,10467.606594626519,10450
EULCS,Fnatic,sOAZ,Galio,13464,12945.894421165714,15050
EULCS,H2K,Odoamne,Galio,10098,14158.281257465449,17550
EULCS,Unicorns of Love,Vizicsacsi,Galio,15688,10742.200194586336,10925
EULCS,Roccat,Phaxi,Galio,19174,11276.853841752378,11875
EULCS,Roccat,Phaxi,Gnar,8233,16713.75158955805,13825
EULCS,Roccat,Phaxi,Gnar,10324,18338.02273423076,14900
EULCS,Roccat,Phaxi,Gnar,12967,18582.224578412603,15060
EULCS,Fnatic,sOAZ,Gnar,37434,19565.179350447743,15700
EULCS,Roccat,Phaxi,Gnar,11153,11642.829540897807,10325
EULCS,Roccat,Phaxi,Gnar,19091,18490.576000595946,15e3
EULCS,Roccat,Phaxi,Gnar,5134,6877.6792308691975,6750
EULCS,Unicorns of Love,Vizicsacsi,Gnar,17370,16676.326447149317,13800
EULCS,Roccat,Phaxi,Gnar,12454,17813.595098832728,14555
EULCS,Roccat,Phaxi,Gnar,27295,18528.752301252534,15025
EULCS,Unicorns of Love,Vizicsacsi,Gnar,9457,9451.290549782923,8725
EULCS,H2K,Odoamne,Gnar,14692,17654.571154722842,14450
EULCS,Ninjas in Pyjamas,Profit,Gnar,19548,12734.717533883027,11100
EULCS,G2 Esports,Expect,Gnar,6054,13736.737815889468,11800
EULCS,Splyce,Wunder,Gnar,19282,18490.576000595946,15e3
EULCS,Misfits,Alphari,Gnar,10828,10426.58207499657,9445
EULCS,G2 Esports,Expect,Gnar,25019,14352.118367539184,12225
EULCS,Fnatic,sOAZ,Gnar,14330,16826.123808481454,13900
EULCS,Fnatic,sOAZ,Gnar,10233,11992.985575326427,10575
EULCS,Roccat,Phaxi,Gnar,10075,13055.197259918263,11325
EULCS,Ninjas in Pyjamas,Profit,Gnar,15124,15413.642246954107,12950
EULCS,Splyce,Wunder,Gnar,14696,16751.192878703427,13850
EULCS,Mysterious Monkeys,Kikis,Gnar,7849,11017.65631985464,9875
EULCS,G2 Esports,Expect,Gnar,15024,16826.123808481454,13900
EULCS,G2 Esports,Expect,Gnar,12012,10501.833051231022,9500
EULCS,H2K,Odoamne,Gnar,11164,13484.867931069017,11625
EULCS,Vitality,Cabochard,Gnar,10290,7546.238172618987,7275
EULCS,Fnatic,sOAZ,Gnar,14173,16265.7219855782,13525
EULCS,Fnatic,sOAZ,Gnar,23379,24578.248626585493,18875
EULCS,Misfits,Alphari,Gnar,12823,18223.76786073851,14825
EULCS,Ninjas in Pyjamas,Profit,Gnar,12811,7804.017294311658,7475
EULCS,Splyce,Wunder,Gnar,22964,15045.955623591215,12700
EULCS,Splyce,Wunder,Gragas,19357,13602.415093638845,13525
EULCS,Giants,Flaxxish,Gragas,10329,11162.603763759114,11050
EULCS,Roccat,Phaxi,Gragas,12981,15375.458271559035,15330
