position,team,player,dmg_performance
ADC,SK Telecom T1,Bang,18.41
ADC,KT Rolster,Deft,15.24
ADC,Samsung Galaxy,Ruler,9.5
ADC,Longzhu Gaming,PraY,6.39
ADC,Samsung Galaxy,Stitch,3.74
ADC,Afreeca Freecs,Kramer,2.84
ADC,MVP,MaHa,2.22
ADC,ROX Tigers,Sangyoon,0.39
ADC,Ever8 Winners,Deul,-3.4
ADC,BBQ Olivers,Ghost,-4.89
ADC,Jin Air Green Wings,Teddy,-5.01
ADC,Kongdoo Monster,SSol,-7.02
Jungle,Longzhu Gaming,Crash,15.41
Jungle,Longzhu Gaming,Cuzz,12.08
Jungle,Jin Air Green Wings,UmTi,8.89
Jungle,Afreeca Freecs,Mowgli,7.31
Jungle,KT Rolster,Score,5.55
Jungle,SK Telecom T1,Blank,4.46
Jungle,Samsung Galaxy,Ambition,3.2
Jungle,ROX Tigers,Mightybear,1.86
Jungle,MVP,Beyond,1.81
Jungle,ROX Tigers,Seonghwan,-0.61
Jungle,Ever8 Winners,Malrang,-0.82
Jungle,Afreeca Freecs,Spirit,-1.12
Jungle,Kongdoo Monster,Punch,-3.8
Jungle,SK Telecom T1,Peanut,-8.03
Jungle,BBQ Olivers,Bless,-9.88
Jungle,Samsung Galaxy,Haru,-12.29
Jungle,Jin Air Green Wings,Raise,-21.37
Jungle,Ever8 Winners,Comeback,-22.76
Middle,Longzhu Gaming,Fly,20.66
Middle,ROX Tigers,Mickey,9.13
Middle,Afreeca Freecs,Kuro,4.1
Middle,Samsung Galaxy,Crown,3.93
Middle,SK Telecom T1,Faker,3.54
Middle,MVP,Ian,2.97
Middle,Longzhu Gaming,Bdd,-1.92
Middle,ROX Tigers,Lava,-2.72
Middle,KT Rolster,Pawn,-5.64
Middle,BBQ Olivers,Tempt,-6.92
Middle,Ever8 Winners,Cepted,-15.28
Middle,Jin Air Green Wings,Kuzan,-15.44
Middle,Kongdoo Monster,Edge,-21.55
Middle,ROX Tigers,Crow,-22.59
Support,Longzhu Gaming,Gorilla,28.51
Support,Afreeca Freecs,TusiN,17.29
Support,MVP,Max,14.76
Support,SK Telecom T1,Wolf,12.38
Support,Longzhu Gaming,GorillA,11.34
Support,Samsung Galaxy,CoreJJ,9.65
Support,KT Rolster,Mata,0.02
Support,Jin Air Green Wings,SnowFlower,-0.21
Support,ROX Tigers,Key,-1.42
Support,Ever8 Winners,Ella,-7.35
Support,BBQ Olivers,Totoro,-8.03
Support,Kongdoo Monster,GuGer,-8.7
Support,Ever8 Winners,Comeback,-9.06
Support,Afreeca Freecs,Tusin,-10.47
Top,Longzhu Gaming,Expession,24.67
Top,SK Telecom T1,Huni,14.08
Top,KT Rolster,Smeb,14.02
Top,Longzhu Gaming,Khan,12.77
Top,MVP,ADD,8.09
Top,Samsung Galaxy,CuVee,6.19
Top,BBQ Olivers,Crazy,4.71
Top,ROX Tigers,Lindarang,0.39
Top,Jin Air Green Wings,ikssu,-0.47
Top,Ever8 Winners,Helper,-0.84
Top,Jin Air Green Wings,SoHwan,-1.14
Top,SK Telecom T1,Profit,-1.65
Top,Afreeca Freecs,MaRin,-1.67
Top,Longzhu Gaming,Rascal,-3.22
Top,Ever8 Winners,Kiin,-3.4
Top,BBQ Olivers,Part,-4.12
Top,ROX Tigers,Shy,-4.59
Top,SK Telecom T1,Untara,-8.15
Top,Kongdoo Monster,Roach,-23.65
