league,team,player,champion,dmgtochamps,predicted,goldspent
LCK,Longzhu Gaming,PraY,Ashe,27086,23402.658010026742,17600
LCK,Longzhu Gaming,PraY,Ashe,11038,12144.760638318267,11200
LCK,Longzhu Gaming,PraY,Ashe,19261,13872.492283738204,12275
LCK,Jin Air Green Wings,Teddy,Ashe,13111,25406.36944981015,18625
LCK,Kongdoo Monster,SSol,Ashe,9192,13100.277209414458,11800
LCK,BBQ Olivers,Ghost,Ashe,7204,7150.51514641402,7775
LCK,SK Telecom T1,Bang,Ashe,16452,11987.709370172113,11100
LCK,SK Telecom T1,Bang,Ashe,12532,11058.895577087003,10500
LCK,ROX Tigers,Sangyoon,Ashe,8562,16140.565133905604,13625
LCK,MVP,MaHa,Ashe,16123,14450.215181209272,12625
LCK,ROX Tigers,Sangyoon,Ashe,11744,10265.561953332572,9975
LCK,Longzhu Gaming,PraY,Ashe,12523,10716.648713124003,10275
LCK,Longzhu Gaming,PraY,Ashe,26838,19507.362026942574,15525
LCK,KT Rolster,Deft,Ashe,11964,15883.324895443557,13475
LCK,Kongdoo Monster,SSol,Ashe,9140,12262.965368173773,11275
LCK,BBQ Olivers,Ghost,Ashe,15038,16832.781928779146,14025
LCK,Kongdoo Monster,SSol,Ashe,15984,12819.265381032714,11625
LCK,Jin Air Green Wings,Teddy,Ashe,8688,10153.736563797838,9900
LCK,SK Telecom T1,Bang,Ashe,15979,13383.176081966581,11975
LCK,ROX Tigers,Sangyoon,Ashe,11715,13383.176081966581,11975
LCK,ROX Tigers,Sangyoon,Ashe,16833,16832.781928779146,14025
LCK,KT Rolster,Deft,Ashe,9864,17050.945316621976,14150
LCK,KT Rolster,Deft,Ashe,21251,19053.138980808963,15275
LCK,ROX Tigers,Sangyoon,Ashe,11671,11520.391497059169,10800
LCK,Samsung Galaxy,Stitch,Ashe,17237,16615.494240954704,13900
LCK,SK Telecom T1,Bang,Ashe,13273,12939.466966882981,11700
LCK,MVP,MaHa,Ashe,7386,10034.876847733789,9820
LCK,KT Rolster,Deft,Ashe,15919,14367.235426586976,12575
LCK,Jin Air Green Wings,Teddy,Ashe,9769,11173.718855881243,10575
LCK,MVP,MaHa,Ashe,17518,16832.781928779146,14025
LCK,Jin Air Green Wings,Teddy,Ashe,19548,16702.303957414613,13950
LCK,Longzhu Gaming,PraY,Ashe,16563,22778.112389571914,17275
LCK,Longzhu Gaming,PraY,Ashe,10026,9381.735691164744,9375
LCK,Afreeca Freecs,Kramer,Ashe,31136,20703.774328514162,16175
LCK,SK Telecom T1,Bang,Ashe,9954,9820.556683415829,9675
LCK,ROX Tigers,Sangyoon,Ashe,5862,8138.199075031381,8500
