position,team,player,dmg_performance
ADC,Hong Kong Attitude,GodKwai,21.37
ADC,Flash Wolves,Madnesss,15.48
ADC,J Team,Bebe,11.89
ADC,Flash Wolves,Betty,10.83
ADC,AHQ e-Sports Club,An,7.53
ADC,J Team,BeBe,7.13
ADC,Hong Kong Attitude,Unified,6.7
ADC,Fire Ball,Unified,4.85
ADC,Wayi Spider,Breeze,1.34
ADC,Raise Gaming,LilV,-3.14
ADC,Hong Kong Esports,GodKwai,-3.67
ADC,Machi 17,Dee,-7.08
ADC,Fire Ball,Enzz,-7.62
ADC,AHQ e-Sports Club,LBB,-9.29
ADC,Hong Kong Attitude,DANDAN,-12.84
ADC,Raise Gaming,Ran,-18.77
ADC,eXtreme Gamers,LBB,-22.9
Jungle,J Team,Alex,24.6
Jungle,Flash Wolves,Karsa,14.63
Jungle,Wayi Spider,Epic,8.64
Jungle,Fire Ball,Wulala,6.78
Jungle,Machi 17,Taizan,5.86
Jungle,J Team,REFRA1N,5.27
Jungle,Raise Gaming,Laba,2.64
Jungle,Fire Ball,Wind,-1.01
Jungle,Hong Kong Esports,Gemini,-1.1
Jungle,Hong Kong Attitude,Gemini,-3.41
Jungle,AHQ e-Sports Club,Mountain,-5.84
Jungle,Flash Wolves,REFRA1N,-8.16
Jungle,J Team,Breaker,-9.11
Jungle,Hong Kong Esports,Wulala,-9.61
Jungle,Hong Kong Attitude,GodKwai,-13.09
Jungle,Hong Kong Attitude,once1,-25.25
Jungle,eXtreme Gamers,Pony,-32.17
Middle,J Team,FoFo,16.87
Middle,Flash Wolves,Maple,15.29
Middle,J Team,Fofo,6.6
Middle,Hong Kong Esports,Gear,6.48
Middle,Fire Ball,M1ssion,5.21
Middle,Hong Kong Attitude,M1ssion,3.6
Middle,AHQ e-Sports Club,Chawy,3.32
Middle,Raise Gaming,wuji,3.16
Middle,Wayi Spider,Wako,1.93
Middle,Machi 17,Apex,0.56
Middle,AHQ e-Sports Club,Westdoor,-2.29
Middle,Fire Ball,Wulala,-3.97
Middle,Fire Ball,MarS,-9.12
Middle,eXtreme Gamers,SiuSiu,-11.08
Middle,Fire Ball,KuKu,-16.19
Middle,Fire Ball,Wind,-27.22
Middle,Hong Kong Esports,KuKu,-32.04
Middle,eXtreme Gamers,Chingz,-51.31
Support,Raise Gaming,Koala,16.47
Support,Wayi Spider,Zest,10.92
Support,Flash Wolves,SwordArt,9.85
Support,J Team,Jay,5.45
Support,AHQ e-Sports Club,Albis,2.3
Support,Hong Kong Attitude,Kaiwing,0.77
Support,Hong Kong Esports,Veki,-1.81
Support,Wayi Spider,K,-2.3
Support,Fire Ball,SkuLL,-2.71
Support,eXtreme Gamers,SuKi,-4.23
Support,Machi 17,Dreamer,-4.99
Top,J Team,Morning,24.35
Top,AHQ e-Sports Club,Ziv,15.13
Top,Hong Kong Esports,MapleSnow,11.81
Top,Raise Gaming,Pk,10.23
Top,Hong Kong Attitude,MapleSnow,9.44
Top,Wayi Spider,Nexus,8.33
Top,Hong Kong Attitude,Riris,6.57
Top,Flash Wolves,MMD,3.87
Top,Fire Ball,Ninuo,-2.21
Top,eXtreme Gamers,Nexus,-3.55
Top,J Team,Rest,-3.8
Top,Machi 17,BoBo,-10.99
Top,Machi 17,3z,-11.58
Top,Wayi Spider,Rins,-23.77
Top,Flash Wolves,Moonblackk,-31.5
