league,team,player,champion,dmgtochamps,predicted,goldspent
LMS,Wayi Spider,Rins,Camille,9773,17005.583588707006,15908
LMS,Wayi Spider,Rins,Camille,4278,7563.166594859217,8333
LMS,Machi 17,3z,Camille,13886,13087.736496362742,12908
LMS,J Team,Morning,Camille,14625,12770.88199296042,12658
LMS,AHQ e-Sports Club,Ziv,Camille,17397,12436.741804809395,12393
LMS,Raise Gaming,Pk,Camille,13667,10174.134711700719,10558
LMS,Machi 17,3z,Camille,15263,12424.167874612744,12383
LMS,Raise Gaming,Pk,Camille,32400,35634.4589524949,28708
LMS,Raise Gaming,Pk,Camille,11354,10446.559799403029,10783
LMS,Wayi Spider,Nexus,Camille,19701,13918.79045832833,13558
LMS,Wayi Spider,Nexus,Camille,11315,10174.134711700719,10558
LMS,AHQ e-Sports Club,Ziv,Camille,9091,15020.812046060573,14408
LMS,AHQ e-Sports Club,Ziv,Camille,7428,7392.9570705222995,8183
LMS,Machi 17,3z,Camille,11255,10628.979364581337,10933
LMS,Raise Gaming,Pk,Camille,10642,10264.781385736585,10633
LMS,J Team,Rest,Camille,12689,17718.517663266593,16438
LMS,AHQ e-Sports Club,Ziv,Camille,12533,10385.895426148754,10733
LMS,AHQ e-Sports Club,Ziv,Camille,19859,18696.36522999025,17158
LMS,Raise Gaming,Pk,Camille,9472,12929.11319204826,12783
LMS,Flash Wolves,MMD,Cho'gath,19763,15570.350826605441,12895
LMS,Wayi Spider,Nexus,Cho'gath,17140,18080.8971498827,14225
LMS,Machi 17,3z,Cho'gath,6322,13690.027509893338,11850
LMS,Raise Gaming,Pk,Cho'gath,16205,12563.000671761845,11200
LMS,Flash Wolves,MMD,Cho'gath,13558,11552.557930704274,10600
LMS,Flash Wolves,MMD,Cho'gath,15020,13339.715926555056,11650
LMS,J Team,Rest,Cho'gath,6858,6925.566615899831,7575
LMS,Machi 17,3z,Fiora,11143,12847.93475418853,11333
LMS,Machi 17,3z,Fiora,13257,9652.582063891941,8600
LMS,Machi 17,3z,Fiora,6557,10156.643665746231,9033
LMS,Machi 17,3z,Fiora,6590,15875.109904913012,13900
LMS,Raise Gaming,Pk,Fiora,29373,16052.667269834277,14050
LMS,Flash Wolves,MMD,Fiora,10407,13367.541306035111,11775
LMS,Machi 17,3z,Fiora,18900,16971.126416153373,14825
LMS,Flash Wolves,MMD,Fiora,24929,20512.30376734233,17800
LMS,Machi 17,3z,Galio,10541,10531.652622985963,10560
LMS,Hong Kong Attitude,MapleSnow,Galio,12086,10641.625307595212,10750
LMS,Hong Kong Attitude,MapleSnow,Galio,17704,10379.81569610064,10300
LMS,Machi 17,3z,Galio,10073,12203.99732633733,13600
LMS,Wayi Spider,Nexus,Galio,18368,16574.071475475033,23e3
LMS,Flash Wolves,MMD,Galio,9824,9281.02419108886,8500
LMS,Fire Ball,Ninuo,Galio,12851,9296.915864300916,8525
LMS,Fire Ball,Ninuo,Galio,10549,10747.926939272073,10935
LMS,Machi 17,3z,Gnar,18550,19103.204784700774,15400
LMS,J Team,Morning,Gnar,25842,14134.332968627992,12075
LMS,Fire Ball,Ninuo,Gnar,12681,10632.05669271071,9595
LMS,Wayi Spider,Nexus,Gnar,11831,9183.701652856395,8525
LMS,Hong Kong Attitude,Riris,Gnar,13248,13700.701518147625,11775
LMS,Hong Kong Attitude,Riris,Gnar,13924,11607.924243394642,10300
LMS,Wayi Spider,Nexus,Gnar,12077,14279.45201006006,12175
LMS,Hong Kong Attitude,Riris,Gnar,6626,13055.197259918263,11325
LMS,Machi 17,3z,Gnar,17951,17995.672031959348,14675
LMS,Hong Kong Attitude,Riris,Gnar,12571,16489.443718070783,13675
LMS,Hong Kong Attitude,Riris,Gnar,11676,11957.88026877516,10550
LMS,Wayi Spider,Nexus,Gnar,13557,12557.339700029695,10975
LMS,Machi 17,3z,Gnar,10426,11259.98867522436,10050
LMS,Hong Kong Attitude,Riris,Gnar,23908,17126.488991661485,14100
LMS,AHQ e-Sports Club,Ziv,Gnar,24897,16265.7219855782,13525
LMS,Fire Ball,Ninuo,Gnar,9522,11190.647345686584,1e4
LMS,Wayi Spider,Rins,Gragas,8595,10445.746316353901,10325
LMS,Wayi Spider,Rins,Gragas,10041,9529.519118410986,9400
LMS,eXtreme Gamers,Nexus,Gragas,14372,14757.161528279217,14700
LMS,eXtreme Gamers,Nexus,Gragas,3729,10297.295610933214,10175
LMS,eXtreme Gamers,Nexus,Gragas,8616,8685.837991157261,8550
LMS,J Team,Morning,Gragas,34336,19430.52709330785,19475
LMS,Fire Ball,Ninuo,Gragas,5998,7541.414148359958,7400
LMS,Hong Kong Esports,MapleSnow,Gragas,6717,7012.702947933347,6870
LMS,Hong Kong Attitude,MapleSnow,Gragas,9014,11730.409308766182,11625
LMS,Wayi Spider,Nexus,Gragas,14507,17794.404517336396,17800
LMS,Wayi Spider,Nexus,Gragas,10936,11977.087436153844,11875
LMS,Flash Wolves,Moonblackk,Gragas,12364,14511.645965789925,14450
LMS,Wayi Spider,Nexus,Gragas,7929,8487.063823502267,8350
LMS,Wayi Spider,Nexus,Gragas,12036,16742.59391933464,16725
LMS,Fire Ball,Ninuo,Gragas,16253,12568.655004427808,12475
LMS,Wayi Spider,Nexus,Gragas,6682,8163.831924521,8025
LMS,Machi 17,3z,Jarvan IV,16788,25407.506868330558,23575
LMS,AHQ e-Sports Club,Ziv,Jarvan IV,14599,10512.368567442005,10900
LMS,AHQ e-Sports Club,Ziv,Jarvan IV,17335,13455.61795893589,13525
LMS,J Team,Morning,Jarvan IV,14140,16892.049363298287,16500
LMS,J Team,Morning,Jarvan IV,15769,18304.651153933744,17700
LMS,Hong Kong Attitude,MapleSnow,Jarvan IV,10128,8901.514982231385,9425
LMS,Hong Kong Attitude,MapleSnow,Jarvan IV,11611,11343.86081105061,11650
LMS,Flash Wolves,Moonblackk,Jarvan IV,12843,24792.003564028597,23075
LMS,Raise Gaming,Pk,Jarvan IV,16499,18837.994438947066,18150
LMS,Machi 17,3z,Jarvan IV,9952,9362.17337592809,9850
LMS,Raise Gaming,Pk,Jarvan IV,14349,17449.49371071993,16975
LMS,Raise Gaming,Pk,Jarvan IV,13445,10954.840553891217,11300
