league,team,player,champion,dmgtochamps,predicted,goldspent
NALCS,Echo Fox,Keith,Ashe,11798,15968.92880764009,13525
NALCS,Counter Logic Gaming,aphromoo,Ashe,6661,6655.497364549264,7400
NALCS,Team SoloMid,WildTurtle,Ashe,6235,10302.921620603274,1e4
NALCS,Team SoloMid,WildTurtle,Ashe,6624,10415.253423172975,10075
NALCS,Team SoloMid,WildTurtle,Ashe,8317,10603.312325388017,10200
NALCS,Echo Fox,Keith,Ashe,25313,17489.88223617396,14400
NALCS,Echo Fox,Keith,Ashe,14571,15627.373657029792,13325
NALCS,Echo Fox,Keith,Ashe,29187,18647.195240460194,15050
NALCS,Immortals,Cody Sun,Ashe,14292,24765.51614177277,18300
NALCS,Team Liquid,Doublelift,Ashe,17004,21169.790168500083,16425
NALCS,Team Liquid,Doublelift,Ashe,14217,12659.540401712611,11525
NALCS,Counter Logic Gaming,Stixxay,Ashe,19241,15874.77237657268,13470
NALCS,Cloud9,Sneaky,Ashe,46878,25307.44564459166,18575
NALCS,Echo Fox,Keith,Ashe,10532,10716.648713124003,10275
NALCS,Echo Fox,Keith,Ashe,33755,19689.98048783041,15625
NALCS,Team SoloMid,Doublelift,Ashe,20827,15755.187658057106,13400
NALCS,Dignitas,LOD,Ashe,18500,29356.253361426352,20575
NALCS,Team SoloMid,Doublelift,Ashe,14073,17182.2619134619,14225
NALCS,EnVyUs,Apollo,Ashe,20957,22206.293968191585,16975
NALCS,Dignitas,LOD,Ashe,14061,14783.615338243178,12825
NALCS,Dignitas,LOD,Ashe,9414,10830.35904112515,10350
NALCS,Dignitas,LOD,Ashe,13810,14900.862695359932,12895
NALCS,FlyQuest,WildTurtle,Ashe,17347,14533.34337030086,12675
NALCS,EnVyUs,Apollo,Ashe,13788,13342.647003202117,11950
NALCS,Dignitas,LOD,Ashe,12255,14574.963027198313,12700
NALCS,Dignitas,LOD,Ashe,18572,21123.043601538644,16400
NALCS,Dignitas,LOD,Ashe,15362,17445.832638554682,14375
NALCS,Team SoloMid,Doublelift,Ashe,10820,11058.895577087003,10500
NALCS,Team SoloMid,Doublelift,Ashe,16124,19964.897955721975,15775
NALCS,FlyQuest,WildTurtle,Ashe,16995,13464.348797827924,12025
NALCS,FlyQuest,WildTurtle,Ashe,9212,8985.00784500406,9100
NALCS,EnVyUs,Apollo,Ashe,21753,22539.30549295515,17150
NALCS,Team Liquid,Piglet,Ashe,31355,18737.169858673027,15100
NALCS,Team Liquid,Piglet,Ashe,9503,11597.87589945556,10850
NALCS,Counter Logic Gaming,Stixxay,Ashe,40818,33102.12343625879,22350
NALCS,FlyQuest,WildTurtle,Ashe,24084,17445.832638554682,14375
NALCS,Phoenix1,Arrow,Ashe,16266,13464.348797827924,12025
NALCS,Dignitas,LOD,Ashe,8691,8558.346176908428,8800
NALCS,Team SoloMid,Doublelift,Ashe,10738,10944.441820027032,10425
NALCS,EnVyUs,Apollo,Ashe,21550,17489.88223617396,14400
NALCS,Counter Logic Gaming,Stixxay,Ashe,10738,14867.334068779533,12875
NALCS,Counter Logic Gaming,Stixxay,Ashe,8676,7486.597730855586,8025
NALCS,EnVyUs,Apollo,Ashe,15348,14367.235426586976,12575
NALCS,Counter Logic Gaming,Stixxay,Ashe,15603,13423.743361405634,12e3
NALCS,Dignitas,LOD,Ashe,21733,13954.574565881241,12325
NALCS,Team SoloMid,Doublelift,Ashe,14128,14458.521325888996,12630
NALCS,Team SoloMid,Doublelift,Ashe,13980,18243.981075926076,14825
NALCS,Counter Logic Gaming,Stixxay,Ashe,10895,11831.295301599492,11e3
NALCS,Immortals,Cody Sun,Ashe,12248,11636.678614739501,10875
NALCS,Echo Fox,Keith,Ashe,57267,25258.028765343905,18550
NALCS,Counter Logic Gaming,Stixxay,Ashe,20104,16963.57515101523,14100
NALCS,Team Liquid,Piglet,Ashe,11770,11443.06880699003,10750
NALCS,EnVyUs,Apollo,Ashe,18874,15161.50399426932,13050
NALCS,EnVyUs,Apollo,Ashe,14827,17887.87828465541,14625
NALCS,EnVyUs,Apollo,Ashe,13934,21076.32918092359,16375
NALCS,Counter Logic Gaming,Stixxay,Ashe,13280,9418.065305439906,9400
NALCS,Counter Logic Gaming,Stixxay,Ashe,43390,28019.975294721215,19925
NALCS,Flyquest,Altec,Caitlyn,27932,26073.50073111988,17e3
NALCS,Counter Logic Gaming,aphromoo,Caitlyn,10628,13627.321023028308,11175
NALCS,Flyquest,Altec,Caitlyn,20832,25482.878597138693,16750
NALCS,Flyquest,Altec,Caitlyn,23617,20769.119447112476,14675
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,14393,15067.486345041896,11925
NALCS,EnVyUs,Apollo,Caitlyn,65456,47487.527453136434,25050
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,19104,17682.345985304124,13225
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,29324,31473.107002138946,19200
NALCS,Immortals,Cody Sun,Caitlyn,18200,20116.150347750063,14375
NALCS,Phoenix1,Arrow,Caitlyn,31215,24967.099576552035,16530
NALCS,Immortals,Cody Sun,Caitlyn,15827,16205.81446443591,12500
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,11671,10045.214104251008,9175
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,27438,19954.06257999568,14300
NALCS,Team SoloMid,Doublelift,Caitlyn,33573,26848.43090425603,17325
NALCS,Team SoloMid,Doublelift,Caitlyn,10922,14775.375658880199,11775
NALCS,EnVyUs,Apollo,Caitlyn,16423,20332.987233220654,14475
NALCS,Team SoloMid,Doublelift,Caitlyn,9574,15469.961181046572,12130
NALCS,Team SoloMid,Doublelift,Caitlyn,14561,16811.271422150316,12800
NALCS,Echo Fox,Keith,Caitlyn,26025,27329.285091114794,17525
NALCS,Immortals,Cody Sun,Caitlyn,31335,34109.288978972894,20225
NALCS,EnVyUs,Apollo,Caitlyn,25081,21784.566284022254,15135
NALCS,EnVyUs,Apollo,Caitlyn,25717,20441.71346133334,14525
NALCS,EnVyUs,Apollo,Caitlyn,47928,27752.50123167309,17700
NALCS,Team Liquid,Piglet,Caitlyn,17167,16306.17828688439,12550
NALCS,Team Liquid,Piglet,Caitlyn,41181,30904.51931633009,18975
NALCS,Team Liquid,Piglet,Caitlyn,20896,26668.88949924676,17250
NALCS,Team SoloMid,Doublelift,Caitlyn,16384,21318.868155317956,14925
NALCS,Immortals,Cody Sun,Caitlyn,10755,14969.89162780441,11875
NALCS,Immortals,Cody Sun,Caitlyn,14644,14006.355222295351,11375
NALCS,Echo Fox,Keith,Caitlyn,20993,26073.50073111988,17e3
NALCS,EnVyUs,Apollo,Caitlyn,15213,23396.610400105717,15850
NALCS,FlyQuest,WildTurtle,Caitlyn,44082,37155.043461254405,21375
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,46713,27510.38196515115,17600
NALCS,Phoenix1,Arrow,Caitlyn,15927,15116.36769961156,11950
NALCS,Dignitas,LOD,Caitlyn,17485,16255.969002013784,12525
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,10704,12649.990362215915,10650
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,5645,10514.659471582616,9450
NALCS,EnVyUs,Apollo,Caitlyn,14517,17424.53496994041,13100
NALCS,Team Liquid,Piglet,Caitlyn,19287,18358.8899151371,13550
NALCS,Echo Fox,Keith,Caitlyn,12349,15509.42745735846,12150
NALCS,Team Liquid,Piglet,Caitlyn,18092,13674.499123090842,11200
NALCS,Dignitas,Altec,Caitlyn,30285,19900.136378195395,14275
NALCS,FlyQuest,WildTurtle,Caitlyn,33846,39726.0152429163,22320
NALCS,Cloud9,Sneaky,Caitlyn,15197,12649.990362215915,10650
NALCS,Echo Fox,Keith,Caitlyn,22289,18201.96838862853,13475
NALCS,Cloud9,Sneaky,Caitlyn,19984,13205.319569818908,10950
NALCS,Team Liquid,Piglet,Caitlyn,10043,15263.347110027953,12025
NALCS,Cloud9,Sneaky,Caitlyn,15911,12375.501012451912,10500
NALCS,Counter Logic Gaming,Stixxay,Caitlyn,12248,12834.162598949473,10750
