league,team,player,dmg_performance
CBLoL,T Show E-Sports,Krastyel,6.78311874464028
CBLoL,ProGaming Esports,Goku,5.7543228261358665
CBLoL,CNB e-Sports Club,tinowns,4.0613597700223565
CBLoL,Team oNe e-Sports,Marf,1.7506478377752759
CBLoL,Keyd Stars,takeshi,-0.09504633436151427
CBLoL,INTZ e-Sports,Envy,-1.3191365201375822
CBLoL,paiN Gaming,Kami,-1.9893380072634748
CBLoL,RED Canids,tockers,-3.6938052830609114
CBLoL,Team oNe e-Sports,Brucer,-5.603826877700172
CBLoL,CNB e-Sports Club,Vash,-9.30632654069366
EUCS,Giants,Jiizuké,5.8686925694904
EUCS,Red Bulls,MagiFelix,5.353172696293951
EUCS,Paris Saint-Germain,Blanc,4.558049660007961
EUCS,Giants,Jiizuke,3.8792372921137934
EUCS,Wind and Rain,Kakan,2.130455433714909
EUCS,Schalke 04,Caedrel,1.4512375488211275
EUCS,Origen,Scarlet,-1.8681005366488928
EUCS,Wind and Rain,Larssen,-7.977892628529834
EULCS,Fnatic,Caps,6.673747780790492
EULCS,G2 Esports,Perkz,6.050043843324352
EULCS,Vitality,Nukeduck,5.190350650716971
EULCS,Splyce,Sencux,5.102254110748759
EULCS,Unicorns of Love,Exileh,3.839416206731553
EULCS,Misfits,PowerOfEvil,3.1572900591755304
EULCS,H2K,Febiven,2.96705564574428
EULCS,Origen,Naehyun,2.0568424595804413
EULCS,Roccat,Betsy,-0.5078246585981085
EULCS,Mysterious Monkeys,CozQ,-1.1052304037085674
EULCS,Giants,NighT,-2.696796790626939
EULCS,Ninjas in Pyjamas,Nagne,-3.1627023249846955
EULCS,G2 Esports,Blanc,-5.715340057578056
LCK,ROX Tigers,Mickey,1.0780053281435764
LCK,SK Telecom T1,Faker,0.47658351380575126
LCK,MVP,Ian,-0.5574003483879054
LCK,Longzhu Gaming,Fly,-1.14429202032227
LCK,Samsung Galaxy,Crown,-2.162167350024074
LCK,Afreeca Freecs,Kuro,-2.938299898194338
LCK,ROX Tigers,Lava,-3.1120766938326945
LCK,KT Rolster,Pawn,-6.136722838158895
LCK,Longzhu Gaming,Bdd,-6.226087687605138
LCK,BBQ Olivers,Tempt,-7.700446335774129
LCK,Ever8 Winners,Cepted,-8.850443410101434
LCK,Jin Air Green Wings,Kuzan,-10.286397982248703
LCK,Kongdoo Monster,Edge,-14.238620939237773
LMS,J Team,FoFo,5.663960403624701
LMS,Fire Ball,M1ssion,4.3226457098035995
LMS,Hong Kong Attitude,M1ssion,-0.5379712833968806
LMS,J Team,Fofo,-0.7536798591958485
LMS,AHQ e-Sports Club,Chawy,-1.1476654354870852
LMS,Flash Wolves,Maple,-1.193019493763658
LMS,Raise Gaming,wuji,-1.3369820944127553
LMS,Hong Kong Esports,KuKu,-2.3329466797755702
LMS,Hong Kong Esports,Gear,-2.3334267635061705
LMS,Fire Ball,MarS,-2.990435350897776
LMS,Machi 17,Apex,-3.4777750379245536
LMS,AHQ e-Sports Club,Westdoor,-4.163011437005724
LMS,Wayi Spider,Wako,-4.654611081278501
LMS,eXtreme Gamers,SiuSiu,-10.06946802900884
LMS,Fire Ball,KuKu,-11.05632215995144
LMS,Fire Ball,Wind,-14.323516962947124
LMS,eXtreme Gamers,Chingz,-24.449572827665367
NACS,Big Gods Jackals,Pekin Woof,11.910378556666243
NACS,eUnited,GBM,8.84510073952761
NACS,CLG Academy,Linsanity,7.77278116595386
NACS,Gold Coin United,Fly,6.351591764395553
NACS,Tempo Storm,Selfie,6.169014700926503
NACS,CLG Academy,Tuesday,5.819920925572409
NACS,Delta Fox,Voyboy,-3.9070676997396885
NALCS,Flyquest,Hai,8.892421944268984
NALCS,Echo Fox,Froggen,7.751206442716309
NALCS,FlyQuest,Hai,5.601391156126164
NALCS,Team SoloMid,Bjergsen,5.550072512817729
NALCS,Counter Logic Gaming,Huhi,4.89010069121162
NALCS,Dignitas,Keane,3.722753817023356
NALCS,Cloud9,Jensen,2.5230590446480905
NALCS,Phoenix1,Ryu,2.315373245734699
NALCS,EnVyUs,Ninja,2.2328801074716234
NALCS,Immortals,Pobelter,1.1206239259595883
NALCS,Team Liquid,Piglet,0.9201889439097379
NALCS,Phoenix1,Pirean,-0.7431482217451167
NALCS,EnVyUs,Nisqy,-1.8240157290179595
NALCS,Team Liquid,Goldenglue,-3.6498616062068994
NALCS,EnVyUs,Pirean,-4.822821564318759
NALCS,Team Liquid,Slooshi,-7.444108789248773
NALCS,Echo Fox,Damonte,-9.84401242891561
TCL,Dark Passage,Ninja,14.11463305017541
TCL,Team AURORA,Godbro Sama,8.620543980945591
TCL,Galakticos,Soz Purefect,6.026619557490454
TCL,Fenerbahce Esports,Frozen,5.548084930094525
TCL,Crew e-Sports Club,Naehyun,4.052562648492733
TCL,P3P eSports,Crossman,1.020223625496805
TCL,SuperMassive,Naru,-0.6080496759957812
TCL,Dark Passage,Immortoru,-0.7773600654657534
TCL,P3P eSports,Shoshin,-1.1056876639035618
TCL,Team AURORA,Cheong,-4.374869886264139
TCL,Cilekler,umuut,-4.596749816063223
