position,team,player,dmg_performance
ADC,Dignitas,Altec,7.38
ADC,Cloud9,Sneaky,6.14
ADC,Team SoloMid,Doublelift,5.39
ADC,Team Liquid,Piglet,2.61
ADC,Counter Logic Gaming,Stixxay,2.22
ADC,Phoenix1,Arrow,1.15
ADC,Immortals,Cody Sun,-4.02
ADC,Flyquest,Altec,-5.76
ADC,FlyQuest,WildTurtle,-5.99
ADC,Echo Fox,Mash,-8.15
ADC,EnVyUs,Apollo,-8.95
ADC,Team Liquid,Doublelift,-9.83
ADC,Counter Logic Gaming,aphromoo,-11.33
ADC,Echo Fox,Keith,-11.43
ADC,Dignitas,LOD,-26.83
ADC,Team SoloMid,WildTurtle,-38.85
Jungle,Cloud9,Contractz,15.36
Jungle,Team SoloMid,Svenskeren,15.16
Jungle,Counter Logic Gaming,Xmithie,11.37
Jungle,Counter Logic Gaming,Dardoch,9.05
Jungle,Immortals,Dardoch,8.98
Jungle,Immortals,Xmithie,8.6
Jungle,Team Liquid,Inori,6.82
Jungle,Counter Logic Gaming,OmarGod,6.47
Jungle,Phoenix1,Meteos,6.22
Jungle,Phoenix1,MikeYeung,2.33
Jungle,Dignitas,Shrimp,1.73
Jungle,Team Liquid,Reignover,-0.9
Jungle,Dignitas,Chaser,-5.98
Jungle,Echo Fox,Akaadian,-6.58
Jungle,Flyquest,Moon,-6.76
Jungle,EnVyUs,LirA,-17.06
Jungle,Phoenix1,Inori,-17.67
Jungle,Team Liquid,Dardoch,-19.49
Jungle,FlyQuest,Moon,-21.62
Jungle,Echo Fox,Grig,-33.46
Middle,Flyquest,Hai,18.75
Middle,Echo Fox,Froggen,13.95
Middle,Team SoloMid,Bjergsen,9.91
Middle,Counter Logic Gaming,Huhi,9.33
Middle,EnVyUs,Ninja,6.13
Middle,FlyQuest,Hai,6.08
Middle,Cloud9,Jensen,4.53
Middle,Dignitas,Keane,1.89
Middle,Immortals,Pobelter,1.39
Middle,Phoenix1,Pirean,0.6
Middle,Team Liquid,Piglet,-0.41
Middle,Phoenix1,Ryu,-1.44
Middle,Team Liquid,Goldenglue,-7.6
Middle,EnVyUs,Nisqy,-7.68
Middle,EnVyUs,Pirean,-10.71
Middle,Team Liquid,Slooshi,-19.7
Middle,Echo Fox,Damonte,-34.09
Support,Immortals,Olleh,23.48
Support,Counter Logic Gaming,Joey,18.98
Support,Dignitas,Adrian,12.23
Support,FlyQuest,LemonNation,12.04
Support,EnVyUs,Hakuho,4.89
Support,Team SoloMid,Biofrost,3.1
Support,Team Liquid,Matt,2.79
Support,Dignitas,Big,-1.85
Support,Team Liquid,konkwon,-2.62
Support,Phoenix1,Shady,-3.18
Support,Flyquest,LemonNation,-5.14
Support,Dignitas,Xpecial,-13.26
Support,Cloud9,Smoothie,-13.37
Support,Counter Logic Gaming,aphromoo,-16.23
Support,Phoenix1,Xpecial,-26.69
Support,Echo Fox,Gate,-37.17
Support,Phoenix1,Stunt,-120.7
Top,Team SoloMid,Hauntzer,11.31
Top,Cloud9,Impact,8.62
Top,Echo Fox,Brandini,3.36
Top,Immortals,Flame,2.04
Top,Cloud9,Ray,-2.68
Top,Phoenix1,Allorim,-4.72
Top,Dignitas,Ssumday,-4.78
Top,Counter Logic Gaming,Darshan,-5.89
Top,Phoenix1,zig,-7.59
Top,EnVyUs,Seraph,-9.11
Top,FlyQuest,Balls,-11.22
Top,Team Liquid,Lourlo,-13.22
Top,Echo Fox,Looper,-17.78
Top,Flyquest,Balls,-24.92
