league,team,player,dmg_performance
CBLoL,T Show E-Sports,Ceos,13.95359580322828
CBLoL,INTZ e-Sports,Jockster,8.787798786550608
CBLoL,CNB e-Sports Club,Wos,8.560507482266797
CBLoL,Keyd Stars,Ziriguidun,4.335669535782609
CBLoL,Team oNe e-Sports,RedBert,3.441639268713896
CBLoL,RED Canids,Rhuckz,2.6076754034233813
CBLoL,CNB e-Sports Club,Minerva,1.2197642728834628
CBLoL,paiN Gaming,Loop,-2.936045379528749
CBLoL,ProGaming Esports,Professor,-4.818903342149888
CBLoL,Keyd Stars,esA,-7.878833879051222
CBLoL,RED Canids,Dioud,-11.234053251169481
CBLoL,CNB e-Sports Club,Visdom,-14.113705602320007
EUCS,Wind and Rain,Quixeth,14.63406058268671
EUCS,Origen,Iluzjonist,9.692717178070835
EUCS,Red Bulls,KaSing,8.032996309987379
EUCS,Giants,Joo,6.154024711694466
EUCS,Wind and Rain,AoD,2.674072705897803
EUCS,Giants,jactroll,2.318622121937071
EUCS,Schalke 04,Norskeren,0.4951834178328791
EUCS,Origen,Quixeth,-8.02230687962263
EUCS,Paris Saint-Germain,Noxiak,-9.445915996602805
EUCS,Origen,IluzjonistJ,-13.91727338756704
EUCS,Paris Saint-Germain,Klaj,-24.194669995069628
EULCS,Origen,xPeke,17.79386425379911
EULCS,Splyce,Mikyx,10.248732653210768
EULCS,Unicorns of Love,Hylissang,6.822344516254304
EULCS,Vitality,Hachani,4.677183684747561
EULCS,H2K,Chei,1.6337622803320462
EULCS,Giants,HusTlin,0.5383488368663312
EULCS,G2 Esports,mithy,-0.5921413542504416
EULCS,Ninjas in Pyjamas,sprattel,-1.041880796225032
EULCS,Roccat,Wadid,-2.289954752398136
EULCS,Mysterious Monkeys,Dreams,-2.979986112177574
EULCS,Vitality,Vander,-3.01283897434758
EULCS,Misfits,IgNar,-7.45764271667872
EULCS,Fnatic,Jesiz,-9.714576457528825
LCK,Longzhu Gaming,Gorilla,8.546453498134111
LCK,SK Telecom T1,Wolf,3.7415753614353604
LCK,Afreeca Freecs,TusiN,2.825358548062356
LCK,Longzhu Gaming,GorillA,1.9582075767403087
LCK,Samsung Galaxy,CoreJJ,1.3981150727369225
LCK,MVP,Max,-0.14473216281178847
LCK,KT Rolster,Mata,-2.53241640608511
LCK,Jin Air Green Wings,SnowFlower,-2.9871010177063844
LCK,ROX Tigers,Key,-3.4028871102071916
LCK,Ever8 Winners,Comeback,-6.158810007664911
LCK,Afreeca Freecs,Tusin,-6.372393417413688
LCK,Ever8 Winners,Ella,-6.540000566958897
LCK,Kongdoo Monster,GuGer,-8.18300689220248
LCK,BBQ Olivers,Totoro,-9.42297230266194
LMS,Raise Gaming,Koala,5.638077568128343
LMS,Wayi Spider,Zest,3.991747701287744
LMS,Flash Wolves,SwordArt,2.3651910142208923
LMS,J Team,Jay,2.069224527041281
LMS,Hong Kong Attitude,Kaiwing,0.4280220723424594
LMS,AHQ e-Sports Club,Albis,-0.8489040768933371
LMS,eXtreme Gamers,SuKi,-2.9549398359946553
LMS,Wayi Spider,K,-3.382115738192552
LMS,Machi 17,Dreamer,-5.1256544978822145
LMS,Fire Ball,SkuLL,-5.411393677147921
LMS,Hong Kong Esports,Veki,-5.709342275529778
NACS,Delta Fox,Scarra,8.64477304213337
NACS,Gold Coin United,Madlife,3.7590261644370084
NACS,Delta Fox,Shiphtur,0.8302771353730806
NACS,eUnited,Zeyzal,0.5577435846014245
NACS,CLG Academy,Fill,0.10803908769879099
NACS,Big Gods Jackals,Baiano,-0.8874053733099901
NACS,Tempo Storm,Sheep,-3.894693767260618
NALCS,Counter Logic Gaming,Joey,13.754674192120325
NALCS,Immortals,Olleh,13.291158924517424
NALCS,FlyQuest,LemonNation,8.244441265802651
NALCS,Dignitas,Adrian,7.393042332677948
NALCS,EnVyUs,Hakuho,5.0447290915031635
NALCS,Team Liquid,Matt,2.6352322865241007
NALCS,Team Liquid,konkwon,1.8456234795849815
NALCS,Team SoloMid,Biofrost,1.6769157890881965
NALCS,Phoenix1,Shady,1.1310894715935835
NALCS,Dignitas,Big,0.47827537768099293
NALCS,Flyquest,LemonNation,-2.1508456434767913
NALCS,Dignitas,Xpecial,-3.0606087297265687
NALCS,Cloud9,Smoothie,-4.853301499486138
NALCS,Counter Logic Gaming,aphromoo,-4.944478035003845
NALCS,Phoenix1,Xpecial,-6.935587006631138
NALCS,Echo Fox,Gate,-8.35397841942952
NALCS,Phoenix1,Stunt,-35.880241034981246
TCL,SuperMassive,Rogu sama,16.314974728629085
TCL,Cilekler,un1tback,12.873371695507355
TCL,Team AURORA,Zergsting,8.63395616736313
TCL,P3P eSports,Cognac,7.337597764214389
TCL,Crew e-Sports Club,Mocha,6.334326253893482
TCL,Cilekler,Kairos Plz,3.7931751602051986
TCL,SuperMassive,Tolerant,2.7280007493828204
TCL,Fenerbahce Esports,Japone,1.6885093532047595
TCL,Dark Passage,Hustlin,0.9602044498589826
TCL,Dark Passage,Farfetch,0.18076764195104467
TCL,Galakticos,Rogu sama,0.10269746270958047
TCL,Galakticos,Veux,-0.4683816662876412
