league,team,player,dmg_performance
CBLoL,INTZ e-Sports,Ayel,1.5993403570661289
CBLoL,Keyd Stars,Yang,-0.32379010602324626
CBLoL,paiN Gaming,Mylon,-0.4656253958508158
CBLoL,ProGaming Esports,SkyBart,-0.7711785884279319
CBLoL,Team oNe e-Sports,VVvert,-2.6713173398542884
CBLoL,RED Canids,Robo,-3.2045756323091097
CBLoL,CNB e-Sports Club,Lep,-7.260283033028461
CBLoL,T Show E-Sports,b4dd,-7.678546858699637
EUCS,Schalke 04,Smittyj,3.22062116376746
EUCS,Wind and Rain,Jwaow,2.8989390692206443
EUCS,Red Bulls,Thal,-4.235078738779468
EUCS,Giants,Ruin,-6.886067866822278
EUCS,Origen,DANDAN,-12.573813594746957
EUCS,Paris Saint-Germain,Satorius,-15.441095343646671
EUCS,Paris Saint-Germain,WhiteKnight,-20.49106442724974
EULCS,Mysterious Monkeys,Jisu,11.368015367458119
EULCS,Unicorns of Love,Vizicsacsi,8.162198436272575
EULCS,H2K,Odoamne,2.9271795822694098
EULCS,Mysterious Monkeys,Kikis,2.580455595435967
EULCS,Splyce,Wunder,1.7284800300294163
EULCS,Fnatic,sOAZ,0.4668164172893302
EULCS,G2 Esports,Expect,0.07295657511431652
EULCS,Vitality,Cabochard,-0.752026910922111
EULCS,Misfits,Alphari,-3.73091389785529
EULCS,Ninjas in Pyjamas,Profit,-4.0110520610652625
EULCS,Roccat,Phaxi,-6.102019138511286
EULCS,G2 Esports,Send0o,-14.618872726790505
EULCS,Giants,Flaxxish,-15.808450293929747
EULCS,Origen,Satorius,-15.898979797141097
LCK,Longzhu Gaming,Expession,5.582089340840237
LCK,SK Telecom T1,Huni,4.87636659015276
LCK,KT Rolster,Smeb,3.2070101704206158
LCK,Longzhu Gaming,Khan,2.8709489488279485
LCK,MVP,ADD,0.77893992962605485
LCK,Samsung Galaxy,CuVee,-1.0194099929529543
LCK,BBQ Olivers,Part,-1.0949729013995426
LCK,BBQ Olivers,Crazy,-1.5203853920509185
LCK,Jin Air Green Wings,SoHwan,-2.213564326606427
LCK,Ever8 Winners,Helper,-2.80787348709441
LCK,ROX Tigers,Lindarang,-3.679013837962371
LCK,ROX Tigers,Shy,-4.003595005074483
LCK,Afreeca Freecs,MaRin,-4.518254884739916
LCK,Jin Air Green Wings,ikssu,-4.642578743112077
LCK,Ever8 Winners,Kiin,-4.96452099852899
LCK,SK Telecom T1,Profit,-5.187054178185811
LCK,Longzhu Gaming,Rascal,-5.683613088213667
LCK,SK Telecom T1,Untara,-6.742686337292664
LCK,Kongdoo Monster,Roach,-15.33806315489364
LMS,Hong Kong Esports,MapleSnow,12.841193980131568
LMS,J Team,Morning,8.002602120375265
LMS,Raise Gaming,Pk,3.586789622893443
LMS,AHQ e-Sports Club,Ziv,3.497125088988367
LMS,Hong Kong Attitude,Riris,1.7358036216101733
LMS,Flash Wolves,MMD,1.0867043696625476
LMS,Wayi Spider,Nexus,0.2940441618247999
LMS,Hong Kong Attitude,MapleSnow,-0.09712233184104431
LMS,Fire Ball,Ninuo,-1.4384869716916224
LMS,eXtreme Gamers,Nexus,-4.383124601954274
LMS,J Team,Rest,-4.434814888431114
LMS,Machi 17,3z,-7.932459146871321
LMS,Machi 17,BoBo,-9.12697081361113
LMS,Wayi Spider,Rins,-13.588968603452406
LMS,Flash Wolves,Moonblackk,-18.154098784444006
NACS,Gold Coin United,Solo,9.76230001256759
NACS,eUnited,Licorice,8.42205362901794
NACS,CLG Academy,FallenBandit,8.117137157820865
NACS,Big Gods Jackals,Cris,3.7345974103148896
NACS,Delta Fox,Dyrus,0.8454595880946976
NACS,Tempo Storm,Quas,-3.8646877196530633
NACS,Delta Fox,Scarra,-5.798884839550854
NALCS,Team SoloMid,Hauntzer,7.672023022294386
NALCS,Cloud9,Impact,6.020605028381139
NALCS,Phoenix1,Allorim,1.7558197143064607
NALCS,Immortals,Flame,1.7520310603248368
NALCS,Echo Fox,Brandini,1.513475561582419
NALCS,Dignitas,Ssumday,0.1075186491046005
NALCS,Counter Logic Gaming,Darshan,-0.5189161778957934
NALCS,Cloud9,Ray,-0.5980431265251311
NALCS,Phoenix1,zig,-1.3230028275179926
NALCS,Team Liquid,Lourlo,-1.7696442269851367
NALCS,EnVyUs,Seraph,-1.950255891222474
NALCS,FlyQuest,Balls,-3.9821001683098842
NALCS,Echo Fox,Looper,-6.150001166406581
NALCS,Flyquest,Balls,-10.903127930774547
TCL,Galakticos,Broken Blade,22.912989384526146
TCL,SuperMassive,fabFabulous,8.55700222237644
TCL,Galakticos,Rare,7.6483727737697755
TCL,Cilekler,Smoke,7.1144980675870215
TCL,P3P eSports,Hioss,5.28754695630594
TCL,Team AURORA,PANKY,2.9133122783429553
TCL,Dark Passage,Marshall,1.8274482347787846
TCL,Galakticos,Marshall,1.6323686459276219
TCL,Fenerbahce Esports,Thaldrin,1.3761827587953057
TCL,Dark Passage,Broken Blade,1.030400695006997
TCL,Crew e-Sports Club,Elwind,0.3076361297831283
TCL,Cilekler,Mayhem,-1.5388700620469928
